Region	Peaks	Species	Cell_type	Type
3UTR	254	mouse	granule	all
miRNA	2	mouse	granule	all
ncRNA	79	mouse	granule	all
TTS	361	mouse	granule	all
pseudo	9	mouse	granule	all
Exon	521	mouse	granule	all
Intron	15988	mouse	granule	all
Intergenic	23774	mouse	granule	all
Promoter	6238	mouse	granule	all
5UTR	297	mouse	granule	all
snoRNA	0	mouse	granule	all
rRNA	0	mouse	granule	all
3UTR	101	mouse	basket	all
miRNA	0	mouse	basket	all
ncRNA	31	mouse	basket	all
TTS	220	mouse	basket	all
pseudo	2	mouse	basket	all
Exon	257	mouse	basket	all
Intron	4102	mouse	basket	all
Intergenic	5440	mouse	basket	all
Promoter	7302	mouse	basket	all
5UTR	272	mouse	basket	all
snoRNA	0	mouse	basket	all
rRNA	0	mouse	basket	all
3UTR	20	mouse	granule	da
miRNA	0	mouse	granule	da
ncRNA	14	mouse	granule	da
TTS	23	mouse	granule	da
pseudo	0	mouse	granule	da
Exon	59	mouse	granule	da
Intron	1302	mouse	granule	da
Intergenic	1747	mouse	granule	da
Promoter	900	mouse	granule	da
5UTR	49	mouse	granule	da
snoRNA	0	mouse	granule	da
rRNA	0	mouse	granule	da
3UTR	16	mouse	basket	da
miRNA	0	mouse	basket	da
ncRNA	10	mouse	basket	da
TTS	51	mouse	basket	da
pseudo	0	mouse	basket	da
Exon	58	mouse	basket	da
Intron	423	mouse	basket	da
Intergenic	506	mouse	basket	da
Promoter	1995	mouse	basket	da
5UTR	78	mouse	basket	da
snoRNA	0	mouse	basket	da
rRNA	0	mouse	basket	da
3UTR	459	human	granule	all
miRNA	1	human	granule	all
ncRNA	283	human	granule	all
TTS	710	human	granule	all
pseudo	41	human	granule	all
Exon	1263	human	granule	all
Intron	21660	human	granule	all
Intergenic	17738	human	granule	all
Promoter	10111	human	granule	all
5UTR	632	human	granule	all
snoRNA	1	human	granule	all
rRNA	4	human	granule	all
3UTR	918	human	basket	all
miRNA	5	human	basket	all
ncRNA	429	human	basket	all
TTS	1353	human	basket	all
pseudo	81	human	basket	all
Exon	2264	human	basket	all
Intron	41219	human	basket	all
Intergenic	33791	human	basket	all
Promoter	11922	human	basket	all
5UTR	908	human	basket	all
snoRNA	1	human	basket	all
rRNA	11	human	basket	all
3UTR	116	human	granule	da
miRNA	0	human	granule	da
ncRNA	62	human	granule	da
TTS	140	human	granule	da
pseudo	4	human	granule	da
Exon	339	human	granule	da
Intron	7353	human	granule	da
Intergenic	6148	human	granule	da
Promoter	712	human	granule	da
5UTR	68	human	granule	da
snoRNA	0	human	granule	da
rRNA	0	human	granule	da
3UTR	228	human	basket	da
miRNA	2	human	basket	da
ncRNA	102	human	basket	da
TTS	377	human	basket	da
pseudo	15	human	basket	da
Exon	517	human	basket	da
Intron	11134	human	basket	da
Intergenic	10001	human	basket	da
Promoter	2883	human	basket	da
5UTR	176	human	basket	da
snoRNA	0	human	basket	da
rRNA	0	human	basket	da
