Marker	Cell_type	Direction
Reln	Granule	Up
Calb2	Granule	Up
Rbfox3	Granule	Up
Cdh15	Granule	Up
Calb1	Granule	Down
Mag	Granule	Down
Slc1a3	Granule	Down
Sorcs3	Granule	Down
Itpr1	Purkinje	Up
Pvalb	Purkinje	Up
Calb1	Purkinje	Up
Pcp2	Purkinje	Up
Mag	Purkinje	Down
Slc1a3	Purkinje	Down
Sorcs3	Purkinje	Down
Reln	Purkinje	Down
Pvalb	Basket	Up
Lypd6	Basket	Up
March11	Basket	Up
Sorcs3	Basket	Up
Mag	Basket	Down
Slc1a3	Basket	Down
Calb1	Basket	Down
Reln	Basket	Down
Aldh1l1	Astrocyte	Up
Slc1a3	Astrocyte	Up
Gfap	Astrocyte	Up
S100b	Astrocyte	Up
Mag	Astrocyte	Down
Sorcs3	Astrocyte	Down
Calb1	Astrocyte	Down
Reln	Astrocyte	Down
Olig2	Oligo	Up
Mag	Oligo	Up
Mbp	Oligo	Up
Mog	Oligo	Up
Slc1a3	Oligo	Down
Sorcs3	Oligo	Down
Calb1	Oligo	Down
Reln	Oligo	Down
Pdgfra	Oligo	Down
Olig2	OPC	Up
Cspg4	OPC	Up
Pdgfra	OPC	Up
Slc1a3	OPC	Down
Sorcs3	OPC	Down
Calb1	OPC	Down
Reln	OPC	Down
Mag	OPC	Down
Mbp	OPC	Down
