Gene	1464_lt_granule	1465_lt_basket	1463_lt_glia	1468_zh_granule	1469_zh_basket	1467_zh_glia	1410_sg_granule	1426_sg_basket	1394_sg_glia	1411_or_granule	1427_or_basket	1395_or_glia
C1orf141	4	4	3	1	3	6	1	2	0	2	2	12
PKP1	0	2	3	0	1	1	0	0	2	0	3	8
RERE	10076	7830	11996	11392	7586	14482	16403	13125	10811	12633	12640	62510
CSMD2	1442	10564	5266	1100	14505	4953	4029	26619	3889	2663	18469	31126
HIVEP3	9314	9182	4546	11821	13696	4905	22231	22573	4055	16678	17963	25435
TTLL7	6953	3137	20462	7081	3012	9776	13073	6301	6785	7959	5462	73829
GLMN	2027	1336	949	1526	1105	827	3055	1959	719	2227	1882	4795
SLC44A5	44	1534	1295	53	2547	1465	43	3463	1370	34	1694	6770
MAN1A2	3226	1983	2065	3098	1960	1781	6468	4434	1677	3336	3033	7750
MPZL1	926	504	857	1191	486	853	2018	1104	770	1314	986	3971
ANXA9	18	30	64	22	15	66	57	11	69	44	20	497
C1orf21	6545	1552	3321	8343	1655	3911	11691	2879	3095	8210	2231	18449
LINC01032	103	54	2	164	65	12	310	181	17	190	85	82
RFWD2	6172	3113	3826	6837	3349	3876	11867	7067	2809	6329	5622	16766
HSD11B1	0	0	0	0	0	0	0	0	0	0	0	0
SDCCAG8	2813	2025	3944	2979	2454	4422	4782	5509	3264	3513	3904	19833
LOC101930114	96	256	197	109	251	151	214	410	100	261	500	753
ACOT7	349	699	248	369	701	305	748	1254	257	726	1126	2491
PRDM16	4	5	227	5	11	327	10	22	154	7	7	1126
PRKCZ	3088	1155	643	3163	963	641	6071	1785	439	4998	1672	3748
AGRN	5	3	173	11	34	110	8	9	64	4	8	1189
CAMTA1	15680	16194	10578	18134	19738	14499	31681	28867	10652	22378	29427	70787
DISP3	13	1556	181	35	1581	256	45	4104	231	83	3038	1237
PLEKHM2	356	506	392	402	638	513	801	939	471	759	938	2295
KAZN	28066	4038	9180	31080	7032	9351	53219	10269	9769	44201	7291	49975
DHRS3	2	5	186	2	17	305	4	9	259	2	15	969
PEX14	788	673	679	854	769	821	1456	1481	572	1127	1274	3455
EIF4G3	6157	6966	8442	6668	6296	8454	11440	13771	5962	7658	12761	38966
ALDH4A1	30	27	82	30	25	75	41	40	101	51	48	530
PLA2G2E	0	0	0	0	1	0	0	0	0	0	0	0
KDM1A	1527	956	772	1574	1007	848	3116	2188	629	2136	1657	4630
ACTL8	1	2	2	0	7	1	2	6	0	1	5	9
WDTC1	638	494	667	689	546	821	1326	1019	889	1227	920	4175
TRIT1	973	684	822	772	565	700	1788	1417	611	1008	924	4151
EPHA10	44	214	73	32	225	26	136	570	27	24	453	304
AGBL4	249	16871	3747	326	17794	4938	567	36353	4442	278	30112	15761
PDZK1IP1	0	0	1	0	0	0	1	0	0	0	0	0
ZSWIM5	5077	2305	3472	4291	2080	3256	9087	4140	3137	5576	3411	16825
SLC5A9	0	73	513	1	40	390	1	134	647	0	169	5649
LOC101929626	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R3	5539	3998	696	7254	2664	1321	10517	7269	1118	6583	5621	4239
ZCCHC11	3451	2216	3557	3538	2056	4081	6662	4785	3657	4102	3861	17128
EPS15	1808	2889	5979	2143	2459	5875	2873	4758	4499	2034	4363	23765
DAB1	19781	1351	4404	22510	3403	4799	33065	4852	4525	26332	4741	26722
PDE4B	10132	4970	49569	5800	6903	48663	31009	10081	33219	6464	10312	245510
PATJ	11730	5725	1913	13456	6226	2840	19737	10475	1953	13524	10078	6965
ROR1	9420	145	3037	8474	345	4304	5763	411	2611	8913	689	10331
LOC101926964	271	231	2529	159	243	4482	291	371	3424	213	584	13560
GNG12-AS1	16	11	740	18	26	897	22	32	919	16	26	4204
WLS	0	1	166	1	15	235	3	2	211	0	5	1127
FPGT-TNNI3K	216	102	218	185	117	244	431	144	213	252	193	1146
TNNI3K	0	0	0	0	0	0	0	0	0	0	0	0
ST6GALNAC3	41	210	14829	76	574	17094	72	213	11107	48	605	60189
ZZZ3	2334	1599	4400	1978	1407	3375	4316	3127	2610	2749	2343	19980
ADGRL2	18	478	19	281	861	13	231	1163	14	134	742	93
IFI44L	1	2	103	0	6	109	0	3	83	0	24	674
HS2ST1	2204	1214	1138	2305	1414	1326	4210	3030	1044	2614	2414	6136
MCOLN2	3	6	19	4	1	9	3	5	9	2	5	65
COL24A1	58	66	69	55	59	57	94	69	48	56	67	272
MIR548N	5	9	8	6	1	3	10	18	5	6	7	37
CCDC18-AS1	543	640	1476	492	636	1600	924	915	1454	598	1231	8329
DPYD	24	230	8530	22	621	7455	34	518	3879	18	426	34179
LINC01397	17	5	26	12	10	12	29	17	1	26	0	216
ATP1A1	1083	1935	528	1180	1398	891	1815	3114	313	1704	3286	3448
CEPT1	1490	528	952	1233	532	667	2928	1231	541	1709	885	3810
PDE4DIP	3136	2046	1629	2945	1692	2059	5258	3425	1830	4615	3494	12947
HYDIN2	1491	512	1278	923	337	1006	2537	1032	1522	1923	925	7917
OTUD7B	1034	444	2272	1017	490	2326	1889	911	1506	1259	695	10229
RNF115	1673	1039	1142	1841	1180	1124	3532	2710	1201	2296	1712	5514
SRGAP2-AS1	523	313	147	701	378	161	989	237	56	765	598	486
MUC1	4	2	8	1	2	6	2	1	8	7	0	41
PMF1-BGLAP	1	3	6	0	0	4	1	1	8	1	4	6
PMF1	0	0	0	0	0	0	0	0	0	0	0	0
NUP210L	370	311	321	625	249	528	1014	529	301	533	363	3319
UHMK1	557	442	384	519	378	468	1116	689	265	693	630	2069
ALDH9A1	355	198	432	424	217	534	740	555	743	512	313	2426
PBX1	6124	9379	8835	8155	10414	12832	11217	19741	10368	8403	13586	43247
DNM3	25917	9470	22862	34230	9222	20064	61590	18654	12612	30708	15297	107071
SCYL3	408	244	370	389	251	464	803	484	402	643	580	2493
TNN	2	3	2	1	10	1	7	12	6	3	8	48
SMG7	2292	1328	1842	2676	1427	1683	5003	3073	1651	3161	2687	8822
SOAT1	238	296	247	311	281	349	346	373	173	290	650	1374
ACBD6	3871	2410	2209	4183	2186	2332	7064	4502	1480	4053	3743	9813
RGSL1	3	29	3	8	28	8	28	42	6	9	73	29
RASAL2	1829	2820	1966	2247	3625	1856	3862	6286	1576	2089	5565	9275
BRINP2	29	262	809	54	281	1018	54	1169	580	42	479	4461
