Gene	1861_granule	1862_granule	1996_granule	1859_basket	1860_basket	1640_basket	1992_astrocyte	1993_astrocyte	1327_purkinje	1329_purkinje	1639_purkinje	1471_purkinje	1472_purkinje
Adora1	1319	1056	1372	29	18	46	1140	1101	9	10	191	0	1
Sntg1	443	351	205	22263	26719	27970	109	129	8693	5574	8653	1054	772
Cflar	282	345	327	95	103	137	1598	1546	52	48	107	9	6
Prim2	2009	1835	1743	1069	1151	1538	1046	1064	886	542	1555	151	140
Adgrb3	80505	70676	54637	138577	165480	201024	61490	84912	257400	141464	200590	40597	26204
Obsl1	99	126	177	138	144	168	312	184	255	147	505	67	44
Gpr39	25	17	10	43	63	29	19	44	59	54	17	4	7
Lmx1a	83	41	74	53	52	36	133	175	83	71	140	7	11
Pld5	24284	23100	22207	12752	15370	18525	241	188	218	121	2341	39	6
Syt14	3733	3723	3267	9415	11378	10802	982	1360	9541	6080	10575	1707	1378
1700112H15Rik	6	6	0	7	8	3	1	4	9	19	4	1	2
A830018L16Rik	860	600	453	692	886	1030	92	130	188	166	1210	17	10
Cpa6	42	41	16	73	99	48	18	23	367	159	204	52	17
Lactb2	137	244	184	133	125	197	483	547	275	145	624	63	47
Efhc1	52	37	48	75	117	72	416	628	58	49	50	1	12
Khdrbs2	751	954	636	4058	4454	4518	58	110	21620	11600	18304	3250	2071
Lonrf2	865	632	997	1025	1107	1028	186	129	246	115	512	67	56
Actr1b	281	140	384	280	256	403	418	264	328	182	765	87	95
1700066B17Rik	0	0	0	0	0	0	0	0	2	1	1	0	0
Dnah7b	163	61	107	2781	3622	3535	7094	10685	3612	2391	3983	648	579
Gpr45	349	299	262	795	898	1010	224	158	210	113	431	38	22
Dnah7a	40	32	7	53	62	31	35	67	97	61	33	8	12
Pgap1	2347	1759	1532	1496	1935	2014	338	418	332	236	483	44	59
Plcl1	2773	2252	2640	2525	3118	4167	8601	14826	129	75	4642	6	3
Pard3b	292	106	194	158	258	235	10908	12444	1682	1173	2274	267	237
Bmpr2	5788	4092	4156	3948	4560	4724	2322	3172	2030	1348	3086	402	343
Pinc	0	0	0	0	1	0	0	0	0	1	0	0	0
Xrcc5	672	423	457	1214	1425	1552	945	1089	257	125	674	50	37
Spag16	117	88	48	164	185	87	1631	3307	421	311	100	23	18
D530049I02Rik	0	1	0	3	3	0	1	0	2	1	0	0	0
Erbb4	24366	22221	15130	3603	4446	6522	12609	18056	401	297	3571	35	23
Abca12	13	12	5	15	17	10	11	21	29	29	18	1	3
Usp37	1971	1824	1211	1348	1741	2042	1004	1057	751	480	1325	146	102
Dock10	204	98	178	477	522	700	148	227	161	121	668	9	11
Dis3l2	4859	4467	4146	5342	6315	6662	3230	4550	4133	2681	4512	614	535
Sh3bp4	40	19	51	145	143	210	464	334	16	17	310	1	1
Ugt1a9	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugt1a10	3	1	2	12	4	0	0	2	7	0	1	0	0
Slc16a14	448	210	251	273	213	251	17	16	7	18	44	3	1
Pask	145	54	118	47	67	125	39	17	118	90	228	22	29
Serpinb12	1	1	1	1	4	1	3	28	5	11	0	1	0
Cdh20	2190	1551	1545	2056	2691	3237	21237	26996	80	51	921	2	3
Cntnap5a	241	196	147	527	318	229	80	194	11135	5947	12032	1417	1008
Cdh7	9883	8219	5764	3467	4478	4687	50	34	56	45	884	3	1
Clasp1	6455	6782	7580	5720	7130	8060	6709	8889	4943	2878	9079	1246	969
Dpp10	26759	20651	14745	3401	3987	4505	308	482	151363	82649	96882	21708	13394
Rab3gap1	2199	2238	1487	1905	2259	2289	1312	1372	1392	836	2542	320	243
Cdk18	23	11	35	4	9	12	1	3	5	3	68	1	0
Mapkapk2	157	153	237	777	895	1363	686	690	636	638	1407	140	199
Thsd7b	806	651	304	308	276	170	84	181	581	500	1443	30	32
Kcnt2	31	22	13	587	756	757	16	41	84	72	50	4	7
Aspm	19	9	6	5	10	14	7	18	16	6	24	2	1
Rnpep	368	423	408	211	262	287	429	223	134	75	333	25	29
Camsap2	4360	4046	3471	3866	4799	4735	1836	1431	2332	1794	4446	498	605
Brinp3	12900	11240	7159	10639	12966	12714	2451	3729	5250	3617	4315	631	414
Pla2g4a	19	18	12	32	42	19	13	62	135	83	24	3	6
Cdc73	3796	3170	2397	4217	5464	5362	1712	2074	3198	2345	2948	413	395
Rasal2	3041	3449	2042	3438	4668	4599	7766	9612	26795	18435	24611	4325	3516
1700025G04Rik	13811	12757	13200	607	492	789	3833	4118	307	189	1507	59	42
Stx6	1377	1130	1398	1222	1471	1579	958	1073	872	579	1433	197	143
Nmnat2	20880	17843	17601	7288	7594	9673	1043	930	5222	3751	9073	1083	951
Brinp2	1072	615	1215	404	430	693	17	51	4384	2261	5005	911	563
Rcsd1	6	4	1	12	22	8	1	5	19	15	29	1	1
Rabgap1l	33580	29903	23159	8486	10201	10631	3422	4130	546	393	2937	36	45
Fcrla	1	0	0	9	4	5	0	0	2	3	5	0	1
Rgs7	38823	36581	33439	30103	35139	40257	313	415	21753	10527	23837	3800	2282
Cnih3	16	23	7	1726	2068	2962	61	49	65	37	30	8	5
Itpkb	617	646	675	755	903	752	10070	10865	43	29	187	4	4
Trp53bp2	631	599	680	181	183	231	984	1685	113	172	219	14	31
Akt3	30156	29308	18845	20337	25989	25938	11128	16113	8077	6087	9357	1136	1044
Smyd3	22778	21967	19559	18246	21113	21600	5716	6285	4286	3022	8327	811	760
Ush2a	281	236	77	333	395	191	100	154	242	278	170	19	27
Mir297c	85	69	40	60	82	65	86	320	180	131	45	21	15
Ptpn14	18	30	10	54	56	50	87	56	55	45	42	4	6
Tgfb2	119	85	154	118	151	262	112	97	959	554	1130	179	143
Rps6kc1	1974	1828	1911	2379	2393	2776	2014	2211	2967	1705	4365	628	500
Esrrg	1785	1912	1828	70636	79400	88679	3040	3217	3201	2465	13733	528	396
A330023F24Rik	2661	2428	2552	6620	7530	8291	2332	2878	3025	2226	5830	589	518
Xkr4	16859	15374	12910	54972	63593	73185	1187	1478	14596	9437	16985	2036	1446
Rgs20	1303	1296	1300	1115	1425	2019	9379	10200	158	131	372	26	13
Rp1	12	11	6	20	17	14	7	20	130	27	8	7	1
Atp6v1h	4352	2959	2211	4824	5683	4887	1624	2202	4423	3351	3448	534	503
St18	11952	11010	10083	278	498	642	83	245	191	230	509	6	13
2610203C22Rik	3	2	4	5	19	2	10	28	9	8	17	2	3
Mybl1	238	202	134	377	401	401	15	9	46	12	75	4	0
Cspp1	3917	4528	3007	3427	4062	4814	2612	2774	2661	1778	3686	509	392
Sgk3	595	407	433	886	1055	1107	2262	1923	290	185	661	51	47
Tcf24	0	0	0	7	9	1	0	0	0	1	0	0	0
Arfgef1	5184	4618	4205	6872	8131	9153	2880	3155	2938	1624	4956	634	469
Adhfe1	93	31	45	83	97	76	145	166	54	46	151	8	11
Prex2	918	301	543	118	144	277	47908	58718	98	54	408	10	4
Mir467e	10	13	6	14	17	24	6	7	31	24	12	2	2
Slco5a1	16	25	9	494	476	555	52	39	585	565	649	67	92
Ncoa2	8096	8119	9019	7478	8552	10263	6484	7693	5410	2965	9665	1262	983
Sulf1	70	47	82	155	130	95	6307	7081	95	67	172	9	5
Eya1	34	44	27	91	78	82	690	938	131	96	93	17	28
Kcnb2	8070	6601	7807	801	1037	1647	105	72	113	92	940	8	18
Tceb1	485	455	372	720	763	760	130	301	261	188	517	49	57
Stau2	5412	5107	4061	8047	9350	9573	1321	1339	9026	6312	9475	1434	1123
Sbspon	226	403	227	177	173	267	187	170	109	48	138	20	15
Rdh10	626	767	864	674	737	895	1083	621	630	374	779	181	113
Jph1	7990	7601	5062	3106	3942	4587	68	134	1200	931	1133	154	123
Gm16070	31	31	3	236	281	262	3	9	203	221	241	23	17
Defb44-ps	2	2	1	3	4	2	1	1	10	4	4	0	3
Tfap2d	17	17	9	162	208	160	22	50	68	55	19	6	1
Pkhd1	314	355	64	352	385	106	93	177	1022	725	500	118	89
Kcnq5	557	411	332	5213	5990	5939	49	65	164	118	462	9	16
Rims1	114746	104750	87082	18864	22593	24681	2163	2808	1545	922	8951	212	157
Smap1	3325	4364	2759	3452	3840	4009	1600	2010	1529	856	2223	339	235
Col9a1	64	19	27	11	20	13	22	26	25	19	9	4	1
Col19a1	3176	3634	3156	140	195	318	39	96	2644	1511	2597	425	281
Lgsn	0	0	0	0	0	0	0	0	0	0	0	0	0
4931428L18Rik	68	62	14	101	89	16	20	39	129	127	17	16	13
Dst	20793	19286	24665	12107	13029	15033	22815	20660	7667	5491	16103	1695	1479
Ptpn18	41	18	39	7	6	13	1	10	2	1	2	1	0
Plekhb2	756	700	494	1455	1461	1393	445	497	583	340	1215	130	95
Lman2l	794	977	751	498	434	625	491	476	349	228	714	95	86
Fam178b	21	26	13	14	23	8	30	44	52	40	30	5	6
Uggt1	2026	2182	2086	2061	2450	2998	1237	1332	1637	1125	3576	407	411
Inpp4a	3580	3542	3617	2406	2616	3612	3221	4489	14832	8155	26946	3406	2592
4930594C11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnga3	4	7	1	9	7	4	6	19	27	19	1	3	1
Mgat4a	2617	2773	2265	886	931	965	576	735	1784	2010	2408	321	382
Tmem131	3288	3048	4523	2650	3037	4258	3162	3754	1796	937	3594	394	413
2010300C02Rik	1395	1046	1335	49	28	36	46	52	25	32	85	5	10
Mitd1	55	50	105	120	154	135	79	123	69	46	155	15	22
Eif5b	3371	2713	2522	2829	3423	3009	1895	1808	1627	1314	1805	280	300
Aff3	3333	2891	3124	8512	10118	10987	7481	7884	2903	1741	6368	617	419
Rfx8	19	11	5	10	6	5	49	57	82	32	11	4	1
Npas2	77	113	319	1156	1100	1738	2000	3186	52	49	143	7	4
Tbc1d8	3185	2919	3518	929	994	1096	235	228	186	94	691	23	27
Map4k4	5282	4700	5228	2463	2882	3111	13831	13452	3059	1980	4588	586	640
Il1r1	382	262	192	39	37	59	20	36	1520	1115	591	167	154
Slc9a2	15	28	21	17	29	30	36	75	50	46	55	7	2
Il1r2	6	4	1	7	4	2	1	0	10	14	7	1	1
Mrps9	1447	1751	1514	2089	2079	2721	917	976	1081	649	2254	239	206
Nck2	2345	1748	1803	1956	2361	2780	2104	1541	506	306	1217	110	65
Uxs1	2408	2209	1907	2266	2809	3031	1111	1277	1797	1035	2407	353	222
Gulp1	112	178	71	86	122	92	1307	1296	95	110	106	5	14
Ercc5	992	894	813	972	1187	1421	624	1015	699	549	1030	118	100
Col5a2	35	30	9	49	80	42	375	585	64	60	42	5	1
Dnah7c	79	83	41	235	347	276	1080	1441	584	399	488	64	65
Tmeff2	16162	15552	12467	5306	6555	7723	1223	1471	21002	11753	17646	3536	2321
9330175M20Rik	193	329	220	360	375	323	31	24	1451	1249	348	128	143
Stat4	15	17	2	18	22	6	12	27	63	49	16	5	5
Myo1b	133	53	34	629	505	539	5	8	2358	1708	3753	519	496
Gls	16647	15237	8640	8274	10826	11466	847	746	3516	2462	7375	639	629
Mfsd6	2109	1759	1714	926	1146	1132	83	87	538	398	1224	129	121
Asnsd1	58	90	93	146	86	124	27	34	104	30	53	20	9
Pms1	2477	2494	1811	1082	1232	1201	310	458	794	590	889	127	117
Hecw2	18556	16656	14720	12887	15458	16860	195	196	19800	11770	18000	2761	2068
Ccdc150	86	150	84	55	59	60	216	71	91	49	213	16	8
Rftn2	45	23	45	21	39	62	3349	4337	41	20	44	8	3
Boll	22	13	10	23	21	22	5	31	69	44	15	5	5
Ankrd44	1798	1725	1309	1097	1097	1270	1724	1580	1795	1100	2325	300	265
9130227L01Rik	3	0	0	3	3	0	1	4	13	6	8	0	1
9430016H08Rik	144	73	113	223	143	199	107	172	91	52	122	25	15
Satb2	147	189	107	51	61	16	124	80	78	49	56	13	4
Aox1	350	277	494	10	21	19	1655	2293	19	15	28	1	0
Spats2l	10	20	34	199	202	219	896	1079	1529	930	2155	244	176
Aox3	9	4	8	12	25	16	3	12	21	34	3	1	5
Ndufb3	319	371	258	518	451	477	108	164	203	112	286	49	24
Aox2	83	47	26	66	92	93	8	33	123	92	65	9	8
Nif3l1	111	76	94	100	121	142	155	123	49	22	96	10	6
Stradb	601	375	461	706	783	1087	210	200	248	102	533	42	29
Tmem237	80	158	96	194	239	227	197	307	152	119	232	24	25
Ica1l	2013	1516	1632	1006	896	1017	198	165	234	206	518	45	68
Nbeal1	3567	3167	2730	5051	5496	6661	2549	2574	2496	1858	4263	384	430
Abi2	4288	3901	3500	3576	4176	4404	2522	2353	2489	1471	3398	512	470
Raph1	2379	1960	1866	2101	2542	2651	1273	1273	2720	1369	3866	543	425
Nrp2	248	331	342	1430	1518	1975	101	115	38	34	319	8	4
Ndufs1	1174	1290	918	1358	1441	1627	523	744	579	372	1269	115	106
Zdbf2	87	196	77	125	139	106	64	62	183	142	163	16	8
Mdh1b	1	2	2	5	26	9	18	43	6	5	24	0	2
Adam23	9522	8814	9279	2970	3462	3551	1620	2273	30534	15409	31620	5617	3617
Klf7	4966	4720	5210	420	571	795	3858	3538	274	249	867	51	52
Plekhm3	3334	3002	3315	2059	2210	2619	1646	2139	2424	1099	3462	563	332
Pikfyve	2156	1897	1500	2473	2811	2646	1365	1693	1969	1336	2254	250	253
Acadl	48	25	44	48	78	54	683	1020	68	30	150	11	10
Unc80	21278	17309	17453	17841	20142	23436	3593	4364	15970	9592	18409	2636	1946
Map2	17638	14101	13741	10928	12374	14713	7041	7600	4008	2331	8480	770	621
Rpe	818	568	557	507	705	870	1206	1349	463	274	711	116	61
Ikzf2	1204	1129	1087	1842	2322	3012	3331	5373	3132	1902	3620	547	387
Bard1	4	8	0	80	46	93	12	33	36	7	15	1	1
Vwc2l	5	3	5	43	17	5	28	35	22	17	239	4	3
Atic	103	78	93	322	229	303	119	139	132	61	225	35	25
March4	58	50	38	3525	3907	4686	5	17	2894	1735	3571	527	423
Smarcal1	1254	1147	1059	1674	1817	1826	1240	1352	885	582	1773	217	206
Pnkd	497	585	724	1247	1200	1406	674	475	121	63	497	23	19
Tns1	30	41	81	47	31	41	4338	2959	85	143	156	3	4
6030407O03Rik	73	60	43	55	66	40	137	267	81	80	30	10	6
Nhej1	195	144	218	171	185	231	355	315	252	112	202	32	14
Des	406	335	382	1	29	27	1	1	0	0	14	0	0
Zfp142	1404	644	720	725	775	737	847	612	1078	582	1712	225	156
Epha4	142	34	61	568	684	987	2102	1295	1491	835	3198	296	273
Mogat1	3	0	0	2	2	2	1	4	7	3	1	1	0
Pax3	128	38	114	300	387	395	11312	13093	27	24	32	0	4
Sgpp2	7210	7101	6449	3862	4078	5448	51	69	1698	869	2929	265	175
Serpine2	18	20	14	39	83	121	1410	1686	18	29	52	4	13
Nyap2	3864	3256	3447	2015	2412	2183	40	100	925	524	1207	107	87
Col4a3	23	15	25	49	125	75	26	25	88	84	88	15	10
Rhbdd1	551	449	437	848	1159	1019	3701	3115	1235	619	2000	223	141
Col4a4	16	61	13	73	49	58	107	344	333	197	234	49	33
Sphkap	29759	24805	24982	5664	6316	9927	152	184	9842	5917	10679	1748	1383
Trip12	8056	7200	4608	9029	11590	11102	4102	4195	7685	5468	10095	1319	1182
Dner	281	207	162	15757	17960	18790	221	253	66120	41140	57068	10391	8089
Pid1	2741	2092	2520	10707	12264	14910	70	97	822	643	3375	102	86
Sp110	16	3	0	7	4	6	3	11	12	11	6	0	0
A630001G21Rik	8	1	3	4	8	1	3	8	18	18	9	0	3
Armc9	792	903	817	1042	904	1276	1183	1177	942	566	1529	197	170
Psmd1	1407	1181	1312	1631	2032	2212	1136	1288	914	526	1721	239	171
Usp40	2148	2104	2299	1956	1928	2412	1359	1570	1396	1012	1771	245	180
Sag	11	15	33	6	25	32	117	87	219	58	309	46	18
Gigyf2	6674	5648	4330	6966	8091	7851	3763	4097	4193	2687	6164	753	731
Inpp5d	19	20	8	9	16	8	8	19	13	20	6	0	1
Efhd1	14	22	14	71	69	50	2600	2009	364	112	281	68	24
Ngef	35	93	82	23	9	8	86	70	105	123	16	6	1
Ugt1a6a	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugt1a5	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugt1a7c	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugt1a6b	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpm8	2	17	22	106	66	116	7	7	14	14	12	1	0
