Gene	1406_xk_granule	1417_pk_granule	1422_xk_basket	1433_pk_basket	1867_xk_astrocyte	1986_pk_astrocyte	1864_xk_oligo	1983_pk_oligo	1866_xk_opc	1984_pk_opc
C1orf141	1	3	3	3	3	30	1	4	0	1
PKP1	1	0	0	1	2	1	2	2	6	2
RERE	8617	10642	11029	9297	6431	11491	8925	12356	6286	10367
CSMD2	1580	1339	21281	16481	1559	4751	1434	14714	7563	21778
HIVEP3	13143	13597	22533	14634	2787	6568	4526	6611	1535	4237
TTLL7	5410	8155	4330	4557	339	814	19174	15888	2250	3484
GLMN	1498	1904	2169	1388	654	572	346	492	778	807
SLC44A5	27	38	2640	1015	419	563	385	2286	1634	6253
MAN1A2	3212	4455	2640	2825	874	1029	1197	2091	1578	2388
MPZL1	1112	1338	1146	791	525	440	52	1433	2739	4414
ANXA9	25	39	24	15	68	87	485	68	192	75
C1orf21	6284	7960	1934	1904	959	5253	157	4010	3864	9265
LINC01032	147	223	130	99	56	37	34	22	3	90
RFWD2	5446	7977	4953	4442	2645	2777	3073	2519	1304	2939
HSD11B1	0	0	0	0	0	0	0	0	0	0
SDCCAG8	2485	3788	3827	3605	2127	4192	3283	6022	1617	4743
LOC101930114	73	159	330	362	31	58	193	200	66	132
ACOT7	482	303	1184	618	54	202	305	440	222	227
PRDM16	6	8	9	10	48	297	220	103	56	131
PRKCZ	3109	4082	1610	1371	454	543	1409	1715	350	1001
AGRN	10	20	5	17	66	108	147	245	114	159
CAMTA1	16466	19265	27335	24261	6157	18294	7018	13115	7960	17201
DISP3	6	34	3838	2831	94	144	19	267	162	481
PLEKHM2	472	413	960	586	169	1394	123	477	67	584
KAZN	35311	28399	5244	3614	2489	9779	2963	20411	22355	40937
DHRS3	3	3	6	9	325	521	7	1	2	3
PEX14	739	937	1195	961	503	989	784	533	538	622
EIF4G3	6903	7781	11372	9129	3535	5057	7489	10722	6185	10933
ALDH4A1	46	21	29	23	23	60	57	32	96	70
PLA2G2E	0	0	0	0	0	0	0	0	0	0
KDM1A	1448	1746	1796	1522	381	1589	250	908	994	1223
ACTL8	0	2	2	0	2	0	1	2	1	0
WDTC1	741	740	927	651	372	1330	477	968	185	613
TRIT1	838	866	952	674	540	438	385	719	489	846
EPHA10	242	70	440	307	10	3	7	70	3	1
AGBL4	461	565	29278	25643	3373	7785	409	2478	2149	4988
PDZK1IP1	2	0	0	0	0	0	0	0	0	0
ZSWIM5	3811	5254	3212	2896	2174	4210	2042	1877	2230	2977
SLC5A9	2	1	34	91	244	1576	142	1864	1981	3727
LOC101929626	0	0	0	0	0	0	0	0	0	0
PIK3R3	5047	7311	4976	4391	1329	2361	243	485	172	417
ZCCHC11	2874	4421	3606	2804	2503	5961	1195	2745	1647	3386
EPS15	1641	1935	4297	3641	2710	5091	4743	3475	531	725
DAB1	21229	22159	3118	2805	1071	4242	937	9585	6390	18334
PDE4B	12057	15619	11158	7929	5493	19428	45086	51144	13800	45738
PATJ	11530	14370	10810	8183	1737	3895	948	912	604	601
ROR1	13372	8950	883	450	1221	4095	931	2253	160	406
LOC101926964	40	217	272	485	2105	7195	372	284	150	411
GNG12-AS1	15	21	26	33	452	1924	159	467	500	802
WLS	0	0	0	4	139	320	2	119	24	430
FPGT-TNNI3K	239	452	100	218	129	251	113	264	43	173
TNNI3K	0	0	0	0	0	0	0	0	0	0
ST6GALNAC3	1830	99	291	358	9800	14759	12380	9675	1024	1249
ZZZ3	1948	2673	2359	1809	1095	1562	3417	3117	2233	2214
ADGRL2	163	36	477	330	30	15	27	16	18	8
IFI44L	0	1	4	1	150	336	3	1	1	29
HS2ST1	1991	2924	2230	1714	714	1205	294	924	880	1004
