Gene	628_nd1_gfp	629_nd1_gfp	630_nd1_gfp	641_pcp2_gfp	642_pcp2_gfp	643_pcp2_gfp	644_pcp2_gfp	796_sept4_gfp	797_sept4_gfp	798_sept4_gfp	799_sept4_gfp	952_glt25d2_gfp	953_glt25d2_gfp	942_glt25d2_gfp	1195_ntsr1_gfp	1196_ntsr1_gfp	1197_ntsr1_gfp	SRR1647854_mo_excit	SRR1647855_mo_excit	SRR1647856_mo_pv	SRR1647857_mo_pv	SRR1647858_mo_vip	SRR1647859_mo_vip
Adora1	2017	2586	1778	26	106	82	44	2613	1841	1820	1846	818	798	1357	672	537	917	1449	2218	514	1133	328	144
Sntg1	208	295	89	3255	4877	3488	4236	149	69	124	164	40582	24987	44428	5885	5274	7692	12765	12052	20715	20650	72607	57579
Cflar	210	275	372	37	51	25	35	1324	1003	878	906	366	377	380	8	9	14	214	280	19	46	436	342
Prim2	2626	3129	1755	672	874	755	813	3190	626	935	967	1236	1566	1612	553	471	770	1379	1495	1328	1545	2892	2218
Adgrb3	73806	80280	50277	164764	177275	181718	261566	80868	44998	61205	44144	105027	81980	136395	25975	25331	38374	58056	57516	108847	93205	169484	130219
Obsl1	124	260	170	85	261	83	145	85	30	18	93	82	172	118	20	13	19	546	567	1216	1304	2080	1236
Gpr39	9	7	2	4	8	9	12	8	11	6	5	77	102	57	30	26	40	88	125	6	33	363	239
Lmx1a	221	317	30	10	18	20	25	17	15	15	22	14	22	15	5	7	10	3	5	4	4	13	10
Pld5	31089	36768	22570	119	257	291	239	123	260	586	371	444	206	521	198	266	218	2695	1978	290	299	5662	4670
Syt14	3879	5170	3456	9337	12350	9435	12000	2140	1675	2430	1685	6704	8435	10016	1879	1670	2322	5225	5772	4626	5519	10891	7940
1700112H15Rik	0	0	1	6	5	2	3	0	1	1	0	1	1	3	1	2	1	2	0	0	1	0	0
A830018L16Rik	101	55	52	77	72	51	72	76	87	161	39	19078	13630	26577	9905	9424	15529	4951	5692	5473	7072	9678	9642
Cpa6	23	21	12	124	170	130	178	29	19	27	28	240	543	714	602	402	481	225	230	49	80	65	40
Lactb2	287	430	226	311	472	274	417	518	754	227	565	596	569	785	99	117	203	555	815	1375	1983	1395	806
Efhc1	17	14	35	20	46	14	35	158	122	154	207	240	80	152	22	19	32	41	61	82	110	137	75
Khdrbs2	745	554	392	17721	24042	21606	23650	30	34	146	35	42158	28321	45742	9027	9370	15484	10605	9965	909	1610	5119	4345
Lonrf2	1322	2074	1598	231	329	207	304	155	173	171	221	613	874	1275	263	231	348	1254	1641	1473	2464	3719	2555
Actr1b	577	1166	568	240	388	234	441	277	171	193	181	425	832	759	101	90	149	3654	4024	3681	6774	5555	2835
1700066B17Rik	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnah7b	28	48	22	2187	2614	1882	2661	7855	4111	4050	4477	233	108	72	46	58	64	80	126	221	256	1494	1203
Gpr45	579	518	259	179	219	123	200	9	32	39	82	4045	3983	5188	968	740	1193	1960	2185	1724	2164	4576	3503
Dnah7a	18	17	4	34	24	16	24	27	18	24	10	63	67	125	45	43	70	123	134	17	36	174	123
