Gene	1891_uns	1892_uns	1909_granule	1910_granule	1895_purkinje	1896_purkinje	1893_basket	1894_basket	1903_astrocyte	1904_astrocyte	1907_oligo	1908_oligo	1899_opc	1900_opc
Vom2r3	1	0	8	14	7	2	0	1	7	8	1	2	9	8
LOC100909608	0	0	1	1	0	2	0	1	0	0	1	0	0	0
Vom2r6	0	0	1	2	0	0	0	0	0	0	1	0	2	0
Vom2r5	0	0	2	1	0	0	0	1	0	0	0	0	0	2
Raet1l	2	0	4	3	2	2	1	1	3	0	18	2	0	1
AABR07000109.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000121.1	0	0	1	0	3	1	2	0	10	3	9	5	2	0
AABR07000137.1	0	0	0	0	0	0	0	0	0	0	2	0	0	1
AABR07000145.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raet1d	2	0	0	15	0	1	0	2	2	12	15	3	9	3
AABR07000156.1	3	2	3	9	0	1	1	2	1	1	10	1	0	7
LOC679782	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AABR07000158.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000159.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrp11	765	427	251	323	696	1088	461	400	413	429	249	129	122	518
AABR07000159.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmt1	593	420	510	520	663	934	536	539	634	429	822	354	314	657
Nup43	215	158	58	95	103	164	120	123	208	79	163	59	173	136
Lats1	895	770	432	484	933	1329	540	594	903	561	1016	356	527	987
Katna1	324	273	175	149	293	488	257	247	486	276	450	192	153	515
Ginm1	223	177	53	190	204	259	162	170	274	159	403	170	32	211
AABR07000159.3	0	1	0	0	0	2	0	0	0	0	0	1	0	0
AABR07000159.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ppil4	449	288	450	512	650	703	455	392	570	529	556	213	218	627
Zc3h12d	5	3	4	7	5	15	5	7	14	21	16	0	58	8
Tab2	761	589	188	251	473	466	340	295	806	428	649	247	348	319
Ust	3021	2955	1407	2041	1626	1886	606	582	13833	10026	4852	1687	7253	12550
AABR07000171.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000173.1	1	0	0	0	1	0	0	1	0	1	12	16	0	3
Sash1	213	139	4	22	30	33	108	127	2729	2014	4013	2081	1832	3215
AABR07000175.1	0	0	0	0	0	0	0	0	2	0	4	9	12	3
Samd5	38	75	72	32	108	92	37	42	1103	936	1143	657	47	73
RGD1562402	2	1	0	1	0	1	0	0	0	1	1	0	0	1
Stxbp5	5162	5038	3072	5050	1209	1262	4294	4226	5802	3831	6036	3389	2957	4664
AC096981.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000200.1	1	1	3	3	1	3	1	3	5	2	3	4	5	2
Adgb	13	5	7	10	16	10	9	9	31	11	19	8	12	4
Rab32	12	3	9	9	9	4	9	3	11	9	35	21	7	9
AABR07000207.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grm1	14563	14801	5581	8107	72742	87535	19544	18876	13285	7631	1802	740	744	3451
AABR07000220.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AABR07000222.1	1	1	0	0	15	3	2	1	4	4	1	0	0	0
Shprh	1428	1221	636	1161	1547	1452	1255	1176	1665	974	1638	712	798	1416
Fbxo30	140	110	77	83	72	46	180	124	232	155	136	60	73	140
AABR07000227.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Epm2a	282	256	136	195	348	313	416	408	675	346	147	73	113	569
AABR07000239.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
