A1CF	A1cf
A2M	A2m
A3GALT2	A3galt2
A4GNT	A4gnt
AAAS	Aaas
AACS	Aacs
AADAC	Aadac
AADACL2	Aadacl2
AADACL3	Aadacl3
AADAT	Aadat
AAED1	Aaed1
AAGAB	Aagab
AAK1	Aak1
AAMP	Aamp
AANAT	Aanat
AAR2	Aar2
AARD	Aard
AARS	Aars
AARS2	Aars2
AARSD1	Aarsd1
AASDH	Aasdh
AASDHPPT	Aasdhppt
AASS	Aass
AATF	Aatf
AATK	Aatk
ABAT	Abat
ABCA1	Abca1
ABCA12	Abca12
ABCA13	Abca13
ABCA2	Abca2
ABCA3	Abca3
ABCA4	Abca4
ABCA5	Abca5
ABCA6	Abca6
ABCA7	Abca7
ABCA8	Abca8b
ABCA9	Abca9
ABCB10	Abcb10
ABCB11	Abcb11
ABCB4	Abcb4
ABCB5	Abcb5
ABCB6	Abcb6
ABCB7	Abcb7
ABCB8	Abcb8
ABCB9	Abcb9
ABCC12	Abcc12
ABCC2	Abcc2
ABCC3	Abcc3
ABCC4	Abcc4
ABCC5	Abcc5
ABCC6	Abcc6
ABCC8	Abcc8
ABCC9	Abcc9
ABCD1	Abcd1
ABCD2	Abcd2
ABCD3	Abcd3
ABCD4	Abcd4
ABCE1	Abce1
ABCF1	Abcf1
ABCF2	Abcf2
ABCF3	Abcf3
ABCG1	Abcg1
ABCG2	Abcg2
ABCG4	Abcg4
ABCG5	Abcg5
ABCG8	Abcg8
ABHD10	Abhd10
ABHD11	Abhd11
ABHD12	Abhd12
ABHD12B	Abhd12b
ABHD13	Abhd13
ABHD14A	Abhd14a
ABHD15	Abhd15
ABHD16A	Abhd16a
ABHD16B	Abhd16b
ABHD17A	Abhd17a
ABHD17B	Abhd17b
ABHD17C	Abhd17c
ABHD18	Abhd18
ABHD2	Abhd2
ABHD3	Abhd3
ABHD4	Abhd4
ABHD5	Abhd5
ABHD6	Abhd6
ABHD8	Abhd8
ABI1	Abi1
ABI2	Abi2
ABI3	Abi3
ABI3BP	Abi3bp
ABL1	Abl1
ABL2	Abl2
ABLIM1	Ablim1
ABLIM2	Ablim2
ABLIM3	Ablim3
ABO	Abo
ABR	Abr
ABRACL	Abracl
ABT1	Abt1
ABTB1	Abtb1
ABTB2	Abtb2
AC009014.3	Gm45623
AC025335.1	Chd3os
AC138517.6	1700066B19Rik
ACAA1	Acaa1b
ACAA2	Acaa2
ACACA	Acaca
ACACB	Acacb
ACAD10	Acad10
ACAD11	Acad11
ACAD8	Acad8
ACAD9	Acad9
ACADL	Acadl
ACADM	Acadm
ACADS	Acads
ACADSB	Acadsb
ACADVL	Acadvl
ACAN	Acan
ACAP1	Acap1
ACAP2	Acap2
ACAP3	Acap3
ACAT1	Acat1
ACBD3	Acbd3
ACBD5	Acbd5
ACBD6	Acbd6
ACCS	Accs
ACCSL	Accsl
ACE	Ace
ACE2	Ace2
ACER1	Acer1
ACER2	Acer2
ACER3	Acer3
ACHE	Ache
ACIN1	Acin1
ACKR3	Ackr3
ACKR4	Ackr4
ACLY	Acly
ACMSD	Acmsd
ACO1	Aco1
ACO2	Aco2
ACOD1	Acod1
ACOT1	Acot2
ACOT11	Acot11
ACOT12	Acot12
ACOT2	Acot1
ACOT4	Acot4
ACOT7	Acot7
ACOT8	Acot8
ACOT9	Acot9
ACOX1	Acox1
ACOX2	Acox2
ACOXL	Acoxl
ACP1	Acp1
ACP2	Acp2
ACP5	Acp5
ACP6	Acp6
ACP7	Acp7
ACPP	Acpp
ACPT	Acpt
ACR	Acr
ACRBP	Acrbp
ACRV1	Acrv1
ACSBG1	Acsbg1
ACSBG2	Acsbg2
ACSF2	Acsf2
ACSF3	Acsf3
ACSL1	Acsl1
ACSL3	Acsl3
ACSL4	Acsl4
ACSL5	Acsl5
ACSM1	Acsm1
ACSM3	Acsm3
ACSM4	Acsm4
ACSM5	Acsm5
ACSS1	Acss1
ACSS2	Acss2
ACSS3	Acss3
ACTA1	Acta1
ACTA2	Acta2
ACTB	Actb
ACTBL2	Actbl2
ACTC1	Actc1
ACTG1	Actg1
ACTG2	Actg2
ACTL10	Actl10
ACTL6A	Actl6a
ACTL6B	Actl6b
ACTL7A	Actl7a
ACTL7B	Actl7b
ACTL9	Actl9
ACTN1	Actn1
ACTN2	Actn2
ACTN3	Actn3
ACTN4	Actn4
ACTR10	Actr10
ACTR1A	Actr1a
ACTR1B	Actr1b
ACTR2	Actr2
ACTR3	Actr3
ACTR3B	Actr3b
ACTR5	Actr5
ACTR6	Actr6
ACTR8	Actr8
ACTRT1	Actrt1
ACTRT2	Actrt2
ACTRT3	Actrt3
ACVR1	Acvr1
ACVR1B	Acvr1b
ACVR1C	Acvr1c
ACVR2A	Acvr2a
ACVR2B	Acvr2b
ACVRL1	Acvrl1
ACYP1	Acyp1
ADA	Ada
ADAD1	Adad1
ADAD2	Adad2
ADAL	Adal
ADAM10	Adam10
ADAM11	Adam11
ADAM12	Adam12
ADAM15	Adam15
ADAM17	Adam17
ADAM19	Adam19
ADAM2	Adam2
ADAM22	Adam22
ADAM23	Adam23
ADAM28	Adam28
ADAM30	Adam30
ADAM32	Adam32
ADAM33	Adam33
ADAM7	Adam7
ADAM8	Adam8
ADAM9	Adam9
ADAMDEC1	Adamdec1
ADAMTS1	Adamts1
ADAMTS10	Adamts10
ADAMTS12	Adamts12
ADAMTS13	Adamts13
ADAMTS14	Adamts14
ADAMTS15	Adamts15
ADAMTS16	Adamts16
ADAMTS17	Adamts17
ADAMTS18	Adamts18
ADAMTS19	Adamts19
ADAMTS2	Adamts2
ADAMTS20	Adamts20
ADAMTS3	Adamts3
ADAMTS4	Adamts4
ADAMTS5	Adamts5
ADAMTS6	Adamts6
ADAMTS7	Adamts7
ADAMTS8	Adamts8
ADAMTS9	Adamts9
ADAMTSL1	Adamtsl1
ADAMTSL2	Adamtsl2
ADAMTSL3	Adamtsl3
ADAMTSL4	Adamtsl4
ADAMTSL5	Adamtsl5
ADAP1	Adap1
ADAP2	Adap2
ADAR	Adar
ADARB1	Adarb1
ADARB2	Adarb2
ADAT1	Adat1
ADCK1	Adck1
ADCK2	Adck2
ADCK5	Adck5
ADCY1	Adcy1
ADCY10	Adcy10
ADCY2	Adcy2
ADCY3	Adcy3
ADCY4	Adcy4
ADCY5	Adcy5
ADCY6	Adcy6
ADCY7	Adcy7
ADCY8	Adcy8
ADCY9	Adcy9
ADCYAP1	Adcyap1
ADCYAP1R1	Adcyap1r1
ADD1	Add1
ADD2	Add2
ADD3	Add3
ADGRA1	Adgra1
ADGRA2	Adgra2
ADGRA3	Adgra3
ADGRB2	Adgrb2
ADGRB3	Adgrb3
ADGRD1	Adgrd1
ADGRE5	Adgre5
ADGRF2	Adgrf2
ADGRF3	Adgrf3
ADGRF4	Adgrf4
ADGRF5	Adgrf5
ADGRG1	Adgrg1
ADGRG2	Adgrg2
ADGRG3	Adgrg3
ADGRG5	Adgrg5
ADGRG6	Adgrg6
ADGRG7	Adgrg7
ADGRL1	Adgrl1
ADGRL3	Adgrl3
ADGRL4	Adgrl4
ADGRV1	Adgrv1
ADH5	Adh5
ADH6	Adh6a
ADH7	Adh7
ADHFE1	Adhfe1
ADIG	Adig
ADIPOQ	Adipoq
ADIPOR1	Adipor1
ADIPOR2	Adipor2
ADK	Adk
ADM	Adm
ADNP	Adnp
