ID	Cell.Type	Sample	Type	Species	Ribosomal	Coding	UTR	Intronic	Intergenic	GC
628	Granule	mouse.gfp	gfp	mouse	0.001750	0.064222	0.119673	0.757652	0.056755	0.42
629	Granule	mouse.gfp	gfp	mouse	0.005417	0.077948	0.136063	0.721818	0.058941	0.43
630	Granule	mouse.gfp	gfp	mouse	0.009251	0.086272	0.149819	0.697669	0.057353	0.43
641	Purkinje	mouse.gfp	gfp	mouse	0.006781	0.028928	0.150572	0.744032	0.069935	0.39
642	Purkinje	mouse.gfp	gfp	mouse	0.014653	0.035614	0.155495	0.722419	0.072392	0.39
643	Purkinje	mouse.gfp	gfp	mouse	0.005354	0.026949	0.131486	0.764486	0.071958	0.39
644	Purkinje	mouse.gfp	gfp	mouse	0.013204	0.033362	0.164964	0.720982	0.068074	0.4
796	B.Glia	mouse.gfp	gfp	mouse	0.008568	0.064737	0.248311	0.619312	0.059616	0.38
797	B.Glia	mouse.gfp	gfp	mouse	0.018436	0.087390	0.289240	0.549262	0.056573	0.38
798	B.Glia	mouse.gfp	gfp	mouse	0.007031	0.069744	0.281798	0.583499	0.058393	0.38
799	B.Glia	mouse.gfp	gfp	mouse	0.022370	0.096327	0.312138	0.512492	0.058157	0.39
952	CP.Pyramidal	mouse.gfp	gfp	mouse	0.002469	0.029598	0.110974	0.769068	0.088027	0.38
953	CP.Pyramidal	mouse.gfp	gfp	mouse	0.006599	0.042409	0.145778	0.722954	0.082556	0.38
954	CP.Pyramidal	mouse.gfp	gfp	mouse	0.002999	0.030445	0.106828	0.771816	0.088058	0.38
1195	CT.Pyramidal	mouse.gfp	gfp	mouse	0.005503	0.044386	0.135617	0.722362	0.092677	0.41
1196	CT.Pyramidal	mouse.gfp	gfp	mouse	0.005491	0.043162	0.148963	0.710932	0.092016	0.42
1197	CT.Pyramidal	mouse.gfp	gfp	mouse	0.004438	0.043475	0.141963	0.723745	0.086824	0.415
1861	Granule	mouse.a	antibody	mouse	0.000863	0.030942	0.118693	0.768046	0.081546	0.395
1862	Granule	mouse.a	antibody	mouse	0.000770	0.029321	0.115946	0.768810	0.085233	0.385
1996	Granule	mouse.a	antibody	mouse	0.003906	0.058925	0.097418	0.775569	0.064634	0.42
1327	Purkinje	mouse.a	antibody	mouse	0.001205	0.022012	0.165031	0.717770	0.094090	0.4
1329	Purkinje	mouse.a	antibody	mouse	0.001569	0.023093	0.194377	0.672940	0.108180	0.41
1639	Purkinje	mouse.a	antibody	mouse	0.005374	0.041527	0.143231	0.738420	0.071932	0.41
1640	Basket	mouse.a	antibody	mouse	0.001603	0.036722	0.117285	0.782680	0.061867	0.4
1859	Basket	mouse.a	antibody	mouse	0.001403	0.033672	0.141274	0.743246	0.080566	0.395
1860	Basket	mouse.a	antibody	mouse	0.001305	0.034207	0.136926	0.748534	0.079173	0.385
1992	Astrocytes	mouse.a	antibody	mouse	0.023480	0.079994	0.107019	0.722585	0.069560	0.44
1993	Astrocytes	mouse.a	antibody	mouse	0.010805	0.068265	0.096949	0.746961	0.078446	0.43
1855	Oligo	mouse.a	antibody	mouse	0.002398	0.032483	0.161516	0.725056	0.078852	0.39
1856	Oligo	mouse.a	antibody	mouse	0.002048	0.034379	0.182687	0.690311	0.090855	0.38
1857	OPC	mouse.a	antibody	mouse	0.001705	0.029521	0.133700	0.756025	0.079250	0.39
1858	OPC	mouse.a	antibody	mouse	0.001506	0.031189	0.140106	0.745067	0.082320	0.39
1997	Cytoplasmic	cytoplasmic	cytoplasmic	mouse	0.008761	0.256564	0.658131	0.044204	0.033356	0.405
1998	Cytoplasmic	cytoplasmic	cytoplasmic	mouse	0.014713	0.281412	0.625358	0.045286	0.034824	0.41
1909	Granule	rat.a	antibody	rat	0.077179	0.080158	0.068536	0.441946	0.339383	0.405
1910	Granule	rat.a	antibody	rat	0.036826	0.077566	0.086946	0.501589	0.301161	0.405
1895	Purkinje	rat.a	antibody	rat	0.007859	0.066531	0.137366	0.496413	0.292563	0.425
1896	Purkinje	rat.a	antibody	rat	0.015024	0.062927	0.147696	0.474338	0.301030	0.430
1893	Basket	rat.a	antibody	rat	0.009238	0.069621	0.069924	0.533598	0.318360	0.430
1894	Basket	rat.a	antibody	rat	0.010979	0.066973	0.085962	0.525298	0.311671	0.430
1903	Astrocytes	rat.a	antibody	rat	0.018070	0.073836	0.074836	0.548177	0.286359	0.440
1904	Astrocytes	rat.a	antibody	rat	0.053373	0.076144	0.094686	0.478803	0.302135	0.470
1907	Oligo	rat.a	antibody	rat	0.019908	0.080502	0.091328	0.552804	0.256796	0.435
1908	Oligo	rat.a	antibody	rat	0.026021	0.075257	0.145684	0.501078	0.253888	0.430
1899	OPC	rat.a	antibody	rat	0.052835	0.074470	0.061144	0.478380	0.337682	0.445
1900	OPC	rat.a	antibody	rat	0.021338	0.065341	0.060397	0.541359	0.313301	0.440
1889	Cytoplasmic	cytoplasmic	cytoplasmic	rat	0.083012	0.298268	0.398238	0.052601	0.172364	0.450
1890	Cytoplasmic	cytoplasmic	cytoplasmic	rat	0.076280	0.297660	0.402845	0.054727	0.172704	0.450
1406	Granule	human.a	antibody	human	0.001498	0.058232	0.127931	0.732662	0.079806	0.400
1422	Basket	human.a	antibody	human	0.006073	0.061123	0.128454	0.720882	0.083941	0.410
1390	Glia	human.a	antibody	human	0.006680	0.067877	0.104617	0.735589	0.085784	0.41
1867	Astrocytes	human.a	antibody	human	0.002389	0.067755	0.175857	0.650216	0.104066	0.355
1864	Oligo	human.a	antibody	human	0.003207	0.078076	0.207864	0.599380	0.111778	0.335
1866	OPC	human.a	antibody	human	0.002339	0.057732	0.154189	0.667147	0.118819	0.355
1358	Cytoplasmic	cytoplasmic	cytoplasmic	human	0.021954	0.311858	0.569174	0.041251	0.058623	0.435
1417	Granule	human.a	antibody	human	0.000952	0.060350	0.148950	0.704488	0.085380	0.4
1433	Basket	human.a	antibody	human	0.005256	0.073195	0.188947	0.647438	0.085732	0.415
1401	Glia	human.a	antibody	human	0.005899	0.062427	0.129427	0.695531	0.107337	0.405
1987	Astrocytes	human.a	antibody	human	0.008958	0.090364	0.180391	0.616825	0.104432	0.42
1983	Oligo	human.a	antibody	human	0.018538	0.123223	0.367778	0.423234	0.069324	0.425
1984	OPC	human.a	antibody	human	0.004671	0.068235	0.198579	0.645134	0.083927	0.41
1369	Cytoplasmic	cytoplasmic	cytoplasmic	human	0.016580	0.213993	0.665312	0.064192	0.041595	0.435
1407	Granule	human.a	antibody	human	0.003902	0.081318	0.207436	0.638425	0.069290	0.415
