Gene	asc_S150	asc_S158	asc_S163	asc_S389	asc_S403	asc_S412	asc_S242	asc_S517	asc_S521	asc_S881	asc_S643	asc_S660	asc_S671	asc_S751	asc_S767	asc_S686	asc_S721	oligo_S422	oligo_S466	oligo_S482	oligo_S529	oligo_S542	oligo_S558	oligo_S692	oligo_S724	opc_S144	opc_S400	opc_S402	opc_S425	opc_S428	opc_S214	opc_S246
Adora1	0	0	61	0	0	0	1	47	0	7	46	0	0	0	0	0	0	0	39	14	2	16	4	44	0	0	0	9	0	14	3	37
Sntg1	2	4	3	2	70	2	0	0	0	41	1	2	4	43	113	99	2	17	15	0	0	0	0	0	32	179	196	140	398	460	149	298
Cflar	0	0	3	39	0	0	0	0	0	1	0	33	7	0	0	29	0	0	0	0	0	0	0	0	0	84	1	0	0	0	12	0
Prim2	47	0	0	7	0	1	0	0	0	3	0	109	0	0	1	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	1
Adgrb3	461	244	84	739	749	431	35	288	304	12	427	1200	679	474	83	595	235	80	101	5	36	4	1	16	0	267	972	35	36	373	167	51
Obsl1	20	36	0	130	0	1	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	2	0	9	0	0
Gpr39	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	104	0	0	0	0	4
Lmx1a	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	23	3	0	0	0	0	0	6	0	0	0	0	0	0	1
Pld5	0	2	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	11	0	0	0	0	0	9	0	71	1	0	0	0	63
Syt14	0	0	0	69	1	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	2	9	1	5
1700112H15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	0	0	1	2	41	0	1	0	0	2	1	0	0	18	69	69	0	36	30	16	1	0	0	0	41	0	3	0	0	0	12	1
Cpa6	0	0	0	1	0	15	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1
Lactb2	16	0	0	0	47	0	0	0	0	0	0	1	0	0	0	0	0	15	0	1	3	16	0	0	0	0	0	0	0	0	0	18
Efhc1	15	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	39	0	0	0	0	0	0	2	0	0	0	0	0
Khdrbs2	1	0	0	0	0	2	0	27	0	8	2	3	0	69	0	0	0	2	0	9	0	0	1	0	2	69	128	23	467	209	56	1
Lonrf2	0	0	1	0	0	0	0	222	8	0	0	0	0	6	0	0	0	0	15	0	0	4	0	0	0	0	5	0	0	0	44	12
Actr1b	45	0	0	0	0	73	0	42	0	2	0	0	0	1	0	0	0	0	58	0	0	3	5	30	5	0	0	0	6	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnah7b	29	1	0	31	1	44	0	27	2	1	10	66	0	8	0	11	1	40	2	2	0	2	0	0	1	43	37	0	0	1	1	38
Gpr45	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	1	51	0	8	12	0	0	39
Dnah7a	0	1	2	2	0	1	0	0	0	30	0	9	1	1	0	1	56	1	0	9	0	0	0	0	1	1	0	0	1	0	27	1
Pgap1	0	0	0	0	0	1	0	0	1	0	3	93	0	0	3	1	2	0	0	0	0	4	0	105	0	39	6	13	0	2	0	10
Plcl1	29	287	180	202	20	82	19	66	13	42	90	809	48	184	292	26	81	768	975	652	216	135	60	140	1528	112	60	1	222	153	29	0
Pard3b	0	63	239	227	127	298	37	20	98	15	115	99	0	204	92	111	129	0	56	19	0	0	1	0	74	0	285	15	3	1	0	26
Bmpr2	15	4	0	53	0	29	12	76	48	5	28	38	0	192	2	10	3	13	106	65	1	1	7	0	0	62	99	12	24	61	11	0
Pinc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xrcc5	0	0	17	0	70	0	0	54	0	1	0	0	0	0	28	42	0	0	1	0	0	0	1	23	7	2	9	0	142	57	8	0
Spag16	0	2	0	7	1	113	13	0	10	0	16	2	0	1	0	236	19	61	29	0	0	12	1	0	30	0	141	16	1	3	1	1
D530049I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
Erbb4	2	137	0	93	70	164	4	38	35	51	1	130	426	10	0	0	94	102	328	104	14	5	38	75	240	266	1597	142	704	647	300	158
Abca12	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp37	0	0	1	8	5	19	0	0	0	0	40	0	27	0	3	0	0	0	4	0	2	7	4	0	10	77	38	0	85	18	14	0
