Gene	Cell_type	Type
Abca7	all	Disease
Adam10	all	Disease
Apoe	all	Disease
App	all	Disease
Bin1	all	Disease
Cass4	all	Disease
Cd2ap	all	Disease
Cd33	all	Disease
Celf1	all	Disease
Clu	all	Disease
Cr1l	all	Disease
Dsg2	all	Disease
Epha1	all	Disease
Fermt2	all	Disease
Inpp5d	all	Disease
Mef2c	all	Disease
Ms4a1	all	Disease
Nme8	all	Disease
Picalm	all	Disease
Psen1	all	Disease
Psen2	all	Disease
Ptk2b	all	Disease
Slc24a4	all	Disease
Sorl1	all	Disease
Trem2	all	Disease
Zcwpw1	all	Disease
Ntsr2	astro	SN
Gja1	astro	SN
Fgfr3	astro	SN
Mfge8	astro	SN
Nwd1	astro	SN
Slc7a10	astro	SN
Pla2g7	astro	SN
Sdc4	astro	SN
S1pr1	astro	SN
Mlc1	astro	SN
Fam107a	astro	SI
Slc1a3	astro	SI
Mt2	astro	SI
Cdc42ep4	astro	SI
Gdf10	astro	SI
Mir6390	astro	SI
Dao	astro	SI
Fxyd1	astro	SI
Lcat	astro	SI
Cldn11	oligo	SN
Mag	oligo	SN
Mal	oligo	SN
Mobp	oligo	SN
Mog	oligo	SN
Sept4	oligo	SN
Qdpr	oligo	SN
Apod	oligo	SN
Car2	oligo	SN
Csrp1	oligo	SN
Ptgds	oligo	SI
Pex5l	oligo	SI
Fbxw15	oligo	SI
Gm1979	oligo	SI
Hapln2	oligo	SI
Gm21671	oligo	SI
Prr5l	oligo	SI
Gpr37	oligo	SI
Efnb3	oligo	SI
Olig1	opc	SN
Matn4	opc	SN
Cspg4	opc	SN
Pdgfra	opc	SN
Sox10	opc	SN
Vcan	opc	SN
Pcdh15	opc	SN
Neu4	opc	SN
Tnr	opc	SN
Pllp	opc	SN
C1ql1	opc	SI
Ppfibp1	opc	SI
Rgcc	opc	SI
Nxph1	opc	SI
Itga9	opc	SI
Susd5	opc	SI
Amz1	opc	SI
