Sample	Reads
opc_S144	746626
asc_S150	937154
asc_S158	663864
asc_S163	727810
asc_S389	963816
opc_S400	1157344
opc_S402	143966
asc_S403	762136
asc_S412	883158
oligo_S422	419420
opc_S425	1062978
opc_S428	935918
oligo_S466	1021408
opc_S214	293778
asc_S242	145470
opc_S246	402160
oligo_S482	691762
asc_S517	653478
asc_S521	425248
oligo_S529	127776
oligo_S542	125454
oligo_S558	71498
asc_S881	258212
asc_S643	363264
asc_S660	1075910
asc_S671	501744
asc_S751	636008
asc_S767	243512
asc_S686	527218
oligo_S692	375476
asc_S721	498560
oligo_S724	715978
