Gene	1992_astro_50	1992_astro_100	1992_astro_200	1992_astro_300	1992_astro_400	1992_astro_500	1992_astro_600	1992_astro_800	1992_astro_1000	1992_astro_1200	1993_astro_50	1993_astro_100	1993_astro_200	1993_astro_300	1993_astro_400	1993_astro_500	1993_astro_600	1993_astro_800	1993_astro_1000	1993_astro_1200	1855_oligo_50	1855_oligo_100	1855_oligo_200	1855_oligo_300	1855_oligo_400	1855_oligo_500	1855_oligo_600	1855_oligo_800	1855_oligo_1000	1855_oligo_1200	1856_oligo_50	1856_oligo_100	1856_oligo_200	1856_oligo_300	1856_oligo_400	1856_oligo_500	1856_oligo_600	1856_oligo_800	1856_oligo_1000	1856_oligo_1200	1857_opc_50	1857_opc_100	1857_opc_200	1857_opc_300	1857_opc_400	1857_opc_500	1857_opc_600	1857_opc_800	1857_opc_1000	1857_opc_1200	1858_opc_50	1858_opc_100	1858_opc_200	1858_opc_300	1858_opc_400	1858_opc_500	1858_opc_600	1858_opc_800	1858_opc_1000	1858_opc_1200
Adora1	1	2	6	8	12	15	20	32	37	41	1	1	4	5	7	7	9	16	22	26	1	1	5	7	8	13	13	21	23	29	2	2	5	11	11	13	14	14	23	28	1	1	2	4	6	11	12	14	16	17	1	1	1	2	3	4	4	5	6	8
Sntg1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	2	2	0	0	0	1	4	7	9	14	16	19	1	3	5	7	8	9	9	12	14	15	21	51	105	146	192	241	291	369	459	542	22	44	83	132	190	252	318	403	503	613
Cflar	5	6	8	10	14	15	17	24	32	36	2	4	7	9	13	15	19	23	30	39	0	0	2	2	3	3	4	4	7	10	0	0	0	0	0	3	4	5	8	12	0	1	1	2	2	2	2	4	5	7	0	0	2	2	2	2	2	3	3	5
Prim2	2	3	5	7	7	8	10	14	16	22	0	1	5	6	7	10	12	17	20	25	0	0	0	0	1	5	7	12	14	20	1	2	4	6	7	8	9	12	16	23	1	5	9	11	19	21	24	31	36	43	1	1	3	6	8	12	15	17	20	28
Adgrb3	75	142	265	400	524	689	837	1100	1388	1658	74	152	315	463	619	785	947	1261	1577	1882	10	23	41	58	74	93	110	145	177	214	11	23	38	50	68	82	98	135	175	209	38	87	166	257	335	413	477	633	779	935	36	75	159	230	312	398	478	620	783	963
Obsl1	0	0	1	1	1	2	2	3	5	5	0	1	3	3	3	3	4	4	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	2	2	2	3	3	4	4
Gpr39	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	2	2	2	2	2	0	0	1	1	1	1	1	1	1	2	0	0	2	2	3	3	3	3	3	4
Lmx1a	0	0	1	1	1	1	1	1	2	5	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Pld5	0	1	1	1	2	2	4	5	8	9	0	0	0	1	1	2	3	3	3	4	1	1	1	1	3	4	6	8	9	9	0	1	3	3	3	3	3	4	5	6	0	1	3	5	10	13	17	20	24	27	1	2	4	10	11	12	14	17	24	31
Syt14	0	1	3	7	8	8	11	13	18	20	1	4	5	6	10	12	14	16	18	22	0	1	1	1	3	5	6	6	6	8	0	0	0	0	0	0	1	1	3	4	4	11	18	23	29	34	44	55	72	87	6	8	12	16	26	31	39	44	52	64
1700112H15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	3	3	3	0	0	0	0	0	0	0	0	0	1	0	1	1	2	3	3	3	5	6	7	0	0	0	0	2	2	3	5	5	5
Cpa6	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1
Lactb2	1	3	3	4	5	5	5	7	8	11	0	0	1	2	3	4	4	7	8	8	0	0	0	0	0	2	3	4	7	8	0	0	3	5	5	6	8	8	9	11	1	1	2	2	2	4	8	10	12	12	1	1	1	2	2	2	2	7	9	9
Efhc1	1	2	3	3	4	6	8	9	12	12	1	1	3	4	4	4	5	7	8	10	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	4	4	0	0	0	1	2	2	2	2	3	3	0	0	0	0	0	0	0	0	1	1
Khdrbs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	4	5	1	1	2	5	6	6	6	9	10	14	1	1	2	5	5	5	5	7	9	10	7	16	33	51	66	80	95	125	165	191	10	12	27	41	54	59	77	109	141	168
Lonrf2	0	0	1	1	1	3	3	3	3	5	0	0	1	1	2	2	2	2	2	3	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	2	2	2	1	1	2	2	2	3	3	4	5	5	0	0	0	2	2	2	3	3	4	5
Actr1b	0	3	3	3	4	6	8	9	9	10	0	0	2	3	3	3	3	4	4	5	0	0	0	1	1	1	1	1	2	2	1	1	2	2	2	2	3	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2
1700066B17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnah7b	4	12	29	36	50	60	79	109	146	174	11	27	38	56	77	91	104	138	188	225	2	2	2	4	6	7	7	9	11	16	1	2	4	6	8	9	10	13	15	17	1	1	1	3	4	4	4	10	12	19	4	4	8	8	12	15	19	26	32	35
Gpr45	0	1	1	3	3	3	3	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	2	7	8	14	15	19	26	31	40	1	1	2	3	3	8	10	15	24	27
Dnah7a	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	2	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	4	4	1	1	1	1	1	1	1	1	1	1
Pgap1	0	0	0	0	1	2	2	3	6	7	0	0	0	0	0	0	0	4	6	7	3	3	9	11	15	21	29	35	43	48	4	8	12	17	20	28	30	36	43	50	2	3	5	9	13	16	19	30	39	44	2	4	8	11	14	17	20	28	33	41
Plcl1	11	20	44	61	78	97	113	146	189	230	16	33	61	83	108	138	165	219	275	319	229	438	934	1440	1914	2374	2855	3790	4742	5665	135	322	716	1078	1442	1805	2132	2891	3603	4259	40	75	156	242	321	402	478	664	845	1034	46	76	155	228	311	389	465	602	757	925
Pard3b	13	24	45	61	93	117	136	184	242	296	12	19	35	53	83	107	132	171	211	253	0	0	0	0	1	1	4	8	12	14	1	3	4	5	9	10	11	14	18	22	1	1	5	8	11	15	20	25	34	42	0	1	9	14	23	27	32	39	44	56
Bmpr2	3	5	9	13	18	23	26	36	41	53	5	7	11	12	18	22	27	40	57	65	3	5	7	13	19	20	24	32	40	47	4	7	12	15	21	29	33	37	46	58	3	8	16	22	28	36	47	63	74	97	2	7	16	24	30	41	46	65	83	101
Pinc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xrcc5	1	3	5	8	10	11	14	17	22	26	1	1	4	7	7	8	9	14	19	30	0	1	5	9	16	18	20	27	32	37	2	2	2	5	9	12	15	25	31	34	2	5	7	12	14	19	23	27	33	37	1	2	4	7	11	17	19	22	26	34
Spag16	2	4	7	13	16	21	25	31	44	50	3	6	11	15	22	30	33	42	53	72	0	0	0	1	2	3	4	5	7	9	0	1	2	3	4	4	5	6	7	8	0	0	0	0	0	0	0	0	0	0	1	1	1	4	4	4	5	5	6	6
D530049I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erbb4	9	23	64	98	126	152	171	226	292	355	16	34	63	101	132	157	187	252	330	394	63	122	256	383	493	614	739	981	1241	1491	41	92	188	267	369	478	583	785	1007	1234	76	165	332	507	674	837	986	1292	1620	1929	86	151	284	418	561	700	848	1106	1371	1630
Abca12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp37	3	3	5	8	9	11	15	18	22	25	0	0	1	3	6	10	12	19	23	25	1	3	5	7	9	9	10	15	21	26	1	2	4	8	12	13	16	18	19	23	1	1	3	6	8	11	14	14	16	23	3	5	8	10	10	12	13	14	19	24
