ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007411	axon guidance	13/122	248/17653	1.714689201742048e-8	2.1524246676356417e-5	1.968844557369564e-5	VLDLR/DOK6/PRKCA/NRCAM/NTN1/SEMA4A/CHL1/VEGFA/DAB1/NTN4/CDH4/DCC/NRP2	13
BP	GO:0097485	neuron projection guidance	13/122	250/17653	1.8864370443783012e-8	2.1524246676356417e-5	1.968844557369564e-5	VLDLR/DOK6/PRKCA/NRCAM/NTN1/SEMA4A/CHL1/VEGFA/DAB1/NTN4/CDH4/DCC/NRP2	13
BP	GO:0051962	positive regulation of nervous system development	17/122	493/17653	4.99898517475204e-8	3.802561389594718e-5	3.478241263695894e-5	VLDLR/ARHGEF2/PPARG/NRCAM/GDPD5/NTN1/SERPINI1/BRINP3/VEGFA/RARB/DAB1/CDH4/LINGO2/LRTM1/RIT2/LRRC7/SYT4	17
BP	GO:0007409	axonogenesis	16/122	456/17653	1.0109756242478018e-7	4.934554029619388e-5	4.5136863511855935e-5	VLDLR/CDH11/DOK6/PRKCA/NRCAM/NTN1/SEMA4A/CHL1/VEGFA/DAB1/NTN4/CDH4/DCC/LINGO2/NRP2/UST	16
BP	GO:0045666	positive regulation of neuron differentiation	14/122	343/17653	1.0811906287509616e-7	4.934554029619388e-5	4.5136863511855935e-5	VLDLR/ARHGEF2/NRCAM/GDPD5/NTN1/SERPINI1/BRINP3/VEGFA/RARB/DAB1/CDH4/RIT2/LRRC7/SYT4	14
BP	GO:0050769	positive regulation of neurogenesis	15/122	430/17653	2.8207643992968695e-7	1.0554335973012506e-4	9.654157587750266e-5	VLDLR/ARHGEF2/PPARG/NRCAM/GDPD5/NTN1/SERPINI1/BRINP3/VEGFA/RARB/DAB1/CDH4/RIT2/LRRC7/SYT4	15
BP	GO:0061564	axon development	16/122	497/17653	3.2375263720897256e-7	1.0554335973012506e-4	9.654157587750266e-5	VLDLR/CDH11/DOK6/PRKCA/NRCAM/NTN1/SEMA4A/CHL1/VEGFA/DAB1/NTN4/CDH4/DCC/LINGO2/NRP2/UST	16
BP	GO:0001764	neuron migration	8/122	143/17653	6.741155431517098e-6	0.0019229145868402521	0.0017589093711445271	KIRREL3/ARHGEF2/NRCAM/NTN1/CHL1/VEGFA/DAB1/DCC	8
BP	GO:0010975	regulation of neuron projection development	13/122	450/17653	1.4225139231492e-5	0.0036068630806960823	0.003299234046321478	VLDLR/NRCAM/NTN1/SERPINI1/SEMA4A/VEGFA/DAB1/CDH4/DCC/RIT2/LRRC7/UST/SYT4	13
BP	GO:0060560	developmental growth involved in morphogenesis	9/122	218/17653	2.066024147793322e-5	0.004340552882029031	0.003970347509139521	NRCAM/RDH10/NTN1/SEMA4A/VEGFA/CDH4/DCC/NRP2/SYT4	9
BP	GO:0050770	regulation of axonogenesis	8/122	167/17653	2.0922910474285423e-5	0.004340552882029031	0.003970347509139521	NRCAM/NTN1/SEMA4A/VEGFA/DAB1/CDH4/DCC/UST	8
BP	GO:0016049	cell growth	13/122	477/17653	2.6204714628241496e-5	0.004983263231803924	0.004558241149807271	EAF2/PPARG/NRCAM/SMAD3/NTN1/SEMA4A/VEGFA/INHBA/CDH4/DCC/AR/NRP2/SYT4	13
BP	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	9/122	242/17653	4.6838137860497054e-5	0.0076774590153692234	0.007022649212360889	PCDH9/KIRREL3/CDH11/IGSF9B/CDH1/MBP/DAB1/SDK2/CDH4	9
BP	GO:0030900	forebrain development	11/122	366/17653	4.710097555441241e-5	0.0076774590153692234	0.007022649212360889	PCDH9/KIRREL3/KCNC1/GDPD5/CDH1/RARB/INHBA/DAB1/KCNA1/NOTCH3/GNG12	11
BP	GO:0061387	regulation of extent of cell growth	6/122	100/17653	6.758011201109524e-5	0.009814776136003171	0.008977674744081503	NRCAM/NTN1/SEMA4A/VEGFA/CDH4/DCC	6
BP	GO:0001655	urogenital system development	10/122	316/17653	6.881525774585923e-5	0.009814776136003171	0.008977674744081503	EAF2/KIRREL3/RDH10/SMAD3/PCSK5/VEGFA/RARB/NOTCH3/AR/PROM1	10
MF	GO:0005261	cation channel activity	12/118	316/17548	1.4647862225227004e-6	5.419709023333991e-4	4.687315912072641e-4	SCN9A/KCNC1/KCNT1/RASA3/TRPC7/TRPC3/CACNA2D3/CHRNA7/KCNA1/KCNIP3/CACNA1E/TRPM2	12
MF	GO:0046873	metal ion transmembrane transporter activity	13/118	457/17548	1.2397019642313389e-5	0.002037089000331035	0.0017618067029890033	SCN9A/KCNC1/KCNT1/RASA3/TRPC7/TRPC3/CACNA2D3/CHRNA7/KCNA1/KCNIP3/CACNA1E/TRPM2/SLC6A7	13
MF	GO:0005262	calcium channel activity	7/118	120/17548	1.6516937840521906e-5	0.002037089000331035	0.0017618067029890033	RASA3/TRPC7/TRPC3/CACNA2D3/CHRNA7/CACNA1E/TRPM2	7
MF	GO:0005216	ion channel activity	12/118	424/17548	2.869341367609994e-5	0.0026541407650392443	0.0022954730940879953	SCN9A/KCNC1/KCNT1/RASA3/TRPC7/TRPC3/CACNA2D3/CHRNA7/KCNA1/KCNIP3/CACNA1E/TRPM2	12
MF	GO:0022838	substrate-specific channel activity	12/118	437/17548	3.8499744504249366e-5	0.002848981093314453	0.0024639836482719594	SCN9A/KCNC1/KCNT1/RASA3/TRPC7/TRPC3/CACNA2D3/CHRNA7/KCNA1/KCNIP3/CACNA1E/TRPM2	12
MF	GO:0015085	calcium ion transmembrane transporter activity	7/118	141/17548	4.6724572332488316e-5	0.002881348627170113	0.002491977191066044	RASA3/TRPC7/TRPC3/CACNA2D3/CHRNA7/CACNA1E/TRPM2	7
MF	GO:0015267	channel activity	12/118	463/17548	6.712384987828315e-5	0.0031690189282827263	0.0027407731271634392	SCN9A/KCNC1/KCNT1/RASA3/TRPC7/TRPC3/CACNA2D3/CHRNA7/KCNA1/KCNIP3/CACNA1E/TRPM2	12
MF	GO:0022803	passive transmembrane transporter activity	12/118	464/17548	6.851932817908597e-5	0.0031690189282827263	0.0027407731271634392	SCN9A/KCNC1/KCNT1/RASA3/TRPC7/TRPC3/CACNA2D3/CHRNA7/KCNA1/KCNIP3/CACNA1E/TRPM2	12
