Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	rpkm	General
Ccnd2	818.9474662152298	-8.80942822589335	0.7218461117890419	-9.433351672445376	3.971898825265675e-21	1.636422316009458e-18	7.714755683901798	FALSE
C3	1082.8698368499508	-8.273475862569116	0.9760838875600943	-6.4271892431816	1.2998496096149664e-10	1.093704446174621e-8	6.231471010822725	FALSE
Smtn	3359.2849535198984	-8.2530416629808	0.7434682994434986	-8.4106365633361	4.0779146370099907e-17	1.082731646288786e-14	9.742393297272432	FALSE
Rgcc	1015.4274183024115	-8.095626296169714	0.5904377556932189	-10.323910077554212	5.493919426998339e-25	4.688667808126869e-22	9.276319755664616	FALSE
Lmo2	443.7771277846262	-8.084087852443206	0.7805314840724157	-7.79480133293219	6.45098923827348e-15	1.1503943196849483e-12	6.620823645428152	FALSE
Lrrtm4	18621.324570523397	-7.837906492559359	0.4921980071213854	-11.860890146025358	1.889555198305025e-32	7.525468503116146e-29	7.565196656278341	FALSE
Fign	1691.9856035455382	-7.798136803631797	0.5375767674151857	-10.785690816794046	4.0220986749929484e-27	5.339559440979528e-24	6.655368238995413	FALSE
Fam198b	584.409300544302	-7.566528475222602	0.6133312195480682	-9.075892923442387	1.1274917862225887e-19	4.209772456808591e-17	6.633648320237393	FALSE
Vat1l	8231.166148404605	-7.541357969461722	0.5390460921645837	-10.279933478805024	8.678748071610695e-25	6.480855122475286e-22	8.311647303814627	FALSE
Lrrc7	6703.5818498662275	-7.498732557741473	0.5405412113875345	-10.172642606891305	2.6268348297215107e-24	1.6518643445006637e-21	7.234316582597207	FALSE
Mal	462.72235952932215	-7.433268151580404	0.6899215057972644	-7.875197549178858	3.4020489130831097e-15	6.556077486051129e-13	6.968002716899077	FALSE
Il17d	966.5346540753345	-7.382428126438138	0.5594282605937637	-9.621301792521813	6.500321367967963e-22	2.9871476809415855e-19	8.628151132524334	FALSE
Trim66	872.7204688737278	-7.146809803142361	0.713370435162339	-7.214778675220989	5.40217677825479e-13	6.952341292534277e-11	6.497240424728517	FALSE
