Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	rpkm	General
Lmcd1	5241.505092626774	-8.356728546060687	0.20934121025837948	-30.365395032420476	1.5736605239729446e-202	2.1930533062086957e-198	8.609489173187956	FALSE
Siah3	3915.9416581758906	-8.021160105606144	0.6367452976700086	-9.456151663214312	3.194853718491099e-21	1.996568673582599e-19	8.158562087927152	FALSE
Tctex1d1	1037.5106464353269	-7.798519935711006	0.3018644559849338	-19.20901855367965	3.110916832086105e-82	2.0644636653310457e-79	7.737300465570426	FALSE
Slc37a1	1057.2258627965919	-7.304751488253834	0.7406771615877566	-7.162029239408806	7.949146076895371e-13	2.8477969081648816e-11	6.363231979784613	FALSE
Bean1	1176.975682250869	-6.657908355498555	0.6627622543027523	-7.028022982990828	2.094803989394423e-12	7.17277356172007e-11	6.8580999550511095	FALSE
Gramd3	2069.7304389222572	-6.563128771197345	0.2783291814993748	-16.394719183290505	2.0860242049950352e-60	8.075231478003003e-58	6.311773654555475	FALSE
Maats1	751.2182268292116	-6.37598266010395	0.7053856916386686	-6.203673695079049	5.516009688315933e-10	1.54982078662038e-8	5.979645118103973	FALSE
Smoc2	781.124105637792	-6.325770737882084	0.7547335554576186	-5.731520357882105	9.95343998298463e-9	2.545158524823372e-7	4.201815120931684	FALSE
Padi2	682.8189445577892	-6.324467044158843	0.33301825718118766	-12.985675562544305	1.475306304089477e-38	2.0559868653790953e-36	6.077208417253334	FALSE
Galnt14	5360.004224795148	-6.262220317260697	0.1789384805288508	-23.81947306506543	2.0989525900290618e-125	4.178714756377858e-122	6.983226525569618	FALSE
Lrfn2	2669.5502605111124	-6.225076650953087	0.21746280108639954	-19.428962700036376	4.391469848294927e-84	3.599971988578712e-81	6.189508968514115	FALSE
Timp2	839.3970526567424	-6.157892223559782	0.6003207636495478	-6.926117627987052	4.325468486497285e-12	1.438657012597283e-10	5.929791808140459	FALSE
Ky	485.89338752134546	-6.1571484617472345	0.3221740019771481	-12.90342621141138	4.305214084477946e-38	5.8821042628710444e-36	5.767874368096032	FALSE
Adra1b	730.2943543213594	-6.079137341478011	0.3187354842668634	-12.797876429919949	1.6849606981311214e-37	2.2578473354957027e-35	6.075502042156565	FALSE
Galntl6	29592.261782288344	-6.07808683086782	0.1881432008933545	-21.675440895572983	3.4987025567528696e-104	4.8757918830907985e-101	7.002194240804608	FALSE
1810041L15Rik	1112.7623568311512	-6.049335444288739	0.3082013846372215	-13.138602375375898	1.9784724553855082e-39	2.9023149619213096e-37	6.33333657267384	FALSE
Slc13a3	467.23117271679826	-6.019710288163648	0.3122947218465796	-12.871528101388801	6.510128599034579e-38	8.808267199625816e-36	4.724158822004673	FALSE
Ano5	506.60168505394205	-6.009305006131839	0.27828397389556425	-14.407243615244875	4.659376418679684e-47	9.691502950853742e-45	4.906717198386199	FALSE
Arsg	1740.9240593852328	-5.99687039818263	0.20407900187462868	-19.58491741662877	2.079435324317039e-85	2.0699293342630185e-82	5.832135282259238	FALSE
Unc5d	26179.14015127883	-5.96922423816813	0.1635303921461535	-24.272089035417217	3.865535840727417e-130	8.97835124606288e-127	7.969359467149973	FALSE
Wdsub1	725.3331259116688	-5.87869810154928	0.2759254871093453	-14.057049032270832	6.973392777387856e-45	1.2620935291646384e-42	6.226860422454733	FALSE
Spats2l	4669.515349511066	-5.8631009670865835	0.16588482230057378	-23.287850651501234	5.886482010901589e-120	9.114890367102726e-117	7.166773049103785	FALSE
Pkd1l1	578.6001581678071	-5.843045143678295	0.2745131076210587	-13.9994959693629	1.5698009238521087e-44	2.8047109839491006e-42	4.1558062034264385	FALSE
Ptprb	1905.9337060787147	-5.760422550092969	0.26542841969343384	-14.167369697774657	1.458622827608872e-45	2.746941584534762e-43	6.336955947001548	FALSE
Epb41l4b	2524.1425943019062	-5.729840759973449	0.5959244054919901	-6.258915939000894	3.8766274834756836e-10	1.0980626140186407e-8	6.4941796599629225	FALSE
BC030499	510.97052931079384	-5.651543179398119	0.28156102479881606	-12.968922747767586	1.8359241137622903e-38	2.533211727662503e-36	9.522832800545325	FALSE
Golm1	812.9382228366303	-5.602508126032266	0.2401678135208913	-14.999962206504815	7.346114080710207e-51	1.765093893599611e-48	5.8776775874302425	FALSE
Exph5	5364.214116500889	-5.540264172891812	0.28051457518681805	-12.620606863418967	1.6256367855260273e-36	2.059534022099156e-34	8.283811600943041	FALSE
Mei1	460.59581858296684	-5.5162142357961566	0.3271440879540079	-10.74821268446853	6.042104051957922e-27	5.04208156096321e-25	4.594033827233924	FALSE
Kcnb1	814.8947146814461	-5.461042110894223	0.2400919701669367	-14.41548465151812	4.135261572649965e-47	8.731667466128774e-45	5.1806494556989175	FALSE
Antxr1	2071.308151623426	-5.460991111730287	0.18455376548187966	-18.753294481385716	1.8196169198650094e-78	1.1025296258799466e-75	5.538699093173069	FALSE
Baz1a	1264.1946824527517	-5.45947218501677	0.20893753883135843	-16.55744680619141	1.4147120617087262e-61	5.974371906658427e-59	5.76167021370743	FALSE
Nme5	438.6080490828947	-5.457320033681562	0.2972409922374939	-11.631370248283865	2.8547780037545237e-31	2.8829120478494956e-29	6.582688215466245	FALSE
Rhbdl2	564.1986416055871	-5.421624611912088	0.3020908646141488	-11.32647495409178	9.703169242603553e-30	9.325749418270559e-28	6.203196255569885	FALSE
Cemip	1805.6607373795875	-5.418404613917349	0.25438716771606085	-13.437802875862305	3.630568781613172e-41	5.8155869586851914e-39	5.783774004024369	FALSE
Iqca	1542.8254163467836	-5.392727264161714	0.2853884640435359	-11.88810232933646	1.364721320105706e-32	1.4858403372650872e-30	5.5084395191628035	FALSE
Clstn2	5180.641885091891	-5.360832166568539	0.2337487933104549	-14.377965845174776	7.115532259200679e-47	1.4371312690466763e-44	5.409486848641614	FALSE
Ttc12	422.26000432567525	-5.359467966260525	0.30727129297644845	-10.93323080629605	7.995020422264292e-28	7.234974324978907e-26	5.4767337861769345	FALSE
Garnl3	4476.587668970149	-5.33555117059261	0.22156286567826952	-15.054648983625937	3.218028613493574e-51	8.304897547712304e-49	7.512571343888707	FALSE
Thsd7b	3957.710979068223	-5.335413289450379	0.2530939785843058	-13.178556471818037	1.1660053234718889e-39	1.7286649136068344e-37	4.523273274320004	FALSE
Zfp804b	3219.3632054068958	-5.276684684730655	0.7073431421649223	-4.632383477560699	3.614797936149798e-6	6.807543788943728e-5	4.870558418595479	FALSE
Ccdc146	821.6153477409672	-5.276646642140854	0.24812906585807093	-13.205412396204666	8.165131113319195e-40	1.2504315076397397e-37	4.6531618105620165	FALSE
Abca9	609.8109840099974	-5.200424777570245	0.24281083393437217	-13.18073302460329	1.132847262506554e-39	1.697565532289391e-37	5.215357661398326	FALSE
Hacl1	439.82427850111696	-5.158078512866496	0.28952864022380176	-10.907654974738746	1.0595428119893877e-27	9.46524912043853e-26	5.803507501987652	FALSE
Tns1	853.6982205364258	-5.0897949030911	0.24472242394874144	-12.625712238524883	1.5235667338383166e-36	1.9479289910798884e-34	4.956452762008713	FALSE
Rin2	2774.776575717277	-5.029149257939216	0.20352993104185663	-14.883065318369617	4.245917556963866e-50	9.86185117897474e-48	6.969275215030306	FALSE
Ap1s3	484.01605172970494	-4.96362184956575	0.2601803663737918	-11.390643694105728	4.655377924842883e-30	4.568827236662705e-28	4.985611297681233	FALSE
Fam135b	7920.100815377371	-4.931599729142628	0.48882082082881306	-5.997288994711798	2.006388138962355e-9	5.429325263025122e-8	6.810943040529924	FALSE
Fam19a2	4909.138696436487	-4.927785707545313	0.24794873700809184	-11.808028316150546	3.5478358009696075e-32	3.717491708444545e-30	5.710672877214024	FALSE
Cdh22	1305.1027589715075	-4.882345645158328	0.21275755644891087	-13.547559453431026	8.190839105145041e-42	1.3752714911964011e-39	5.645232568479176	FALSE
Susd1	720.3016645225398	-4.876104931977089	0.32142263629715295	-8.94804723497492	3.6182621649565035e-19	2.0665615381489275e-17	4.802369473435218	FALSE
Cmya5	1316.2017004454615	-4.85333984980494	0.2008923528902122	-14.203327347976716	8.736378628296606e-46	1.6678105830676918e-43	5.955579201916207	FALSE
Jhy	476.22003687594844	-4.8336929079453	0.323018257103571	-8.772547203227335	1.7466925661537056e-18	9.362272154583863e-17	5.000895990832147	FALSE
Basp1	1172.1752152134718	-4.796649083694245	0.19531451772459757	-14.318695385653044	1.6723314589748909e-46	3.2824804524329685e-44	6.679679501384678	FALSE
Col26a1	723.1499504507311	-4.6918252660195705	0.2520107409509974	-10.681391022706395	1.2439356829531735e-26	1.013771209218446e-24	4.225068079389452	FALSE
Kalrn	2230.2742574702643	-4.649323140250118	0.16380818944198366	-16.173325334191762	7.778414636718056e-59	2.6439021067634834e-56	4.765367912981857	FALSE
Map3k20	706.9848618074205	-4.642122206110169	0.22024982428720102	-11.99602412697001	3.7277757653268226e-33	4.123038338539254e-31	4.246867847568861	FALSE
Pde9a	2176.1834415953494	-4.614121931281851	0.18237837160577947	-14.333508454239377	1.3511837405666323e-46	2.6900138012195127e-44	6.5195956224955065	FALSE
Abca6	711.7291369115463	-4.611081615556221	0.2430777062810964	-10.74175684600525	6.479938565567949e-27	5.343457032529878e-25	5.858413332929519	FALSE
Prkd3	485.40761073495037	-4.58968919596009	0.2918011262887111	-8.874843044292517	7.003210587092509e-19	3.935352529908113e-17	5.1985328659592955	FALSE
Tnfrsf19	544.8859793795485	-4.553208294160507	0.25207932200982774	-10.128590769777484	4.125521151644848e-24	3.0101184695980417e-22	4.966641855625796	FALSE
Adcyap1r1	492.53892067030586	-4.513459989534695	0.26495766657072434	-9.486270097656469	2.394490565923007e-21	1.5099375803938021e-19	5.417123013094166	FALSE
Scrg1	418.8275485113865	-4.451835697953884	0.2669014564616923	-9.186295685523133	4.0660239534540195e-20	2.421543154501505e-18	7.168075878524279	FALSE
Ell2	762.1723970800817	-4.438906301889375	0.25949640164969107	-9.398613184555034	5.528694413322397e-21	3.4091984665513685e-19	5.619052722493083	FALSE
Mob3b	860.6414068798482	-4.403699707977329	0.2032109121945667	-11.828595630119892	2.7774983001116817e-32	2.932364871996697e-30	4.433799723952825	FALSE
Ak4	443.71366931663425	-4.387956866567511	0.3340665929684358	-7.1481462583513595	8.795757044074622e-13	3.134978776629768e-11	4.754305862872854	FALSE
Ift122	1393.4330621837576	-4.247407865359653	0.19473720764739041	-11.540721429204337	8.223262320956394e-31	8.244559978766066e-29	6.463471448678837	FALSE
Tub	712.2908842159609	-4.242130135486344	0.24157661349292878	-9.281238374309664	1.6752005487582495e-20	1.0106318115798685e-18	5.744340866245599	FALSE
Kitl	1089.2513463115192	-4.192490421997261	0.18001223027885277	-12.17967478432396	3.988691587059826e-34	4.593917847707912e-32	6.039656157969581	FALSE
Mamdc2	808.8265564711218	-4.1650210909370164	0.3244964827419939	-6.671940085891217	2.524436364735074e-11	7.923546211474773e-10	4.476433838426541	FALSE
Abcc8	724.9424776123171	-4.164327837192832	0.23597426821117815	-9.171880703772036	4.648372557732468e-20	2.7565838282791347e-18	5.4498622179645455	FALSE
Cep112	2496.5087264118843	-4.131142844710913	0.2622786089751425	-8.125492403053322	4.455498984071122e-16	2.0424945342768144e-14	4.485396827052908	FALSE
Ehd3	1776.1994898597404	-4.130814364855143	0.23088526365628206	-9.228888544516543	2.7345456055627006e-20	1.6355634145545833e-18	7.96706885513319	FALSE
Capn5	696.4084002304011	-4.071155061919783	0.2310892567354359	-8.962576154247444	3.171797970249511e-19	1.8265362195618672e-17	5.885882937935449	FALSE
Rab3b	1722.064476365989	-4.0379728583674135	0.18403242812259546	-11.073987770295531	1.6776521427509464e-28	1.5381421224590256e-26	6.703305472260441	FALSE
Vcan	14819.152440417538	-4.016843154164979	0.23181771512475285	-8.700125238830923	3.31518100890144e-18	1.7434099071717158e-16	9.366390176729865	FALSE
Trim66	1045.5484207627912	-3.9219123846501103	0.25888506311881554	-7.423805612794458	1.1380214631776472e-13	4.333187735203194e-12	6.445324685615255	FALSE
Cdon	1525.0548944786458	-3.920068122406241	0.24771934172676072	-7.750981853181709	9.118471852921593e-15	3.816066779048508e-13	6.143369129735664	FALSE
Gucy1a3	542.3890412531869	-3.8904982199918083	0.2490850046393703	-7.589771302085829	3.204706067325206e-14	1.2945154711375092e-12	5.370600968724235	FALSE
Stard13	1008.2123129716424	-3.8889328724689647	0.23593742080173616	-8.006075789292789	1.184267572017135e-15	5.2560359502008895e-14	4.769200114653385	FALSE
Slc35f4	3794.936215616886	-3.888018744843961	0.21608170012453373	-8.737522630356224	2.3827796991676826e-18	1.257818859378819e-16	5.937026089416019	FALSE
Ano4	6850.049595458101	-3.8321290922247284	0.17033331115309505	-10.756140885314068	5.544363168941335e-27	4.65459307966063e-25	6.669755217398622	FALSE
B3gnt5	571.2917965657139	-3.828607009861776	0.23109418807179424	-7.912821283474603	2.5162044648591585e-15	1.0992421762469353e-13	7.132802015416496	FALSE
Klhl5	739.8861380987984	-3.7305943260642533	0.2008614268665516	-8.615861955486487	6.941735517096906e-18	3.556618609053768e-16	5.94965873113447	FALSE
Ttc28	5615.957897526193	-3.7130421596362746	0.15734081900566982	-10.887461819901578	1.322754916509691e-27	1.1593655670741544e-25	5.300087419852247	FALSE
Rnf213	1206.9649163008373	-3.703919279533321	0.21080289863309204	-8.082997390368133	6.319397637286208e-16	2.8500687855411194e-14	5.427949734888719	FALSE
Dync2li1	731.8719119110906	-3.7009712343421377	0.20767651650744653	-8.190484234557868	2.6017725161544003e-16	1.2086100595042574e-14	6.645714163313592	FALSE
Ccnd2	1740.1354343530918	-3.6911227513143055	0.22988903862767301	-7.356256572342444	1.8913931495536268e-13	7.104704833471521e-12	8.070835828985684	FALSE
Tcerg1l	3891.79131009439	-3.6627381038194224	0.18392273436579346	-9.040416398510569	1.5607613861207087e-19	9.02521604853867e-18	6.43870784650478	FALSE
Slc22a4	806.455962935041	-3.6535859131241044	0.22146846824794164	-7.466462048551569	8.237971836453366e-14	3.2068261316428518e-12	6.309909339562204	FALSE
Hhip	854.1339817509121	-3.609646078077071	0.20076666702518592	-8.017496638897448	1.0792203625011718e-15	4.8051166044141626e-14	5.392778867767549	FALSE
Efhc1	426.9260108632878	-3.6064428627250402	0.24987788073694628	-6.428911826798265	1.2852064546462744e-10	3.818899179520358e-9	4.759793549900381	FALSE
Jph4	1413.0587075953724	-3.5837546492101744	0.19723887277442026	-8.029627359620411	9.776916983405039e-16	4.381064793592689e-14	9.315097569278286	FALSE
Arhgef10l	3469.192887424283	-3.568456693034017	0.1810957119919868	-8.660926731956078	4.679442478421641e-18	2.4333100887792535e-16	6.735952611031772	FALSE
Unc5a	551.1456872113466	-3.5513071627367196	0.24724164094054532	-6.274457477451242	3.5085549939242574e-10	9.999022984729744e-9	5.231582222122329	FALSE
Tubb4a	1053.330053566805	-3.5498898891122392	0.30015627440485876	-5.163609830197008	2.4223234306623093e-7	5.274609270267178e-6	9.154759545288737	FALSE
Wwc2	1206.8550880777582	-3.5364999392803655	0.1873853901038807	-8.199678419051653	2.410309370731665e-16	1.12341375888015e-14	4.728074430207281	FALSE
Tgfbr1	758.2614546253645	-3.5241834170918778	0.20149258151483346	-7.564464188373459	3.894666127798557e-14	1.5596571022126633e-12	6.240192007224305	FALSE
Slc25a13	1424.860918364054	-3.5080967650198156	0.22824463170724368	-6.6073701437769845	3.912070673026676e-11	1.214223093525607e-9	5.096649307611964	FALSE
Ptprf	749.3110775188139	-3.4884818404308806	0.29022195920404875	-5.128770560687868	2.916405233961675e-7	6.2914896811903876e-6	5.266411354398063	FALSE
Plekhh1	755.7374691074856	-3.481114759910866	0.19873421648961567	-7.452741586591647	9.142024117489091e-14	3.519426743130607e-12	6.018948805793773	FALSE
Slc12a8	1268.2368925414626	-3.4808609244809094	0.21794975973684638	-6.794505881855104	1.0868438261992754e-11	3.506077676368774e-10	5.560056504788833	FALSE
Gpsm2	671.8509927174911	-3.4694540523340573	0.25640031860242557	-5.73109292665347	9.978557737333228e-9	2.5469080701002906e-7	5.754020190685805	FALSE
Spg20	1057.07717728679	-3.4642671801595712	0.21744144016867797	-6.7340759839692055	1.649749530563576e-11	5.225206694984998e-10	6.819352109161715	FALSE
Tanc1	3423.4236244265353	-3.443835252803378	0.2165924693481039	-6.666137826255029	2.6262264587645987e-11	8.224515040301898e-10	5.959957370272603	FALSE
Coro2b	1194.6058084952501	-3.4106776219117463	0.19578154581721674	-7.2053656335350755	5.788830294560908e-13	2.0899776939119382e-11	5.27115085565903	FALSE
Sfmbt2	2973.0453466566532	-3.397246830642847	0.24937416502082022	-5.603013570095326	2.1065672549695385e-8	5.223687057874642e-7	5.818428225739273	FALSE
Psd3	7888.298902467193	-3.3963355443886973	0.1953245566671926	-7.148796691077967	8.754187153428046e-13	3.1281628761582886e-11	6.27916481685782	FALSE
Lrrk2	803.8623572059828	-3.391713651218907	0.1977312950328536	-7.038408619068973	1.9444775753329495e-12	6.70748502223762e-11	4.742885914641457	FALSE
Itga9	1526.4396938975892	-3.385174719067388	0.2106415377176106	-6.575980853901547	4.833347458649501e-11	1.4771388198188475e-9	4.301994751511641	FALSE
Sh3rf1	1097.837235171254	-3.3552379047103646	0.24319725253976687	-5.572587233438258	2.5098374492958383e-8	6.157939206582184e-7	4.85488423532831	FALSE
Cntfr	663.6666399712853	-3.3311887754149136	0.19247212538945116	-6.916267863314571	4.636972557931208e-12	1.5349370443546155e-10	6.368897021249234	FALSE
Kcnip1	1095.647978924819	-3.302466027068133	0.2765695356083646	-4.709361876040049	2.484935424130952e-6	4.7765600097502e-5	4.4996128049897965	FALSE
Lzts3	1125.0913430104804	-3.2800042609086586	0.21708868463167166	-5.896227447692201	3.7190625061456696e-9	9.879545448132021e-8	8.92727056720179	FALSE
Fut10	1533.8368020598466	-3.2747031530814206	0.2017716751310265	-6.317552512034475	2.657381579221743e-10	7.667343620711016e-9	6.133529245562432	FALSE
Eml1	1168.6737818280697	-3.2555677899485445	0.2239020180063907	-5.6076662511934465	2.050729921410688e-8	5.094290942028404e-7	5.213647384797717	FALSE
Ntng1	3801.5606103174277	-3.22765084252062	0.21644474146132625	-5.671890359784848	1.4123035734280522e-8	3.559107160812538e-7	5.675453897342951	FALSE
Sidt1	1562.0364651745078	-3.2127142790383134	0.18417280940689734	-6.584654287153947	4.5594504107106755e-11	1.405763294771327e-9	6.2799687725017375	FALSE
Arhgef33	432.91366651226593	-3.210613172021345	0.2616376787162325	-4.62705974904461	3.708935403716289e-6	6.966000510268221e-5	4.575273843155944	FALSE
Hpcal4	996.7494100715796	-3.2013734396457334	0.17727253812501503	-6.776985608444938	1.2270910528354301e-11	3.940262883021786e-10	8.490724743615814	FALSE
Angpt1	3146.360220683093	-3.178964870225919	0.1585612324052561	-7.435391692798408	1.0425856136181282e-13	4.002609672557089e-12	5.896395330427415	FALSE
Traf5	509.29122242838633	-3.176405768232626	0.2127292329928852	-5.530061626612319	3.201183075062313e-8	7.78563478779553e-7	5.632686572564002	FALSE
Qsox1	510.1412192731453	-3.17493508049906	0.22257313241662358	-5.278872017219749	1.2998154817093014e-7	2.9311049438674473e-6	5.606450495129144	FALSE
Amotl1	1674.1222929283615	-3.1724978300509328	0.16471100455879034	-7.118515445836121	1.0909571254588746e-12	3.842827925862129e-11	6.182013905477314	FALSE
Rgmb	903.7972852533525	-3.164363964752033	0.1971742540382057	-5.905253555702149	3.521047797052815e-9	9.400253275809968e-8	7.281743441638174	FALSE
Pappa	1455.6814605994623	-3.160867488595822	0.19187856307571438	-6.050011371711958	1.4483561014406967e-9	3.942244263608896e-8	4.7814635440816335	FALSE
Atp1a1	3530.3941371183323	-3.1402820005370353	0.19080161102736543	-5.976270296656416	2.283040831946132e-9	6.142173172587123e-8	9.046302294345049	FALSE
Camk2b	1455.2631885350631	-3.1117738696397885	0.20399906443019492	-5.449896903915552	5.039902720118927e-8	1.2026726764996124e-6	5.969854781997256	FALSE
Wdpcp	3375.8779544003	-3.1104348585679173	0.18968126503100574	-5.85421474485845	4.79269033333234e-9	1.2602062733079147e-7	5.07812995573871	FALSE
Itgav	2689.5435706880944	-3.1100876683126923	0.16906742021680823	-6.565946690906746	5.170331214460007e-11	1.573225672592023e-9	7.10905178202484	FALSE
Dnaja4	493.6058006095819	-3.106546046319215	0.22284697448241134	-4.965497283009114	6.852525245241302e-7	1.4189716466223297e-5	6.982321110424262	FALSE
Grk4	1656.4179519701063	-3.1017794889030044	0.1760290615421254	-6.259077218561086	3.872620957558546e-10	1.0980626140186407e-8	6.645480880990323	FALSE
Epb41l5	2239.6162769846096	-3.0970710031881303	0.15694285729625204	-6.9902576140642845	2.743819511513772e-12	9.303617691595117e-11	5.975188639719317	FALSE
Gsap	851.2918682903274	-3.082574026246105	0.2355621807717314	-4.595703871901066	4.312908599080225e-6	8.056929522356839e-5	5.195264448457354	FALSE
Nefh	674.7485055813752	-3.0737091611569354	0.20726855164226757	-5.180280137288215	2.2155292321808315e-7	4.83186469165447e-6	8.130722043238888	FALSE
Fam65b	1555.7827422931923	-3.0663175157446285	0.17522892604293835	-6.08528249202039	1.1628609349884666e-9	3.177574507842994e-8	5.778789391287649	FALSE
Faim2	2771.1113953427907	-3.0256664662049304	0.20134927840930786	-5.093966436372967	3.506488698462559e-7	7.494850690456169e-6	8.43523900678194	FALSE
Phyhipl	4700.346617992294	-3.0097350938962437	0.16407675926387616	-6.1540409405108925	7.553317191095534e-10	2.1010584506009454e-8	8.248746396093338	FALSE
