Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	rpkm	General
Vwc2	4828.838385128534	-10.388604500522769	0.3599433234160186	-23.305348244582692	3.9128882474622324e-120	2.3457765043536082e-116	7.9093442044516475	FALSE
Pde1a	24423.744695599125	-10.255968692859042	0.3622338546113568	-22.791819670519	5.527053417072739e-115	2.2089790156900713e-111	8.870396226051241	FALSE
Clvs2	3687.4424273744908	-9.097201549490281	0.32610667774948876	-21.763435200006136	5.153911984851108e-105	8.827914956909254e-102	8.451512830668943	FALSE
Meis2	1518.304754600357	-8.965855555486156	0.37763378984794793	-18.44606002627815	5.608829219716179e-76	5.604155195366415e-73	5.735453943085547	FALSE
Cobl	2679.071083761268	-8.89355041184266	0.31640799349593585	-21.786903471296803	3.088412480493676e-105	6.1716776068531954e-102	6.0399052489080995	FALSE
Galnt5	1297.9828784238332	-8.217726602368584	0.3768357063283474	-16.499834007106816	3.679025232111228e-61	1.917891849261462e-58	7.366425880848225	FALSE
Ifit2	551.6089952621192	-8.2086461971513	0.4907541514554282	-12.651235203489028	1.1012962135561383e-36	2.1297647742803385e-34	7.295484389181534	FALSE
Basp1	1072.1156226311612	-7.853059923354085	0.3840655849322548	-15.239740692690557	1.926333469736026e-52	7.450560742624177e-50	7.03886989225383	FALSE
Clip4	965.485815684183	-7.831266365187916	0.3417806000022742	-17.061431705454066	2.8742362670751e-65	1.9145607134572472e-62	6.703289594099654	FALSE
Pde5a	3457.975499039017	-7.791450060659301	0.35062165578315	-16.517662172701492	2.738074676818521e-61	1.4922506988660939e-58	7.5225662675367415	FALSE
Rasgrp1	2541.636090284996	-7.364925894594636	0.7938197663905532	-6.758367732500042	1.3955496597818688e-11	5.328866376046053e-10	7.929755110706732	FALSE
Adamts16	4026.104294942382	-7.231129965183957	0.40027749988867306	-13.068758465411776	4.9669555940821306e-39	1.1452653379431681e-36	7.351576907768937	FALSE
Sh3gl3	2719.0876101975878	-7.104896520942923	0.28797580288382196	-17.726824510330093	2.6032878299074207e-70	1.8360835929758807e-67	6.861633840733896	FALSE
Stac	1944.0163480053484	-6.714356887601064	0.3506162311316988	-13.445917413419041	3.2534555378021883e-41	9.287840928154342e-39	6.40798829047256	FALSE
Dab1	9880.065218762262	-6.667336514130286	0.24194495400486604	-19.290902483696417	6.404552630879508e-83	7.67905860442453e-80	7.394939172982615	FALSE
Iqsec3	2222.817316057025	-6.663323593596172	0.37800264766360747	-12.33674849215914	5.742856963872736e-35	1.0432856817702137e-32	7.146219949796089	FALSE
Nkain2	21584.603295940764	-6.447602638056081	0.34062587624120594	-13.057148467800546	5.785452650207122e-39	1.3088222127544036e-36	7.24081156645948	FALSE
Sgcz	10314.616915750386	-6.315577164099579	0.2627903092762495	-16.422132064097433	1.328166302523044e-60	6.3698855869005194e-58	6.032100492313175	FALSE
Mal2	696.2935028699276	-6.094113250869819	0.3356092508928239	-12.199047672190853	3.1448038055369214e-34	5.545029062998189e-32	7.084288881964056	FALSE
Spats2l	815.8030793851063	-6.057994698201012	0.31356281016558885	-12.941568855241579	2.622193899399762e-38	5.614304438179134e-36	5.09577594442813	FALSE
Ninl	546.109589591357	-6.0570559047737085	0.3326971851335172	-12.194440127726182	3.3278331860607974e-34	5.782713029111444e-32	4.897558148021147	FALSE
