Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	rpkm	General
Gldn	6688.700443212623	-9.138463672958045	0.6898129636738077	-10.34840463846895	4.255170834314363e-25	4.990889871567317e-22	8.510052634824843	FALSE
Zic4	720.8562972028351	-7.652894633579818	0.6827646479861241	-8.279419050552105	1.2377764088470032e-16	4.0327443053795836e-14	7.175054222835893	FALSE
Cd22	729.7982382730705	-7.5374447705370065	0.6285469130918299	-8.809914829265884	1.2524097931012208e-18	6.120631026368424e-16	7.231017850103334	FALSE
Clip4	2924.1607316300992	-7.417477152953198	0.6142588609302078	-8.819534397516382	1.14936637769811e-18	5.861268801748319e-16	7.2562084639002276	FALSE
Hpn	540.8690794455256	-7.346936309154587	0.6318442906424793	-8.462427196608285	2.6186922106563582e-17	1.059125549613394e-14	6.28402299964234	FALSE
Baiap2	5683.826911437705	-7.296386147695708	0.9491509220277824	-5.580130646009823	2.4033799424240244e-8	2.01351738176367e-6	6.96523310853871	FALSE
Eln	1563.6018920015345	-7.096342847313957	0.5402213925246485	-9.4338042103385	3.954793049248273e-21	3.0923845116421992e-18	7.106347140904207	FALSE
Fam124a	3007.8834907590513	-6.980261741331696	0.4854884009657929	-10.258250725299206	1.0865717718781917e-24	1.158581846578119e-21	7.572254381926317	FALSE
D630003M21Rik	3181.885702675019	-6.776846633586514	0.5277991441596191	-9.050500908243006	1.4231398689733136e-19	9.818827954816468e-17	7.8782202388895595	FALSE
Itga2	2350.331399339781	-6.5484788432495415	0.600110132844086	-7.5794068360303415	3.4713836833461026e-14	8.662948770631156e-12	6.358587319793298	FALSE
Colgalt2	2944.2609858809687	-6.544762469794358	0.4845174470210017	-9.379976918761734	6.598717209422613e-21	4.837272134332364e-18	6.752623385990459	FALSE
Pde1a	8140.3835448025475	-6.514169478891992	0.5944568360861034	-7.593771666607838	3.107257369370668e-14	7.922830801162733e-12	6.227004736010061	FALSE
Ephx1	1182.8521978397594	-6.408748026959422	0.5470237894059479	-8.059517908256232	7.659592107268034e-16	2.191203800637726e-13	6.973079747791846	FALSE
Lrp2	2181.3807455538245	-6.345642386764111	0.48408435062485256	-8.977035471513979	2.7816023004912506e-19	1.631270669123094e-16	5.112949004680803	FALSE
Hs3st5	4315.582153222221	-6.225203236424078	0.4691614800251384	-9.005861342661134	2.139794249049603e-19	1.3209287761633048e-16	5.806020568654902	FALSE
Vstm2b	1443.3211661044331	-6.176233935234395	0.6317822917786404	-6.61024215078449	3.8369187967949254e-11	5.6254025709509604e-9	7.03230748730826	FALSE
Grb10	1379.6417465137165	-6.135846929107209	0.5927104382454419	-6.977854045139241	2.9972278926703245e-12	5.670078379537136e-10	5.159891133761986	FALSE
