Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	rpkm	General
Thbs2	522.2148304650067	-7.558521358942587	0.7061430348362722	-7.871664924417752	3.4995241327685414e-15	1.0577311691292916e-12	6.495182483514871	FALSE
Akr1c14	439.1782769985454	-7.025947674651072	1.0322582843749726	-4.868885772802743	1.1222925416930737e-6	6.899245845289455e-5	6.027201914582636	FALSE
Crispld1	445.15665717697317	-6.865501408383176	0.7688190862479571	-6.328538788140816	2.474936475237546e-10	3.590637838274632e-8	5.573552855635194	FALSE
Scn9a	4142.541406265063	-6.837803136152563	0.4923802498082868	-9.82533953796118	8.757840339543796e-23	1.058822897050845e-19	7.23556641133262	FALSE
Cmya5	2393.9089612219996	-6.5371331113636755	0.5239125396526456	-8.660096424437175	4.713653672642457e-18	2.2430448211621027e-15	7.113878511949091	FALSE
Ano5	767.3685229785104	-6.3788011367846895	0.5553989275566229	-7.884064803741039	3.1689980652543666e-15	9.851962270866505e-13	5.80482957701704	FALSE
Cacng2	1586.4884076763387	-6.299732137156213	0.5909403483472812	-7.276084886032128	3.436474003527954e-13	8.309394140530593e-11	6.196225030731781	FALSE
Ankrd55	457.00187879431536	-6.289463828117736	0.8126383111048248	-5.278441552042978	1.3028720931564937e-7	9.91367219974532e-6	4.083188186728924	FALSE
Egfr	1300.7221600938315	-6.257340093268865	0.5414849880299003	-7.862341869824428	3.770173638814722e-15	1.1087367395660269e-12	5.4428508373042295	FALSE
Galr1	639.2176156791987	-6.221184429380993	0.7157767591922712	-5.897347706768868	3.6939093253435867e-9	4.1436523060890274e-7	6.979629731788164	FALSE
Snph	12744.931322585899	-6.070748537333761	0.4976413502867722	-8.18008498487503	2.8364375465318305e-16	1.1022598908504588e-13	10.893598911253562	FALSE
Tmem132c	12366.864635149248	-6.0126338057631825	0.5581414285444766	-7.189277843480181	6.513490695576912e-13	1.5079423884802632e-10	7.496998854461401	FALSE
Chst9	1551.432797174555	-6.00935017051133	0.5044681159435696	-7.947678047030074	1.900397641609274e-15	6.266129314651671e-13	5.187873029793995	FALSE
Apcdd1	1216.6155939507962	-5.948229764981578	0.5588160354736853	-7.065348011416363	1.6021395903648904e-12	3.631850183908411e-10	7.80014285434766	FALSE
Nos1	934.8378007414337	-5.905493361345956	0.6279961642527047	-6.218976458229435	5.004083712518253e-10	6.405815867754247e-8	5.280372576886782	FALSE
Slc25a43	573.8486359972842	-5.8952912790955265	0.707482874672647	-5.505845326500491	3.674010036910996e-8	3.2767953452154548e-6	6.07436433677909	FALSE
Kcnip4	59221.82760768935	-5.861591074723172	0.50935416211623	-7.581347836011189	3.41983370302715e-14	9.302802630659605e-12	8.250302314531488	FALSE
Ntng1	2973.9827219634935	-5.852454621445223	0.6016763691170066	-6.402868417616124	1.5248460328575753e-10	2.4046158961627935e-8	5.625122733489054	FALSE
Apod	3853.3934799378762	-5.647613086198699	0.5418758012178134	-6.731455949870877	1.6797368887600675e-11	3.206529313438297e-9	10.559996766758413	FALSE
Cdkl1	789.9738542641023	-5.570305715859101	0.5911488924398427	-6.039604846629104	1.5449210020824164e-9	1.8272049373542145e-7	6.268091574953337	FALSE
Dab1	4050.0467996877474	-5.440733145155355	0.4955099519407047	-6.943822483644267	3.816300058611531e-12	7.985607872644629e-10	5.9182281972777355	FALSE
Acacb	983.38331582636	-5.417041286550046	0.6173031456743592	-5.5354347543736795	3.1045729131258305e-8	2.8387275519094255e-6	5.2216319992407305	FALSE
Ccdc146	2515.101481647758	-5.410459335919402	0.5073754153781292	-6.721767024083548	1.7953385410160288e-11	3.3110302821687136e-9	6.533180003895225	FALSE
Cemip	1003.6173575495743	-5.397208529713157	0.5539222023472516	-6.133006612331925	8.623356230847272e-10	1.0425637683094352e-7	5.198510012299911	FALSE
Pde5a	1092.0698243924812	-5.362263713623501	0.6693418409384982	-5.023238512789221	5.080738324211947e-7	3.310390042260491e-5	5.573851046264357	FALSE
Mamdc2	727.7435961567043	-5.337607925957456	0.531936209622441	-6.274451457866407	3.5086907267499606e-10	4.894623563816195e-8	4.689477725636695	FALSE
Col15a1	894.7991521606017	-5.22416871294269	0.5419915197580017	-5.948743837140249	2.702081291473407e-9	3.094878582370752e-7	5.475974965026975	FALSE
Dgkg	6649.035580342447	-5.1673409652175595	0.5652080229708341	-5.6038499746862245	2.0964218220972312e-8	2.000979460196489e-6	7.576471718167683	FALSE
Pou6f2	1505.3547760831666	-5.092733157195753	0.4944253793991974	-6.255207127421125	3.969886749769387e-10	5.3995422155300874e-8	4.324583285711208	FALSE
Atp13a4	2036.1388873749934	-5.047113252911263	0.5179866310615789	-5.882609840077162	4.038471499824294e-9	4.43864731207961e-7	6.386529741200377	FALSE
9030617O03Rik	407.30900604756596	-4.980157903963877	0.5804232669275974	-5.134456307616671	2.8296081776551364e-7	1.9992835442250347e-5	4.564846255734645	FALSE
Rgmb	784.353664367479	-4.903211798207	0.5251677821099043	-5.528160517659918	3.2360589942188495e-8	2.9342964930079417e-6	7.533632508404812	FALSE
St8sia5	809.4816423946961	-4.850782045201109	0.5607580480034117	-5.0838005006818285	3.6995652051620595e-7	2.5003086333769175e-5	5.807492718429451	FALSE
Htr2c	992.1571813652769	-4.836743130432326	0.5088289784461533	-5.5750424024494185	2.4746958099609102e-8	2.341492618103014e-6	4.293769499086651	FALSE
Golm1	802.1202777165284	-4.755019822446094	0.5463520296651174	-5.042572687310714	4.593141904022639e-7	3.028968306525475e-5	6.128745687833877	FALSE
Hecw1	7957.687750104624	-4.679172280399852	0.4758195530896382	-5.630647717192764	1.795340996791877e-8	1.772720764090654e-6	6.799917442433168	FALSE
Etl4	3617.193438139394	-4.66534543116119	0.48114877528442335	-5.539545288431034	3.0325801668635185e-8	2.7963987114950803e-6	6.081356057876528	FALSE
Fgfr1	2171.9060100371903	-4.637300076882054	0.5170679771708369	-5.100490058023266	3.3877517672565836e-7	2.333046011361955e-5	7.8975556056954686	FALSE
Sel1l3	2917.0715180442307	-4.474342747447683	0.48898851129309795	-5.060124502525523	4.189828060586661e-7	2.7969030139413168e-5	7.325042850652594	FALSE
Kcnb2	1624.1493755279682	4.464291580824526	0.5074797108800384	4.855941090829249	1.1981632089649636e-6	7.283359707680319e-5	5.422064800797622	FALSE
Cobll1	2739.2726998565313	4.499276884159248	0.4814775687307859	5.190848019664853	2.0933844841100297e-7	1.5287326558121633e-5	7.69028729399421	FALSE
Fmn1	1234.9321290682253	4.519062539068843	0.5042689427556706	4.995474290569951	5.86913428340931e-7	3.734622815074661e-5	5.175157947496407	FALSE
Plekhg1	2301.45461454463	4.578159213280324	0.49322141702775363	5.227184230597292	1.7211098694625325e-7	1.2826983897001243e-5	6.849407905616086	FALSE
Neu4	2013.5672206630927	4.6305392691561975	0.5037617531701672	5.22179235045583	1.7719960480569514e-7	1.302776283709979e-5	11.513262603138827	FALSE
Mbp	26991.321703678448	4.66214611164335	0.4782227883607978	5.56674875483951	2.5953618306469996e-8	2.4344941447646553e-6	11.43945348028169	FALSE
Kndc1	2101.6699670119124	4.879294631540559	0.49478070534205804	5.8193349103013405	5.908224624603723e-9	6.302685503952266e-7	9.0070320548134	FALSE
Nedd4l	945.1951246350751	4.88894390713307	0.5930504893201163	4.871328764006261	1.1085021010735504e-6	6.853188273739376e-5	5.040401934105388	FALSE
Arhgap24	4484.124449134303	5.059550105393323	0.4813373963380199	6.356352381240599	2.0660079154087953e-10	3.079483853090836e-8	6.94626566704131	FALSE
Tenm2	1611.6240801698434	5.069025807416097	0.5089640068004687	6.029946649290783	1.6401381448589105e-9	1.9189616294849253e-7	4.315165467526142	FALSE
Nkain2	16985.949492741707	5.092032365181336	0.4946923326786248	6.250414976999583	4.0936353703226153e-10	5.43205444688785e-8	7.341543259038373	FALSE
Sulf1	949.2158551704543	5.1011852621268865	0.5488009464279029	5.650838035743613	1.596674824243128e-8	1.593891629595365e-6	6.018507188238908	FALSE
Sdc2	679.1528212601911	5.239792524060949	0.6123505387269765	5.290748222082397	1.218169683468806e-7	9.40064136583268e-6	6.085382400615906	FALSE
Synpr	1903.458899873883	5.255072170884202	0.5903441599199939	5.513855123637277	3.5105761488727095e-8	3.1569073616433017e-06	6.0557485215892335	FALSE
Prr16	1257.003741626812	5.268104718401309	0.6770758825584345	4.826792391500162	1.3874962816899155e-6	8.341075713297222e-5	6.280665006994724	FALSE
Epha4	453.61276735476105	5.2802709822812455	0.6102862657724638	5.374971003368845	7.659500754858194e-8	6.313865735879698e-6	5.125641955588961	FALSE
Nkain1	541.5765270002472	5.314738004115445	0.5965628829650415	5.556393296948863	2.754059461431223e-8	2.5612752991310375e-6	7.200317197519151	FALSE
Enpp6	1357.3498182983506	5.516065547655189	0.5156392042804743	6.818848370075983	9.177320049400257e-12	1.81560762650044e-9	7.159541148441706	FALSE
Kcnk13	847.3027893759376	5.55852738679346	0.5442857824959176	6.5379760067867485	6.23569248128536e-11	1.028038937710091e-8	6.647654443241356	FALSE
Rorb	680.6466175333943	5.559100867342666	0.6921789873154471	5.1418793875068545	2.7200372312992353e-7	1.9344264780239858e-5	5.453082355017169	FALSE
Nrg1	590.8138786293922	5.567778009130145	0.6925546436873482	5.15161950273603	2.5824658286510033e-7	1.860914614672289e-5	5.140410611412011	FALSE
Bfsp2	855.7228719510688	5.636617487946506	0.6460047216065549	5.629397690627662	1.8084000074815054e-8	1.772720764090654e-6	7.470643533792499	FALSE
Rgs20	984.2838422332611	5.643449626823153	0.5618138458631312	6.485154564365735	8.864086595157787e-11	1.43955412301361e-8	6.1398382884701	FALSE
Angpt1	604.9938815760943	5.970683363424519	0.6450569972690505	6.155554284714416	7.481536308827535e-10	9.14680860408454e-8	4.8110872165801695	FALSE
Mro	421.90807431155133	6.1516955230187635	0.6918037509093676	6.00126194395652	1.9578983557425797e-9	2.2663714903015967e-7	7.809742163757249	FALSE
Scel	678.0236036909872	6.319589468022494	0.6133432607431399	7.042694922234552	1.885567805143604e-12	4.187114956687256e-10	6.307759120601389	FALSE
Fli1	486.74103008995513	6.601880915472918	0.6888072320720235	6.68094163533947	2.374117737624698e-11	4.234881164441695e-9	5.58190114655712	FALSE
Eya1	895.2856291685266	6.657582685485354	0.5904361590254859	7.888376438822258	3.0614312922947355e-15	9.797480556311476e-13	6.2015036176501095	FALSE
1810041L15Rik	988.2059621593743	7.008280538659582	0.5895330918622526	8.495334032631018	1.9736448436820695e-17	8.59009181764184e-15	7.416392714167163	FALSE
Lpcat2	1575.4798300709278	7.5846910917195585	0.6068110250789946	9.203344799136673	3.4697735629176486e-20	2.6967575812933522e-17	8.183713966923918	FALSE
Tes	745.1570573761131	7.739754372181364	0.7575752445179086	7.576480902347754	3.550539404957578e-14	9.422785186669123e-12	7.750631322976163	FALSE
