Gene	granule	purkinje	basket	astrocyte	oligo	opc
mt-Cytb	4839.8	10721.8	7688.700000000001	7668.9	1915.9	677.5999999999999
mt-Nd4	4803.6	9081.4	8645.2	8584.599999999999	415.5	2598.8
mt-Co1	4247.6	10310.9	7128.9	9186.4	575.7	2797.1
Ggn	3553.4	2262	3588	3311.8	3424.2	3777.2
Kpna7	3553.4	2262	3588	3311.8	3424.2	3777.2
Spred3	4758.8	8409.3	7708.700000000001	621.2	9157.400000000001	2625.7
Mvk	7927	7096	7979	2483.7	3336.2	2425.6
Coasy	7999.3	6369.200000000001	6839.9	5275.299999999999	2476.1	4930.7
Mospd2	5762.299999999999	8248.9	8409.599999999999	5596.1	1903.3	3798.1
Tm9sf2	3352.4	9445.6	3372.2	8122.9	3476.7	6642.299999999999
Clic1	4767.6	5780.6	7066.1	3643.5	6972.9	2734.7
Ube2g1	6459.2	2502.7	6716.5	10635.5	1907.8	5356.9
Cars	4993.3	6082.299999999999	378.6	5689.299999999999	6971.6	7119.1
Anxa2	3553.4	2262	3588	3311.8	3424.2	3777.2
Jam3	6741	5867.8	6782.6	6606.8	365.1	2140.5
Pgap2	7683.7	8053.700000000001	8987.5	3124	1095.7	4275.9
Tmie	3553.4	2262	3588	3311.8	3424.2	3777.2
Als2cl	4770.2	3569.6	4802.2	1702.3000000000002	4697.8	4981.4
Kcnmb4	775.9	2401.3	8106.4	7850.2	8007.4	4340.700000000001
Laptm5	3553.4	2262	3588	3311.8	3424.2	3777.2
Utp4	4566.5	2190.7	4665.8	4267.5	4458.8	4722.6
Eif3m	2073.3	6326.200000000001	3452.8	7225.3	5146.9	10378
Glra2	3553.4	2262	3588	3311.8	3424.2	3777.2
Bnip2	6012	7900.200000000001	4340.6	10694.1	1274.7	5023.2
Tdgf1	3553.4	2262	3588	3311.8	3424.2	3777.2
Pspc1	4874.1	8252	1499	9611.8	6621.9	3439.1
Pitpna	4576.3	7815.6	1725.3	3032.3999999999996	9197.5	7334.2
Cdk12	4911.6	7847.8	3357.9	8426.8	2106.8	7288.6
Atp11a	7046.6	8447.8	9341.6	3380.3999999999996	325	4691
Fxyd2	3553.4	2262	3588	3311.8	3424.2	3777.2
Lrrc2	4900.2	3744.3	4929.2	1017.3	4819.2	5112
Slc38a6	9027	9515.599999999999	2886.8	4585.4	1755.5	6567.5
Cope	9044.2	2573.6	9265.6	1758.2	4677.4	5051.200000000001
Sntb2	4988.8	983.6	7354	3544.2	7159.299999999999	7295.1
Zc2hc1c	3553.4	2262	3588	3311.8	3424.2	3777.2
Otogl	3553.4	2262	3588	3311.8	3424.2	3777.2
Cntnap4	134.8	5562.1	3581.8	7136.8	7442	7573.8
H2afx	4573.1	3333.9	4636.700000000001	4322.5	3156.7	4825.5
Rpn1	8775.3	6374.9	7192.1	7779.299999999999	2577.1000000000004	1418.6
Tcirg1	7695.700000000001	6739.1	7759.9	2997.7	1719.9	4292.9
Psmc3ip	7149	3662.2	5235.9	6765	2092.8	5851.1
Mlx	5400.4	4419.4	3796.5	7069.4	3258.7	7599.4
Dnajc16	5137.9	5557.2	4996.9	8321.5	4741.2	5828.5
Hmbs	4720.9	3456.2	4785.5	4453.5	4716.2	2430.3
Gcgr	3553.4	2262	3588	3311.8	3424.2	3777.2
Ric1	5736.8	3398.5	1422.8000000000002	9546.8	5600.4	7809.9
Igsf9b	2011.8	6795	4988.299999999999	11099.8	8868.9	578.5
Kctd7	6098.9	4968.8	6175.3	5851.200000000001	995.6	4287.5
Matn1	5037.4	3884.2	5084.8	4818	4995.4	732.8
Lrrfip2	4951.1	8056.2	3387.8999999999996	8914.8	3891	5287.2
Pamr1	3553.4	2262	3588	3311.8	3424.2	3777.2
Max	801.8	8612.599999999999	8035.6	5435.799999999999	3977.2	7475.7
Dennd5a	6366.299999999999	10077.400000000001	9632.1	4337.1	2745.7	1159.6
Spata19	3553.4	2262	3588	3311.8	3424.2	3777.2
Slc25a11	5409.200000000001	8230.3	3144.6000000000004	6491.8	3478.4	6945.9
Ankfy1	6663.299999999999	8655.5	3546.8	7290	5349.6	2958.5
Rnf167	5178.7	7882	6651.7	1420.8	3741.9	9055.3
Fam81a	4734.2	3524.1	4767	1893.9	4662.299999999999	4946.8
Pex19	4452.4	9664.599999999999	6465.2	4543	6364.8	3394.1000000000004
Mlh1	8115.8	7475.1	7916.2	3363.6	1532.1	5331.6
Rbl2	3749.1000000000004	10281.4	5070.700000000001	6152.200000000001	1110.8	8106.9
Trmt13	4772	5007.1	6186.8	5816.5	562.9	6294.4
Ppp1r27	3553.4	2262	3588	3311.8	3424.2	3777.2
Pfn1	5442.5	7044.299999999999	6281.3	2485.4	5407.6	6860.200000000001
Nlgn3	6887.9	9068.5	4622	724	11041.5	1997.2
Epm2aip1	6379	7524.5	2478.5	10244.099999999999	1604.7	6420.3
P4hb	8903.8	7953.6	8702	4438.4	2913.7	1223.7
Lrrc39	2683.1000000000004	4614	5956.9	5471.9	3776.9	6018.6
Med12	3554.8	8927.8	8768.7	925	5071.2	7300.7
Aktip	3334.3	10362.3	4721	6523	1182.2	8470.8
Dscaml1	7605.700000000001	9211.4	4133.8	9519.8	2154.4	758.2
Trank1	6132.799999999999	1866.5	698.2	7409	7606.6	7743.1
Pdap1	6100.5	6729.799999999999	7991.299999999999	3773.8999999999996	2660.5	5891.1
Arpc1b	4600.1	3335.8	4662.9	4335.1	4578.1	3042.4
Srpx	4444.2	3192	4509.4	4194	4413	3776.5
Dclk3	3553.4	2262	3588	3311.8	3424.2	3777.2
Apool	3553.4	2262	3588	3311.8	3424.2	3777.2
Nop2	4627.5	3362.7	4692.2	4359.6	4615.6	2897.8
Erap1	3553.4	2262	3588	3311.8	3424.2	3777.2
Arhgdia	5881	5932	8705.2	1039.8	3145.2	8667.9
Ctrc	3553.4	2262	3588	3311.8	3424.2	3777.2
Casp9	5656.1	2701.3	5758.700000000001	3062.2	5606.7	5799.799999999999
Rasd1	4511	3252.9	4574.1	4252	4483.8	3471.6000000000004
Med9	3553.4	2262	3588	3311.8	3424.2	3777.2
Epb42	3553.4	2262	3588	3311.8	3424.2	3777.2
Homez	3553.4	2262	3588	3311.8	3424.2	3777.2
Cacna1s	3553.4	2262	3588	3311.8	3424.2	3777.2
Ctnnbl1	4638.5	1857.1	4733	4343	4528	4793
Gjb6	6108.8	5071	6174	58.3	4738.6	6337.1
Trmt1l	6315.6	8944.7	4241.9	7186.4	2623.8	4814.6
Kdr	3553.4	2262	3588	3311.8	3424.2	3777.2
Opcml	2478.2	4299.7	9687.7	10395.7	6912.5	557.1
Ahcy	3553.4	2262	3588	3311.8	3424.2	3777.2
Rnf111	6883.6	8088.1	5126.700000000001	7801.1	3817.3	2650.8
Fut8	308.6	6080	8358.1	10735	5349.7	3433.7
Upf1	3426.2	7528.8	6957.1	2157.2	5522.200000000001	6918.5
B4galnt1	1659.1	4631.8	2798.8	7052.3	7388	7522.799999999999
Fam134c	5074	7722.6	6785.3	9917	607.3	4252
Nek9	5639.3	9470	3326.7	7571.5	6685.3	1894.1
Slc26a10	3553.4	2262	3588	3311.8	3424.2	3777.2
Fam222a	7565.1	538.5	7656.1	7327.5	2848	5405.2
Lrp8	3961.5	118.6	6304.5	5891.5	6086.6	6288.8
Zfp711	5923.7	6532.700000000001	1710.8000000000002	7100.6	7498	2642.6000000000004
Ap3b2	3939.9	4003.6	1517.9	6323.7	10425.7	8348.1
Pcnx3	10267.5	2704.1000000000004	8499.8	3251.3	4846.9	3880.3
Ppp1r1b	5991.8	462.70000000000005	6038.5	3931.3999999999996	5933.1	6137.5
Rabgef1	8100	1525.9	3896	6448.9	4756.3	9216.9
Pea15a	2491.4	10525.2	7957.9	1352.8000000000002	4711.1	7324.6
Pcyt2	9222.9	9749.2	5430.1	5637.3	1970.4	2388.2
Pof1b	3553.4	2262	3588	3311.8	3424.2	3777.2
Pdf	6916.4	8605.6	2974.3	9239.599999999999	1631.5	5153.7
Tti1	5492.7	4294.4	5563.700000000001	2493.6000000000004	5528.9	4649.9
Arpp21	642.2	7416.1	9503.7	3921.8	9383.4	2467.6
Tubg1	3052.7	4566	7323.1	1525.6	8200.9	8272.8
Iffo1	8671.400000000001	9565.900000000001	7061.4	3521.1	4857.6	827.3
Rnft1	1352	6239.4	4157.4	9391.5	5471.9	7544.5
Arhgef10l	4336.200000000001	7053.2	8025.700000000001	570.1	7934.8	3317.8
Rps6kb1	3652.8	9287.1	2780.3	8258.1	6057.3	4582.4
Sltm	8058.2	9082.5	2034.2	6195.2	3622.3	5361
Tubg2	2676.6	3439.6000000000004	4799.8	4366.799999999999	4564.9	4851.2
Stard3	4738.6	3494.9	4803.5	4476.2	2324.7	5017.5
Irak3	3553.4	2262	3588	3311.8	3424.2	3777.2
Sh2b2	4926.299999999999	3782	4955.6	873.5999999999999	4845	5138.6
Gapdh	4645.299999999999	5949.8	4300.4	1444.1999999999998	9364.8	8569.8
Agtr2	3553.4	2262	3588	3311.8	3424.2	3777.2
Ccdc92	1058	2178.5	4385.8	8897.5	9193.9	7644.1
Loxl2	3553.4	2262	3588	3311.8	3424.2	3777.2
Zic2	301.9	7698.8	4263.6	2498.4	8233.6	8382.4
Gata2	3553.4	2262	3588	3311.8	3424.2	3777.2
Sirt7	9745.8	2358.1	6486.2	5837	3609.1000000000004	6747.9
Tmed10	7165.5	8206.7	6043.6	2958.7	1607.5	7472.3
Ift88	1720	5888.1	4277.2	6554.3	6992.2	5910.6
Tgm2	3553.4	2262	3588	3311.8	3424.2	3777.2
Mafg	10392.099999999999	5874.2	6908.1	786.1	5521.4	5357.2
Trpv4	3553.4	2262	3588	3311.8	3424.2	3777.2
Inpp5k	6482.9	4779.5	10081.5	406.70000000000005	3613.9	8905.6
Fam63b	1153.9	8046.6	2282.5	5035.299999999999	7457.1	10341.3
Pank2	5839.4	9764.5	5237.9	4613.6	5930.4	2640.8
Rprd1b	3248.4	7103.3	2016.6	9833.3	5420.6	6839.4
Acadm	8180.299999999999	8298.5	5521	1652	7041.2	3514.5
Adam10	2955.8	9588.7	4679.6	7888.200000000001	1509.1	7655.1
Eif4h	5089.9	10187.8	8016.2	5727.5	1773.4	3333
Osbpl5	5085.299999999999	3908.1	1062	4683.6	4890	5182.1
Chm	7798.2	5470.5	4491.700000000001	9810.3	3672.7	3966.8
Pycr1	3553.4	2262	3588	3311.8	3424.2	3777.2
Tmem248	5210.4	5794.7	4858.6	9042.7	2345.7	7550.5
Mdm4	6579.1	8712.5	5108.4	8066.4	1992.4	3882.2
Pnmt	3553.4	2262	3588	3311.8	3424.2	3777.2
Casq1	3553.4	2262	3588	3311.8	3424.2	3777.2
Cyb5d2	8559.9	7591.299999999999	7581.2	3491.5	3405.8	1575.9
Pgap3	3553.4	2262	3588	3311.8	3424.2	3777.2
Lipc	3553.4	2262	3588	3311.8	3424.2	3777.2
Cntnap1	187	5103.3	2598.5	7226.4	9084.3	9152.5
Pdcd6ip	5335.1	9839.1	6888.2	8426.5	719	3167.8999999999996
Bud31	3254.3	8658.7	5097.1	4532.6	6335.5	6948.2
Srebf1	7649.700000000001	6580.8	7297.1	1475.9	3001.3	6020.299999999999
Plekhh3	2563.2	3456.4	4823.2	4380.4	4582.700000000001	4870.9
Dynlrb1	3377.8	8755.3	7060.2	7358.2	3639.5	3901.2
Gjb1	5085.9	3989.6	5126.5	4900.2	390.5	5355.6
Notum	3553.4	2262	3588	3311.8	3424.2	3777.2
Ccr10	4682.4	3466.4	4713.1	2149.3999999999996	4613.200000000001	4896.5
Ppp1r12a	5660.6	9798.3	6295.1	7996.5	3260.2	1422.8000000000002
Nadsyn1	4553.5	3318.2	4593.1	2803.8	4488.5	4766
Cep164	4820	4570.1	3466.8999999999996	5035.8	7396.9	8144.700000000001
Atp1a4	3553.4	2262	3588	3311.8	3424.2	3777.2
Fos	3553.4	2262	3588	3311.8	3424.2	3777.2
Ipo7	6615.7	5822.1	1598.6	10686.7	4973	4145
Vps11	4036.3	8433.2	4309.7	8168.3	2972.5	8118.5
Wee1	4630.1	3401.1	4664.2	2428.1	4558	4841.2
Snx19	7059.5	8710	3034	1448.7	7192.799999999999	6911.700000000001
Aldh1a2	3553.4	2262	3588	3311.8	3424.2	3777.2
Zfp275	3572.2	8267.9	4674.1	8705.1	1475.4	6936.799999999999
Ptpru	3226.5	3329.2	4674.1	4264.700000000001	4452.5	4737.2
Mien1	6013.4	4869.2	3552	1388.1999999999998	5894.799999999999	6119.1
Rpap1	5566.6	1802.5	6854.6	4045.1	6712.4	5560.7
Erbb2	4811.6	3624.6	4842.4	1481.8	4737.6	5025.6
Cmtm3	4972.8	3846.4	5003.5	627.2	4889	5181.6
Clasp2	3915.1	10655	7947.6	6136.2	776.3	5030.4
Syp	2229	4657.5	440.4	7196.4	10753.1	9039.400000000001
Sbds	3330.8999999999996	6389.5	3376.1	8079	3889	9187.599999999999
Pigu	8259.2	5733.4	3745.7	9318.2	2060.7	5225.1
Dhcr7	7069	5986.6	7148.8	4171.1	1165.1	5731.2
Nip7	5242.7	4397.5	5743.9	7485	7039.6	2690.7
Trp53inp2	7133.299999999999	7025.6	1232.1	5256	4835	9793.400000000001
Atp1a2	8197	7480.8	8242.9	26.2	4999.1	2307.9
Grb7	3320.9	3312.7	4651	4247.6	4433.299999999999	4719.6
Caskin2	4865.5	3622.5	4923	4602.4	4846.700000000001	1699.3
