Gene	granule	purkinje	basket	astrocyte	oligo	opc
mt-Cytb	4137.9	9332.5	8250.7	7099.1	192.3	5420.6
mt-Nd4	5932.2	9759.3	6582.9	9044.1	424	3068.1000000000004
mt-Co1	7931.3	9795.8	6730.9	6812.299999999999	178.1	3713.8
Ggn	5148.8	3792.6	5200	5492.6	5180.9	746.1
Kpna7	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Spred3	5917.7	6129.6	7501.799999999999	1117.5	7325	2857.3
Mvk	4628.8	4328.299999999999	5842.4	6025.1	2785.7	5558.9
Coasy	1380.1	7678.6	6005.7	4344	3785.8	10243.3
Mospd2	7021	5746.2	6063.4	5219.8	795.3	6816.9
Tm9sf2	3817.8	7669	5165	8036.7	3878.8999999999996	6430.5
Clic1	7400.700000000001	6187	7544.9	3829.3	3100.8	3178.4
Ube2g1	5193.799999999999	4210.5	5482.6	9131.8	1794.5	8105.7
Cars	3399.6000000000004	8217.2	1281.6	4627.6	10514.1	6265.1
Anxa2	4965.200000000001	3518.2	5026.5	5328.2	4988.6	1727.8000000000002
Jam3	7506.4	6347.6	7637.6	5902.4	127.8	3738.8999999999996
Pgap2	8675.099999999999	9384.3	7457.299999999999	4995.4	2578.1	878.7
Tmie	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Als2cl	6795	5742.2	6861.8	2032	6815.8	634.4000000000001
Kcnmb4	4491.4	530.9	7139	7258.700000000001	6996.799999999999	5398.299999999999
Laptm5	5198	3867.9	5266.700000000001	5552.1	720.4000000000001	5175.2
Utp4	4159.5	2824.3	6808.1	7796.799999999999	7944.6	3797.2
Eif3m	2676.8	8627.7	4820.700000000001	4224.3	5018.3	8256.6
Glra2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Bnip2	2634	8930.7	6255.799999999999	8291.9	3805.4	4557.8
Tdgf1	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Pspc1	1612.8	9398.6	3328.7	6994.1	8441.7	4589.3
Pitpna	2608.6	9643.8	1375.9	5041.1	8902.3	6762.5
Cdk12	5308.7	6938.5	2414.2	6857	4938.799999999999	7973.4
Atp11a	3225.3	10392.3	8798.099999999999	6731.1	288.5	4892.6
Fxyd2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Lrrc2	4712.700000000001	3210.1	4815.6	3599.8	4711.2	4624.6
Slc38a6	7463	6303.1	552.3	4466.8	5625	7271.2
Cope	2496.5	7563.9	6303	8200.599999999999	3598.8	6333.8
