Gene	granule	basket	astrocyte	oligo	opc
mt-Cytb	6024.875	5568.75	8177.625	1488	5773.75
mt-Nd4	8125.375	5850.375	8491.5	1137.25	3895.5
mt-Co1	6574.625	3503.625	8319.25	3072	5639.25
Ggn	3571.5	3445.5	4211.5	3479.5	3376.25
Kpna7	4915.375	4777.875	5412.75	4835.25	2363.625
Spred3	7618.125	7695.625	5633.625	5953.375	1044.5
Mvk	9270.75	6277.125	7840.25	1327.5	3397.5
Coasy	8626.875	7887.5	3622.625	5827.25	1066.25
Mospd2	3740.125	8189.625	8299.75	620	6679.75
Tm9sf2	1569.625	4151.375	7187.375	7581.25	7973.625
Clic1	3571.5	3445.5	4211.5	3479.5	3376.25
Ube2g1	5979.75	4091.25	5942.5	3362.625	8987.25
Cars	6544.125	2516.75	4755.625	5904.625	6181.875
Anxa2	3571.5	3445.5	4211.5	3479.5	3376.25
Jam3	5646.375	10330.5	8784.625	239.125	3515.5
Pgap2	7178.25	4685.875	6004.125	2588	6784
Tmie	3571.5	3445.5	4211.5	3479.5	3376.25
Als2cl	3571.5	3445.5	4211.5	3479.5	3376.25
Kcnmb4	461	7075.625	8678.75	3113.875	8322.25
Laptm5	4702.5	4565.25	3536.875	4608.5	4488.75
Utp4	4895.5	4752.25	5383.25	4807.125	2479.25
Eif3m	3111.25	1189.875	8608.875	8150.5	7592.75
Glra2	2580.875	4988.5	5416.875	4805	4712.25
Bnip2	4199	7376.875	4843.625	7874.125	1985.5
Tdgf1	3571.5	3445.5	4211.5	3479.5	3376.25
Pspc1	4153.875	5797.5	7194.875	5215.375	7041.75
Pitpna	6598.125	1520.75	3227.375	10133	6990.25
Cdk12	9083.5	7608.25	5621.25	2281.125	3906.875
Atp11a	6645.25	7655.375	7870.5	485.75	4889.875
Fxyd2	3571.5	3445.5	4211.5	3479.5	3376.25
Lrrc2	3571.5	3445.5	4211.5	3479.5	3376.25
Slc38a6	3527.875	1553	5930	9998.25	7664.875
Cope	6322.125	4400.375	2441.5	6056.5	5939
Sntb2	5896.75	7289.25	4931.625	7192.375	2188.25
Zc2hc1c	4889.125	4758.375	2781.25	4808.5	4684.25
Otogl	3571.5	3445.5	4211.5	3479.5	3376.25
Cntnap4	5672.25	649.75	9468.75	2702.625	9187.75
H2afx	9603	8390.5	3760.125	3188.875	3061.875
Rpn1	7367.625	3734.25	2743.75	5751	8177.375
Tcirg1	4683.25	4546.25	3628.625	4585.625	4465
Psmc3ip	5573.875	4332.125	1961	9528	7713
Mlx	3738.5	4044.875	5384.125	7715.875	7941.875
Dnajc16	8051	5329.625	3801	3917.625	7664.125
Hmbs	6174.875	6016.625	6531.625	2138.875	4178.75
Gcgr	3571.5	3445.5	4211.5	3479.5	3376.25
Ric1	1968.625	5650.5	6005.875	7175.5	7598.25
Igsf9b	3057	10224.375	8643.625	6047.25	306.5
Kctd7	10543	7550.625	3209.25	713.125	6238.375
Matn1	5140.5	5010.625	5675.375	1503.25	4974.25
Lrrfip2	5366.5	1773.125	8352.125	3810	9273.25
Pamr1	6371.875	6234.625	1971	6322.5	4073.5
Max	4778.625	9489	3045.375	7839.375	3350.75
Dennd5a	7900.75	10015	6270.375	1131.125	3176.75
Spata19	3571.5	3445.5	4211.5	3479.5	3376.25
Slc25a11	8618.75	3573.375	4066.625	1144	8039.875
