Gene	granule	basket	astrocyte	oligo	opc
mt-Cytb	5902.875	9310	9109.25	2398.75	850.25
mt-Nd4	5767.875	9094.625	10079.25	482.625	3170.5
mt-Co1	5171.375	8649.625	10720.875	678.125	3481.75
Ggn	3384.25	3422.25	3139	3262.25	3596
Kpna7	3384.25	3422.25	3139	3262.25	3596
Spred3	5747.25	8735	676.625	10390.875	3076.5
Mvk	8851.375	8914.25	2901.875	3877.5	2794.625
Coasy	8083.25	7606.125	5497	2758.875	4738.875
Mospd2	6175	9463.125	6858	1851.875	4085.75
Tm9sf2	3808	3887.125	9354	3890.75	7675.875
Clic1	5376.75	7761	3841.625	7700.625	2672
Ube2g1	5601.875	5781.625	10548.125	1512.875	4294.5
Cars	5232.75	386.75	6172.875	7702.625	7780.375
Anxa2	3384.25	3422.25	3139	3262.25	3596
Jam3	7368	7415.5	7257.875	418.75	2630.5
Pgap2	8630.75	10170.625	3513.5	1213.875	5041.875
Tmie	3384.25	3422.25	3139	3262.25	3596
Als2cl	4902.25	4937.375	1589	4852.125	5103.875
Kcnmb4	416.375	7329.5	7053.625	7237.75	2980.5
Laptm5	3384.25	3422.25	3139	3262.25	3596
Utp4	3384.25	3422.25	3139	3262.25	3596
Eif3m	1984.875	3584.625	7279.75	5525.125	10511.75
Glra2	3384.25	3422.25	3139	3262.25	3596
Bnip2	6886.875	5063.25	10832.5	1280.5	5641
Tdgf1	3384.25	3422.25	3139	3262.25	3596
Pspc1	5636	1594.375	9974.125	7611	3783.125
Pitpna	5223.25	1742.75	3375.625	10291.375	8113.5
Cdk12	5526	3655.125	9284.125	2133.125	8118.125
Atp11a	8136.75	10618.75	3928.875	351.25	5578.875
Fxyd2	3384.25	3422.25	3139	3262.25	3596
Lrrc2	5073.25	5107.125	915.625	5013.625	5273.625
Slc38a6	10341.875	3402.625	5321.875	1898.375	7653.25
Cope	8707.125	9799.25	1330.875	3570	5080.75
Sntb2	3675.375	6471.125	2024.375	6285.625	6455
Zc2hc1c	3384.25	3422.25	3139	3262.25	3596
Otogl	3384.25	3422.25	3139	3262.25	3596
Cntnap4	134	3992.875	6740.375	7005.875	7174.625
H2afx	4653.75	4730.25	4401.125	3011	4904.25
Rpn1	9765	6755.875	7899.125	2885.625	1295.25
Tcirg1	8555.25	8629.875	3338.75	1814.375	4975.875
Psmc3ip	6600.375	4261.125	6245	1974.375	5430.25
Mlx	5552.875	3834.625	7304.875	2577.625	7934.5
