Gene	granule	basket	astrocyte	oligo	opc
mt-Cytb	4682.25	9426.125	8121.125	197.25	6153.125
mt-Nd4	7332.5	7872.375	10242.125	470.75	3616.5
mt-Co1	8611.125	7845.375	7762.875	185.75	4261.25
Ggn	5357.25	5341.75	5615.5	5361.25	556.875
Kpna7	3624	3613.625	3913	3614	3540.5
Spred3	6395.875	8172.375	1261.375	8003.875	3143.125
Mvk	4739.25	6117.75	6256.125	2608.375	5806.5
Coasy	1482.375	6472.5	4610.875	4684	10374.125
Mospd2	7641	6439.125	5383.625	714.875	7346
Tm9sf2	4010.375	5574.375	8813.375	3909.75	6983.25
Clic1	8128.875	8232.25	4122	3370	3447.5
Ube2g1	4481	5512	8831.25	1564.125	7707.75
Cars	3863.875	1457.25	5373	10684.25	7231.375
Anxa2	5090.375	5079.875	5381	5091.125	1576.125
Jam3	8295.625	8379.5	6442.5	120.5	4115.125
Pgap2	9939.625	8515.75	5900.25	2997.25	1040.75
Tmie	3624	3613.625	3913	3614	3540.5
Als2cl	7384	7388.875	2452.125	7382.75	714.625
Kcnmb4	2892.375	6157.625	6311.625	6038.875	4125.75
Laptm5	5386.25	5395.25	5662.75	650	5323.5
Utp4	3728.875	6049	7287.125	7549.75	3191
Eif3m	3000.875	5479.5	4500.625	5527.625	9320.25
Glra2	3624	3613.625	3913	3614	3540.5
Bnip2	2809.875	7146.625	9425	4139.5	5174.375
Tdgf1	3624	3613.625	3913	3614	3540.5
Pspc1	1745.125	3877.5	8083.25	9666.75	5252.625
Pitpna	3186.5	1604.75	5918.875	10204.875	7847.5
Cdk12	5718.125	2295.5	7504.25	5346.5	8753.875
Atp11a	3867.375	10468.125	8074.375	328.125	5866.375
Fxyd2	3624	3613.625	3913	3614	3540.5
Lrrc2	4768.25	4819	3408.125	4737	4615.375
Slc38a6	8202.25	533.875	4800.75	6113.5	7933.875
Cope	2279.5	6414	9038.5	3769.875	6982.375
Sntb2	1231.125	6498	6678	6376	4676.875
Zc2hc1c	3624	3613.625	3913	3614	3540.5
Otogl	3624	3613.625	3913	3614	3540.5
Cntnap4	5088.5	137	3976.25	10232.25	9167
H2afx	7758.625	5337.625	10369.375	3296.75	1274.25
Rpn1	5773.375	5827.375	6047.5	4162.125	6669.125
Tcirg1	10388.125	8857.375	1547.5	4750.875	2919.75
Psmc3ip	5825.125	6732.5	3639.375	6662.25	3544
Mlx	7660.25	5534.5	1038.625	6474.25	7916.375
Dnajc16	1833.5	5658.375	6318	8254.625	6721.75
Hmbs	3624	3613.625	3913	3614	3540.5
Gcgr	3624	3613.625	3913	3614	3540.5
Ric1	5407.25	3535.125	7493.625	9833.625	2326.125
Igsf9b	674.625	5544.625	8216.375	11146.875	2950.5
Kctd7	6065.625	9318	7983.25	1021.625	4022.375
Matn1	4769.375	4762.5	5037	4757.25	2910.75
Lrrfip2	1837.625	5708.25	5996.75	6941.125	9207.125
Pamr1	3624	3613.625	3913	3614	3540.5
Max	1760.375	6183.25	3857.75	7333.125	9418.25
