Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FGF3	66.84844120557912	-9.597555544863901	1.5332963388085452	-6.259426375674858	3.8639609987502994e-10	4.795580289768933e-9
LOC101928887	77.71815079654678	-8.366813526188459	1.475140554166718	-5.671875471496837	1.4124263463334787e-8	1.504703707999724e-7
TRHDE-AS1	631.3723451522335	-7.963359413786791	1.237797144131625	-6.433493122472403	1.2470424000245198e-10	1.6234071153366604e-9
SLITRK6	58.51377576063323	-7.955015791810319	1.502069969495138	-5.296035440002895	1.1834387957683817e-7	1.1451160293953453e-6
GALNT5	1381.8043385319093	-7.930634640460982	0.42664427643269576	-18.588400404129317	3.988976949664097e-77	5.112095570825078e-75
ZP2	154.06995303680614	-7.76947077524381	0.9093202478483605	-8.54426236920159	1.293598489861954e-17	2.702964670664452e-16
LRRC3B	4342.505599034823	-7.764658037968845	0.29523838351244475	-26.299622513823827	1.9368741768215507e-152	1.080963230102892e-149
RIT2	15064.287509143258	-7.702084554314933	0.3524069340505161	-21.855655522404874	6.86782164759684e-106	1.6276737304804513e-103
GCOM1	138.42487974908786	-7.624314403106857	0.9156802538725454	-8.326393815813455	8.334222903983997e-17	1.6669409301945332e-15
CADPS2	44328.95407711982	-7.533182846001742	0.4189137947788224	-17.982656431686863	2.664170054922842e-72	3.0126017072039274e-70
GPRIN3	1955.2724635512157	-7.509902931144127	0.35679335652824595	-21.048326135381945	2.3689944821230257e-98	4.879282563715532e-96
NDP	160.12104119375851	-7.422402767749367	0.8174927508508191	-9.079472276695272	1.091025422127596e-19	2.5370740360523575e-18
ARPP21	11374.401313017801	-7.402118324919203	0.4229743023844826	-17.50016084473779	1.4286516422566582e-68	1.5163866296124199e-66
GRIK2	60414.920959677336	-7.380882101413204	0.33956087690781894	-21.73655036064977	9.260258930839565e-105	2.16502351030345e-102
SLC17A7	1337.7583499413959	-7.346388411510622	0.34624528907877145	-21.217294915568672	6.612027707760329e-100	1.4480340679995121e-97
RHBG	229.7766456843693	-7.321980575524625	0.7305887767680499	-10.022027176375905	1.2197505592278303e-23	3.349667369079475e-22
INSM1	189.84178199453385	-7.315866730788248	0.782074174878298	-9.354441005454122	8.404293746327332e-21	2.098162858661027e-19
SPHKAP	10346.089141937173	-7.2744272832716845	0.8503686204838818	-8.554439931158733	1.1844237960762589e-17	2.4868587495042907e-16
SGK223	2969.3239443429557	-7.192364722581132	0.38582334540584956	-18.64160063983543	1.4775284361789288e-77	1.9220089830324544e-75
CBLN3	1469.3295681627797	-7.1916382096258085	0.4143891522572992	-17.354793605119358	1.814513749326301e-67	1.8575681879937475e-65
RBFOX1	81779.01189872967	-7.186828613727622	0.33399430872460995	-21.517817597465157	1.0603738398327713e-102	2.446070373726237e-100
ZNF385D-AS2	4269.791779946769	-7.18213620066861	0.3427514877845996	-20.954354559015616	1.7123454791606418e-97	3.444801062204449e-95
STAC	2098.6798378901735	-7.14341184010668	0.2978231920763459	-23.985411580289195	3.948574354667881e-127	1.4232142689606042e-124
AFAP1L2	734.1352646796979	-7.126830944570141	0.419319085566295	-16.996199767404526	8.761913823605518e-65	8.194047084443193e-63
TRHDE	5899.169555863266	-7.120925259903722	0.3387445795185992	-21.021517953212705	4.1688590209547725e-98	8.48534469665159e-96
CCDC155	65.06708723788284	-7.112325361687131	1.1325453177538636	-6.279947698510423	3.3868694553891503e-10	4.227722110222777e-9
KCNK9	1624.7633450240446	-7.065414212607884	0.4069662420811262	-17.361180073504567	1.6235185961326482e-67	1.671934239981604e-65
