Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Slit3	9654.018333531836	-7.247849799385188	0.7120298978309396	-10.179136889426063	2.4573120723099406e-24	4.866691390616799e-23
Grin2c	2709.8787225279943	-7.211666401532332	0.8011406625999725	-9.001748055239181	2.221518836018709e-19	3.588882695610487e-18
Car4	1115.2837730921544	-7.188379766735223	1.2377548227777548	-5.807595845680606	6.3376272826643e-9	5.489644539335891e-8
Crhr1	866.6398639925242	-7.078864252447476	0.9386340481356895	-7.541665749828149	4.6400581680318674e-14	5.761285846096534e-13
Svep1	2989.5520989067245	-7.056282978522703	0.7833612627441194	-9.007699658015383	2.1042371869419748e-19	3.4097144396892083e-18
Grm4	14711.098955667407	-7.025084313674972	0.7044699759155987	-9.972155739560765	2.0180044425502357e-23	3.8175503853055287e-22
5930438M14Rik	56.269138945306665	-7.0079742785711945	1.011441562594119	-6.9286991337367265	4.2472800140257165e-12	4.6957178487250544e-11
Rims3	336.46011390648925	-7.005468997887061	0.48497492652736846	-14.445012751585464	2.6950740749248205e-47	9.522990817168276e-46
Cadps2	34407.05293106089	-6.939239337727576	0.6951516895464216	-9.982338304112229	1.8212336984169757e-23	3.4534551997641995e-22
Etv1	11633.824482517179	-6.9143909889165664	0.6943941174377374	-9.957444648912285	2.339998219447293e-23	4.421466600279561e-22
Kcnj12	2455.631039701839	-6.91309282571075	0.6919589359381245	-9.99061138843205	1.6754513428212372e-23	3.1845486305140153e-22
6530403H02Rik	8788.434095309523	-6.877688458847091	0.3851013369647656	-17.859425036159656	2.4414119989563395e-71	1.5480289046346877e-69
Syndig1l	273.96800186559005	-6.873865721587932	0.4586667874667807	-14.986621899423614	8.98061713599053e-51	3.405840664197638e-49
Cnksr3	6946.049489411835	-6.811762919948972	0.8147170027080408	-8.360894515896106	6.224448238984168e-17	9.003841176716324e-16
Kcnk9	1332.4802272894735	-6.802862428220495	0.3572804891507028	-19.04067710048116	7.85061500076894e-81	6.296978292116767e-79
Neurl1a	2944.3794684232653	-6.699769659642446	0.6630048098654996	-10.105159962567383	5.2409969047873505e-24	1.0191039072314992e-22
Tspan18	1618.2081950961374	-6.697280554953941	0.3597412172557766	-18.616939715840687	2.3422265269925588e-77	1.7640374622542081e-75
Boc	3135.2785109408746	-6.672394643125628	0.6897860676222859	-9.673136290104525	3.9217169776360335e-22	7.021449079825586e-21
Mndal	73.52981694023364	-6.651994371161898	0.9170126415043225	-7.253983282334655	4.0469009164512515e-13	4.7700502940272584e-12
Reln	19127.4710658563	-6.650817246472989	0.7916072624806133	-8.401662745780921	4.402005569991516e-17	6.402264129991288e-16
Tbata	419.60661820416027	-6.644595145099466	0.7990068881798261	-8.31606741243014	9.09301134338778e-17	1.3059094715364974e-15
Rbfox3	41640.542088064336	-6.634839138546991	0.6184435236567	-10.728286229463391	7.497370273098278e-27	1.5846220542956861e-25
Sv2b	11344.660933256288	-6.6283634908968745	0.3751174215232087	-17.670103041286698	7.126660851468143e-70	4.346992143697792e-68
Cdc42bpg	286.79994309500256	-6.615158407797433	0.41744812633796385	-15.846659717528196	1.4825442399279577e-56	6.410505309144016e-55
Gm2694	6219.84728055775	-6.608500992127082	0.9120170672342958	-7.246027765870053	4.2917216788299963e-13	5.0511958306522965e-12
Kcnk12	2193.2246872147684	-6.605932371386224	0.3628207005233368	-18.20715400708325	4.5288509182539056e-74	3.1315442426995327e-72
Fat2	8523.431363356289	-6.562490626430459	0.7119083505347102	-9.218167790139574	3.022199698693753e-20	5.09801551697636e-19
Calb2	1308.7490840141659	-6.550451214036031	0.3157358396396377	-20.746619140583885	1.315209990013173e-95	1.540043697794987e-93
Rorc	150.56394677403088	-6.5420269285646535	0.5224632943368429	-12.52150533726657	5.694478650897031e-36	1.5456992642587168e-34
Uncx	95.42027047222405	-6.533520246458925	0.6645855708498364	-9.830969152857486	8.281789747557353e-23	1.5218381572773774e-21
Kcnk10	10828.628653662769	-6.525548173367501	0.3666823455043161	-17.796188590406764	7.56451922679948e-71	4.667308362935279e-69
Dgkg	7275.752532678957	-6.521244970265038	0.6671848659642157	-9.774269925683242	1.452003748928015e-22	2.662062187463225e-21
