Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	47.85563103899672	-0.00760613704255149	0.007252104361084917	-1.0488179242657243	0.2942619262409479	0.6874126119553439
A1BG-AS1	5.5775980777120155	-0.012205225965204932	0.011175379087018598	-1.0921531941035103	0.2747657716599679	0.6718828949629022
A1CF	60.46068876014345	0.005732375170572276	0.011134773328793453	0.514817410404656	0.6066806179338613	0.8677410708778246
A2M	754.3574475638628	0.011866470267375594	0.006014250519978291	1.973058858781697	0.048488856844424146	0.33840061400848115
A2M-AS1	49.28754492097914	0.008660774093989448	0.00721064930117855	1.2011087673580076	0.22970901255691806	0.6309158967672731
A2ML1	165.6855895213336	0.002444112228827748	0.0029667056955250894	0.8238472162959712	0.4100263753395462	0.7695971155827117
A2MP1	37.424194758580455	0.013384009702518046	0.0069038976896386335	1.9386164604676517	0.0525480577082629	0.3499093069712568
A3GALT2	61.98532475583528	-0.01004036692071359	0.006060807320328713	-1.6566055296027862	0.09759925367412443	0.45331084742642397
A4GALT	3.4370941168824136	0.01872967260906218	0.008794987775683424	2.1295848370416604	0.0332059039894809	0.2908640845494626
A4GNT	5.919290266360905	-0.020986739134383273	0.012136650724324204	-1.7292035184238905	0.08377267687566527	0.4262067971397147
AA06	0	NA	NA	NA	NA	NA
AAAS	168.5250718464353	-0.007564891020978839	0.003993462646991534	-1.8943187127787042	0.058182718664856574	0.3662280360715502
AACS	380.37390628218435	-0.005287830490662972	0.002676630896528383	-1.9755546039318836	0.04820524445337627	0.3375439530967782
AACSP1	12.6346997058708	-0.013653487544109553	0.008010701666635232	-1.704405944984403	0.0883052740406452	0.43371784141939784
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.9143539373657645	0.016386510180439212	0.01262686683875099	1.2977495042673717	0.1943734265066483	NA
AADACL2-AS1	9.245026843094049	0.011804765691296869	0.008054404431287337	1.4656286249348558	0.14274948853958236	0.5257374357401557
AADACL3	0.5130482868926617	0.005978298215296245	0.014439277097954886	0.41403029907522065	0.678851917280678	NA
AADACL4	6.816515763944343	0.008600472812215283	0.00620637516039509	1.3857481363836517	0.1658238240284405	0.558812083650446
AADACP1	0	NA	NA	NA	NA	NA
AADAT	192.03953631250488	0.010068564805482363	0.017635547917347005	0.5709244108927591	0.5680508829170954	0.851503727464327
AAED1	24.800910600833063	0.005215465860819459	0.005506762473656878	0.9471020197019725	0.34358679567190076	0.7261348237398503
AAGAB	665.891520643754	-0.0016230524054469462	0.0037625030807985627	-0.4313757013861277	0.6661952148292261	0.8900040062287728
AAK1	6640.959212121643	-0.003851478780998842	0.0037061506231260296	-1.0392126960426213	0.2987058271155462	0.6909119408759882
AAMDC	673.4099688046963	0.004935702561295041	0.0034955906813561545	1.4119795511584836	0.15795598232664726	0.5463093922872388
AAMP	89.11325179263773	0.004733521472675264	0.003989121342881188	1.186607542315678	0.2353824594930905	0.6360277217809435
AANAT	6.530826244349121	-0.001960916973492595	0.007673722437980705	-0.255536604215333	0.7983086756985487	0.9375476250035997
AAR2	176.93972251180276	-0.0035080202494610826	0.002670047054653727	-1.3138421075189743	0.18889934416242232	0.5861693432015
AARD	0.46089903280593125	-0.01135633064885366	0.01954864389573692	-0.5809267747380777	0.5612898061206923	NA
AARS	527.0461554371217	-0.0057637993232348295	0.003436361481864488	-1.6772971509701387	0.09348438941987942	0.4440887755371067
AARS2	250.46045401667286	-0.005403047238431304	0.0044526313380493674	-1.2134503910665775	0.22495767033802902	0.626781588128309
AARSD1	0	NA	NA	NA	NA	NA
AASDH	678.8423154531748	0.003844003018319324	0.0018965082549301274	2.0268844115634748	0.04267423508926884	0.3198027498654135
AASDHPPT	447.0141564859339	0.0017697929471188064	0.0026934778730813946	0.6570660798093457	0.5111384282928009	0.8234111761758547
AASS	1125.1514320733745	0.015063845726055496	0.01761990807156377	0.8549332757511134	0.3925880876801947	0.7585453595066378
AATBC	38.80665007140419	0.00285473482757394	0.005121573679958201	0.5573940757203436	0.5772582122705348	0.8551152597493776
AATF	1837.47338064779	-5.054234645441384e-4	0.002195131125008744	-0.23024750493760368	0.8178994497054897	0.9441868195328702
AATK	557.3002226213703	-0.0034439217140640587	0.002954921574402346	-1.1654866727759488	0.24382205175515648	0.6447184888541206
AATK-AS1	161.83198293551672	-0.006079960194590123	0.005666784698662958	-1.0729118041178893	0.2833106893156292	0.6790540215867497
ABALON	0	NA	NA	NA	NA	NA
ABAT	2510.6947564009383	-0.002886070598456038	0.004780813887612331	-0.6036776721081314	0.5460579615445829	0.84072269719300885
ABCA1	1613.359490118418	0.006789174849707666	0.011803385416099339	0.5751887793520244	0.5651636305765844	0.8507863820995453
ABCA10	1827.1062426763267	0.005250358732087603	0.006147465865900144	0.85406878974493	0.3930668756029036	0.758666206238416
ABCA11P	373.07591471583237	0.009119842770191906	0.0031140615038313143	2.9286007225520487	0.0034049149507414927	0.1152933581710184
ABCA12	46.4334250008084	0.0030163736391685078	0.010929895460902839	0.2759746101834488	0.7825675673613609	0.9330706699009603
ABCA13	55.950107395493966	0.009098426848529045	0.007987321526264609	1.1391086259155592	0.2546578501535349	0.6549385128897599
ABCA17P	621.5521190041811	0.003762178101788116	0.005037591957693336	0.7468207297025264	0.45517178079339743	0.7954171672574946
ABCA2	976.9837803106024	0.0015025810583395153	0.009122208290643764	0.16471681093717677	0.8691668845075717	0.960283652833264
