Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	47.85563103899672	-0.007795610077020169	0.03131536312005964	-0.24893883705364236	0.8034080930994436	0.9998737737122831
A1BG-AS1	5.5775980777120155	-0.00345437951980852	0.04812443477764867	-0.071780157746661	0.9427768639050099	0.9998737737122831
A1CF	60.46068876014345	0.0013159218308364128	0.04768056971694973	0.027598701916697575	0.9779822169927352	0.9998737737122831
A2M	754.3574475638628	-0.024690945195018552	0.02653822251694992	-0.9303918218052654	0.352168251367229	0.9998737737122831
A2M-AS1	49.28754492097914	-0.011910449816233409	0.031172080976400198	-0.38208709342345765	0.7023967648297796	0.9998737737122831
A2ML1	165.6855895213336	0.009015837610440034	0.012647600338904256	0.7128496607144637	0.4759387918215773	0.9998737737122831
A2MP1	37.424194758580455	-0.026376881237868573	0.03031330699255195	-0.87014198894068	0.38422281362557625	0.9998737737122831
A3GALT2	61.98532475583528	0.06689623534879498	0.025246989733470827	2.6496717452262546	0.008057000989453023	0.40380596484428116
A4GALT	3.4370941168824136	-0.0810115122124267	0.035907082897238644	-2.256142957763264	0.024061679564783243	0.6217886458320204
A4GNT	5.919290266360905	-0.08777181949453959	0.0524786343648001	-1.6725248390497809	0.094420874027529	0.9382706056148933
AA06	0	NA	NA	NA	NA	NA
AAAS	168.5250718464353	0.022347088293080117	0.017370461181428456	1.2864994233412983	0.19826881994540307	0.9998737737122831
AACS	380.37390628218435	0.006717939097010531	0.011884503745320437	0.5652687937984573	0.5718909510032266	0.9998737737122831
AACSP1	12.6346997058708	-0.06286877360906794	0.03421838373959852	-1.8372806292517652	0.06616847799888693	0.8502011013851807
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.9143539373657645	-0.0932119121509328	0.0505678481459473	-1.8433039088771894	0.06528465075715029	0.8497321536382045
AADACL2-AS1	9.245026843094049	-0.0554988594535067	0.033641059306654404	-1.6497357870811367	0.09899698727609191	0.9503067979593607
AADACL3	0.5130482868926617	-0.03577847000379599	0.05989235755494519	-0.5973795566650195	0.5502539994950078	0.9998737737122831
AADACL4	6.816515763944343	-0.08050068166100871	0.023867009843943313	-3.3728850906489747	7.438498875628742e-4	0.14804758483330704
AADACP1	0	NA	NA	NA	NA	NA
AADAT	192.03953631250488	0.015464463017826542	0.07560916809238923	0.20453158536184432	0.8379381120956149	0.9998737737122831
AAED1	24.800910600833063	0.009209372067881291	0.023444465209537975	0.39281647013789067	0.6944550391154971	0.9998737737122831
