Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	19.651315769547665	0.014391370571325704	0.009498301466231396	1.5151520113875383	0.12973391265501985	0.49182810246439473
A1BG-AS1	2.0323952612963474	-0.01352533907918296	0.022997809322095546	-0.5881142368716074	0.5564556177123772	NA
A1CF	136.82431644843695	0.0059491495701813075	0.00634047230849721	0.938281768411563	0.3480996265397795	0.7117931743127113
A2M	298.93151249281885	0.01529643721088926	0.006010371515680841	2.5450069385863103	0.010927556684993487	0.1614298146646765
A2M-AS1	16.18284080085145	0.0156333754161746	0.011051485484324493	1.4145949373366224	0.1571872940249826	0.5333913246091999
A2ML1	164.537235616876	0.002987673447069393	0.004782263399320031	0.6247404623288205	0.532141412178871	0.8253822894446785
A2MP1	15.564730532029813	0.017412739667817964	0.012190656065454317	1.4283677247824178	0.15318604388325824	0.5259740230855474
A3GALT2	78.17052734389758	-0.005340557098356713	0.008267705625701657	-0.6459539490320779	0.5183091794368343	0.8185846569040071
A4GALT	3.776332753963249	0.008959894796993412	0.014259026901615757	0.6283664978553427	0.5297638787095273	NA
A4GNT	10.305074764630621	-0.03401341097565856	0.018961520194213485	-1.7938124489637959	0.07284310926661612	0.39204093102103393
AA06	0	NA	NA	NA	NA	NA
AAAS	148.47661389090467	-0.007505741542322133	0.005550477922530203	-1.3522694166308145	0.17628914429915812	0.5559657517897426
AACS	432.27994923676704	-0.007355052176234904	0.004217925405534047	-1.743760609560532	0.08120084174993135	0.41000723799636685
AACSP1	9.904411320645659	-0.0039070678355037514	0.012412267346994377	-0.3147747084620962	0.7529327160098379	0.9263659653877593
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.6801525677550007	0.002110642393553804	0.03649724908368183	0.05783017752144741	0.9538839002102731	NA
AADACL2-AS1	7.254055976653704	0.00518912479366972	0.013598862698371005	0.3815852037605557	0.7027690609339943	0.9051459686404403
AADACL3	0.517240695942165	-8.85483358430938e-4	0.03820048485272262	-0.02317989841869318	0.9815067730377531	NA
AADACL4	8.104839436323754	0.012427584328121381	0.011421196497516582	1.0881157968715123	0.2765439908367647	0.6585282299265988
AADACP1	0	NA	NA	NA	NA	NA
AADAT	26.029678542812224	-0.0013008952166846672	0.0105559005089908	-0.12323867732332765	0.901918098917361	0.9735208450982565
AAED1	16.31216370247141	0.023629329368137802	0.010595117615476138	2.2302092554048456	0.02573355410348088	0.24459902381823784
AAGAB	895.2030635917672	-0.003056322300851487	0.0028721397687265318	-1.0641272873035073	0.28727104092750616	0.6667876104484074
AAK1	8385.45703239472	-0.0033358377292409705	0.002088412019179895	-1.5973082411922388	0.11019701468579966	0.462575645352711
AAMDC	435.3052801152504	0.010349858224589675	0.0036602639152722217	2.827626221542534	0.004689452458162448	0.10297798194953312
AAMP	102.23849668202931	0.002785117520129757	0.005638163286088025	0.49397603063429174	0.6213231075546644	0.8691789513295273
AANAT	8.824922231738588	0.0017278288523798866	0.01196953708660372	0.14435218671185446	0.8852223707559546	0.9685643808911872
AAR2	165.72975563194368	-7.408684659146389e-4	0.005125078290569293	-0.1445574923758566	0.8850602607817791	0.9685643808911872
AARD	0.5046227174504277	0.04037926484016714	0.044520817737127294	0.9069749140410244	0.36442006322242787	NA
AARS	657.1577247467202	-0.007843985371951547	0.0037079947398217	-2.115425161668036	0.0343937271489272	0.27917116845378503
AARS2	286.42613871997725	-0.007246632145554283	0.003322816982914853	-2.180870081865709	0.02919302715612392	0.25807308652955047
AARSD1	0	NA	NA	NA	NA	NA
