Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	19.651315769547665	-0.6729680372875427	0.42919634802902146	-1.5679724218949735	0.11688756856211036	0.7924013168952168
A1BG-AS1	2.0323952612963474	1.544810579025287	1.002966229057648	1.5402418688381334	0.12350140764632984	NA
A1CF	136.82431644843695	-0.007700037262466412	0.294193447179398	-0.026173381277833016	0.9791190472700911	0.9982474045625175
A2M	298.93151249281885	-0.3495333629002688	0.3085556561857806	-1.1328049118302845	0.2572961883154427	0.9099817090548695
A2M-AS1	16.18284080085145	-0.6163795451219491	0.509229850635533	-1.2104151874692544	0.22611961703995687	0.8928016287325198
A2ML1	164.537235616876	-0.24517860993860074	0.21296029957771914	-1.1512878711420278	0.24961382527539805	0.9057076439044199
A2MP1	15.564730532029813	-0.8502461648394709	0.5546800236284561	-1.5328588170123019	0.12531064488245244	0.8015120593595296
A3GALT2	78.17052734389758	0.30832029848916814	0.3749738773402659	0.8222447405566503	0.410937619906348	0.9407577845454684
A4GALT	3.776332753963249	-0.1447873295301049	0.6391890672139374	-0.22651721838922564	0.8207991688905623	0.9931919291592937
A4GNT	10.305074764630621	-1.5520970944936052	0.8899029488324233	-1.7441195093577322	0.0811382528198998	0.7327035298547137
AA06	0	NA	NA	NA	NA	NA
AAAS	148.47661389090467	0.19695821710113418	0.2599877642367472	0.7575672558258636	0.44871008876356244	0.945386095353546
AACS	432.27994923676704	0.13367179282916014	0.20577917725390454	0.6495885279210085	0.5159580453674153	0.9530425205367808
AACSP1	9.904411320645659	-0.5184442067055748	0.5537808743636291	-0.936190162401941	0.34917528736549447	0.9276634503754407
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.6801525677550007	-0.6457521819133089	1.652706137717525	-0.39072413853628385	0.6960011544515694	NA
AADACL2-AS1	7.254055976653704	-0.13087948171003225	0.6162111737257032	-0.21239387938832022	0.8317997603979351	0.9931919291592937
AADACL3	0.517240695942165	0.049459699706666034	1.7167065904511907	0.02881080551666483	0.9770154829022825	NA
AADACL4	8.104839436323754	-0.5752519680007746	0.5148711796806374	-1.117273583574031	0.263877366767812	0.9117018015215087
AADACP1	0	NA	NA	NA	NA	NA
AADAT	26.029678542812224	-0.013295842921048621	0.4807247792755949	-0.027657910501481017	0.9779349934039493	0.9980470339704157
AAED1	16.31216370247141	-0.11089092612673915	0.5203089439734544	-0.21312515844893237	0.8312293418086949	0.9931919291592937
AAGAB	895.2030635917672	0.0558721062039509	0.13448340682774199	0.4154572487557275	0.677807205067348	0.9727572759370409
AAK1	8385.45703239472	-0.08106493452146697	0.1009293444386408	-0.8031849901764672	0.4218678197282929	0.942000851167608
AAMDC	435.3052801152504	0.07323370133788396	0.20108424607536207	0.36419412642817145	0.715713052699454	0.9765793111542138
AAMP	102.23849668202931	0.25645276530113736	0.25139780602690665	1.0201074120499274	0.30767752187791775	0.9255808306816073
AANAT	8.824922231738588	1.0059571789587178	0.5004836424456849	2.0099701441648805	0.044434348849152296	0.6364134143923146
AAR2	165.72975563194368	0.05477104759365428	0.23336847555229065	0.23469771340808962	0.8144433626090408	0.9929799597933214
AARD	0.5046227174504277	0.057631046107000886	2.0996024772800146	0.02744855120463591	0.9781019745578056	NA
AARS	657.1577247467202	0.20390288687950547	0.1822110219195527	1.1190480396379636	0.2631196451252876	0.9115042391397612
AARS2	286.42613871997725	0.024727640219814197	0.17114582493236236	0.1444828714319305	0.8851191811489421	0.9943975685553307
AARSD1	0	NA	NA	NA	NA	NA
AASDH	689.9505415008814	0.2927586398694962	0.14408696496821083	2.0318190471572914	0.04217197821104918	0.6241933955100767
AASDHPPT	359.6258413533498	0.11412894197746441	0.2196799141388215	0.5195237918080363	0.6033955261587506	0.9656455691770915
AASS	448.15065796050385	-0.1618194609405027	0.26606780910586675	-0.6081887977516127	0.5430622634865439	0.9576159108544818
AATBC	38.589713465285556	-0.01815141793145121	0.38679833276683534	-0.0469273427359704	0.9625711357433331	0.9979844624111506
AATF	1744.9127262896316	-0.03632993820804763	0.16812123920928995	-0.21609368559805456	0.8289147216042894	0.9931919291592937
AATK	488.1309949009459	0.3858178821665383	0.18142730643423544	2.12657008335397	0.03345582041288035	0.579047299820458
AATK-AS1	190.36242027506762	-0.20559724239020333	0.24734965044313828	-0.8312008608941489	0.40586016857123897	0.9387744889102653
ABALON	0	NA	NA	NA	NA	NA
ABAT	3937.337842374916	-0.024637454777849163	0.15312389816458657	-0.160898821628531	0.8721730904174341	0.9942819073400511
ABCA1	1424.1931384588179	0.08035081659992588	0.17358918155390038	0.46287917185079025	0.6434509776334429	0.9689148004179976
ABCA10	2275.603207389324	-0.033800187861311864	0.18800926803465648	-0.1797793705312514	0.8573257796613463	0.9934719978024055
ABCA11P	395.8422820210639	-0.03643293150772182	0.2030062615309973	-0.17946703334645087	0.8575710006309594	0.9934719978024055
ABCA12	26.76176493986741	-0.3882257085320715	0.5069092098907033	-0.7658683270240412	0.4437546534778689	0.9436156532682195
ABCA13	24.289222411403543	-0.39552717880841504	0.3602663273989127	-1.0978744021515479	0.2722593369976322	0.9121240341354322
ABCA17P	891.96728692081615	-0.10703309831114732	0.13288785300206052	-0.8054392925551118	0.4205662251378207	0.942000851167608
ABCA2	420.2242416235941	0.23070322567218723	0.3459594062193774	0.6668505654848284	0.5048675900750813	0.9505089205090206
ABCA3	905.2197214820336	0.19947644288251923	0.19725686699782935	1.011252210979881	0.3118957323897311	0.926250653094764
ABCA4	13.094791398740103	-0.2530558869849093	0.4252213885823457	-0.5951156121957493	0.5517661934567133	0.9576159108544818
ABCA5	3858.375165793147	0.21142419549413835	0.16493052977168982	1.2818984804499738	0.1998782610919267	0.8766424161309258
ABCA6	1026.7474084930552	0.10559140307300789	0.20606018832274628	0.512429906681552	0.608350164703192	0.9656455691770915
ABCA7	214.90094688136182	-0.22197586431727984	0.31863226513500775	-0.6966521868814082	0.4860204878648002	0.9477477228094199
ABCA8	52.37373956868531	-1.773279843847896	0.5099851616367258	-3.477120467891268	5.068300392524002e-4	0.07867128498173367
ABCA9	808.0798612264242	0.13131594751139242	0.21447206275891786	0.6122753044017721	0.54035562590993	0.9576159108544818
ABCA9-AS1	0	NA	NA	NA	NA	NA
ABCB1	13.309064214464247	-0.07887424566827471	0.45051917113009143	-0.17507411609238505	0.8610213965002306	0.9934719978024055
ABCB10	847.8005596115728	0.1138999916417508	0.1170322180887823	0.9732362036866178	0.3304359212531983	0.9263979815899488
ABCB11	3.4082152341795697	0.4498381021127684	0.7170415002803974	0.6273529522863883	0.53042790027767	0.9574790306056343
ABCB4	43.08673755147302	-0.33443562853333536	0.3543977103818672	-0.9436732200469848	0.34533666298595506	0.9276634503754407
ABCB5	10.75138387144103	-0.19472533848758466	0.4227359348746431	-0.46063114683006057	0.6450632613481597	0.9691208609792268
ABCB6	95.06943340091644	0.28579438402271645	0.2108326552287955	1.3555508453497043	0.17524212055249394	0.8506711645977032
ABCB7	1120.906654348255	-0.20402074238289739	0.24473222011218557	-0.8336488848479944	0.40447886988190035	0.9384127224154929
ABCB8	402.18188021400357	-0.09464942511707013	0.23125924239040405	-0.4092784536467786	0.6823353257408091	0.9735466951428352
ABCB9	465.7581423453196	-0.003761074102360327	0.2289580231525234	-0.016426915513045107	0.9868938071701195	0.9991408262719376
ABCC1	505.59943105239904	0.24912922010451274	0.20224184685841962	1.2318381382212993	0.21800955362035057	0.8898855789416339
ABCC10	203.48880875354905	0.06300841581195991	0.3481247698628502	0.18099377368862082	0.8563724631812327	0.9934719978024055
ABCC11	26.8139300850463	-0.026571509541083983	0.30049023648014855	-0.08842719767648555	0.9295371453420898	0.9969502286556999
ABCC12	2.326233996045866	1.7819612483069946	0.8110825732207795	2.1970158244565545	0.028019316065868376	NA
ABCC13	1.5607573525117815	0.4566812569819835	0.980803641207869	0.46561945510273206	0.6414879146873462	NA
ABCC2	32.58135111599629	-0.12794350124233533	0.27255203601703254	-0.4694277948242507	0.6387638848800015	0.968196397531491
ABCC3	9.153573545388095	-0.5681689305396943	0.44917881843181723	-1.2649058843052705	0.2059050677483467	0.8811437432256995
ABCC4	45.72253152935514	0.4132780153814567	0.3732752245487986	1.1071670129755116	0.26822172665793304	0.9121240341354322
ABCC5	1485.8637911129044	0.15854311169807794	0.12456599647471663	1.2727639659692982	0.2031018114740181	0.879478301902633
ABCC5-AS1	0	NA	NA	NA	NA	NA
ABCC6	30.458994150487893	-0.5388131332171507	0.4476906099298956	-1.2035390541283055	0.22876778785119922	0.8928016287325198
ABCC6P1	8.39251900435492	-1.8410938392685026	0.6802964622675429	-2.706311059051852	0.006803528522619038	0.31499516077179257
ABCC6P2	0	NA	NA	NA	NA	NA
ABCC8	1361.6656132145902	0.08802765637992711	0.15044830877755744	0.5851023324567827	0.5584789106155985	0.9590165563459316
ABCC9	28.153981693830673	-0.06639076674734488	0.3761230955241167	-0.17651340089826514	0.8598906215791344	0.9934719978024055
ABCD1	16.804543166384324	0.35903686962795966	0.5590974896531697	0.6421722083758316	0.5207613757287757	0.9551081212065663
ABCD2	1852.6711197899954	-0.009335762179374357	0.1777233796125688	-0.052529735815996834	0.9581066022808866	0.9974540153626494
ABCD3	1354.4237986778726	0.2260644407857212	0.1613532633918236	1.4010527957947503	0.1611982858559377	0.8385912544914593
ABCD4	378.64929070672366	0.23184844829285722	0.13649014008953095	1.6986461303415457	0.08938587910907281	0.7423422904454144
