Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	19.651315769547665	-0.04464701604041874	0.041733269069338066	-1.0698183256681764	0.2847010918868759	0.7877597621720985
A1BG-AS1	2.0323952612963474	0.09798870595287235	0.09690820814763176	1.0111497036824222	0.3119447842911453	0.797681049016749
A1CF	136.82431644843695	0.015766532431301616	0.027994315438335183	0.5632047858441667	0.5732954443778503	0.9019386828354282
A2M	298.93151249281885	-0.01365123028187954	0.030259303500796284	-0.4511415896112845	0.6518875044802799	0.9217567190620626
A2M-AS1	16.18284080085145	-0.03185505545403479	0.04971030616066982	-0.6408139058945912	0.5216435970490021	0.8848662409502891
A2ML1	164.537235616876	0.0024123695261144312	0.021086870582470465	0.11440149531338406	0.9089195286906546	0.9851955968301623
A2MP1	15.564730532029813	-0.08119575436033853	0.05270610016771857	-1.5405380800697015	0.12342924801002245	0.6791639629804378
A3GALT2	78.17052734389758	0.05803469032531859	0.03474962982543512	1.6700808214894964	0.09490337407721669	0.6539241026253265
A4GALT	3.776332753963249	-0.03138576060602946	0.060402754944104124	-0.51960809792655	0.6033367527979749	0.9126138533589068
A4GNT	10.305074764630621	-0.12269912955143647	0.08637746108774462	-1.4204993757201927	0.15546235020871432	0.7076828175479316
AA06	0	NA	NA	NA	NA	NA
AAAS	148.47661389090467	0.017044454618962673	0.02499439978084807	0.6819309432676581	0.4952826181198485	0.875067177755374
AACS	432.27994923676704	0.009731026864182259	0.019839377591201843	0.49049053174418494	0.6237868281629922	0.9172922446307984
AACSP1	9.904411320645659	-0.07147162408839627	0.05156741299186791	-1.3859842862326102	0.16575170177609205	0.718021780718547
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.6801525677550007	-0.04598706789287782	0.15729874177427286	-0.29235496339106304	0.7700152387028287	NA
AADACL2-AS1	7.254055976653704	-0.04524142218233066	0.05768359987337614	-0.7843030303525116	0.43286232177510786	0.853241684478278
AADACL3	0.517240695942165	0.03250487070412904	0.16281572930339788	0.19964207907430156	0.8417605158611783	NA
AADACL4	8.104839436323754	-0.10817275655068363	0.04471225192623084	-2.4193090683321885	0.015550021718386134	0.4584579509461734
AADACP1	0	NA	NA	NA	NA	NA
AADAT	26.029678542812224	0.060627696618852096	0.043256750231445526	1.401577702773861	0.16104138917449645	0.7134940451862611
AAED1	16.31216370247141	0.0535504998667576	0.047962428761799764	1.1165093438597613	0.2642041728207322	0.7830165750533694
AAGAB	895.2030635917672	-0.010817997971591251	0.012680188274441949	-0.8531417465934549	0.39358070318962646	0.8348761466855639
AAK1	8385.45703239472	-0.0017144740087818651	0.009939494820484401	-0.1724910611400983	0.8630514882159215	0.9755106970278927
AAMDC	435.3052801152504	0.007538413097418763	0.019258568140568262	0.39143164966345867	0.6954782017480623	0.9307607806221697
AAMP	102.23849668202931	-0.0368107350304862	0.023190028369960997	-1.58735187569536	0.11243297225098324	0.6658417545477262
AANAT	8.824922231738588	0.024073096318400267	0.051008540041461554	0.47194246882645136	0.6369678536302927	0.9189631124958487
AAR2	165.72975563194368	0.005417013044171472	0.02235538243728358	0.24231359312991013	0.8085371817882205	0.9653674852868216
AARD	0.5046227174504277	-0.09374324858957463	0.1982410075120129	-0.4728751622385395	0.6363022461571386	NA
AARS	657.1577247467202	0.010924243889111994	0.017923162577592158	0.6095042569534949	0.5421902519605943	0.8911785186068903
AARS2	286.42613871997725	0.021446763908270428	0.01562665053297032	1.372447912815378	0.16992404332376734	0.7223482485991559
AARSD1	0	NA	NA	NA	NA	NA
AASDH	689.9505415008814	-3.0588118621866525e-4	0.01553889404350246	-0.01968487495714462	0.984294756478972	0.9967428815815214
AASDHPPT	359.6258413533498	0.002448750671632305	0.021209106449182343	0.11545751243691407	0.9080824953646836	0.9850649983969697
AASS	448.15065796050385	-0.025086240438731873	0.024983883699012176	-1.0040969106706075	0.3153319043655126	0.7984995266355385
AATBC	38.589713465285556	0.040807297261124226	0.03598229336946607	1.1340938400483547	0.2567551872563687	0.7781501340751257
AATF	1744.9127262896316	0.007432586491532054	0.016058435814145348	0.46284623095014854	0.6434745907601408	0.9207416278546415
AATK	488.1309949009459	0.03454586257554746	0.017670349521545017	1.9550186335265496	0.05058087096767594	0.5868667058894272
AATK-AS1	190.36242027506762	-0.020475727660349503	0.023702844688707675	-0.8638510663702906	0.3876697108836866	0.8327593483406444
ABALON	0	NA	NA	NA	NA	NA
ABAT	3937.337842374916	0.010690522633607435	0.014500424306131736	0.7372558490641392	0.4609667759830261	0.8653916501432041
ABCA1	1424.1931384588179	0.022628506483209722	0.01593093991217299	1.4204125185306269	0.15548762042219844	0.7076828175479316
ABCA10	2275.603207389324	-0.021757583078077278	0.0172822261954631	-1.2589571986847992	0.2080457919938253	0.750932954729532
ABCA11P	395.8422820210639	-0.03182643931645926	0.017906727144793577	-1.7773454109794078	0.07551142643190072	0.632492175104675
ABCA12	26.76176493986741	0.03220293098546138	0.048787637167887254	0.6600633450364721	0.5092131799337302	0.8796426222818855
ABCA13	24.289222411403543	-0.04216837801420961	0.03375448696748026	-1.2492673360681044	0.21156731069801088	0.7532700089720072
ABCA17P	891.96728692081615	-0.017362179232893682	0.012134071272979347	-1.4308618140027332	0.15246982299463646	0.7029477137809691
ABCA2	420.2242416235941	0.09349934780139815	0.02642730118167559	3.537983207541056	4.031956995857302e-4	0.15878269546642837
ABCA3	905.2197214820336	0.036393289899482574	0.01766415969277991	2.0602899052343857	0.03937083439924909	0.5603244113146836
ABCA4	13.094791398740103	0.016114853233274565	0.040639566449602454	0.39653113064724155	0.6917132470424994	0.9304018939380976
ABCA5	3858.375165793147	-0.01649052783247136	0.016081271900848598	-1.0254492265379311	0.30515127098309824	0.7946395027025946
ABCA6	1026.7474084930552	0.0036216323356994228	0.019894787115870543	0.18203926056642047	0.8555519151498469	0.9739462335268366
ABCA7	214.90094688136182	0.011419095860635602	0.030783082772489496	0.37095361582306247	0.7106720798994459	0.9345855504935118
ABCA8	112.54218632763101	0.1243455372547848	0.08651560501803147	1.4372613730074344	0.15064374004931397	0.7029477137809691
ABCA9	808.0798612264242	-0.006470896920664584	0.020728217706806513	-0.31217816274381077	0.7549051270013447	0.9481465094798389
ABCA9-AS1	0	NA	NA	NA	NA	NA
ABCB1	13.309064214464247	0.01585176401986409	0.04279400281737254	0.37042022190616275	0.7110694088182553	0.9345855504935118
ABCB10	847.8005596115728	0.020589301912800947	0.010181403535999568	2.0222459349539545	0.04315095094801394	0.5681986950044173
ABCB11	3.4082152341795697	-0.03157918969437563	0.06818600099076703	-0.46313303662802746	0.6432690110484757	0.9206445543378124
ABCB4	43.08673755147302	0.005721061017271092	0.0345626744426811	0.16552715059012363	0.8685290814995088	0.9765575013929626
ABCB5	10.75138387144103	-0.03025175617881182	0.03984469576088977	-0.7592417409924345	0.4477079608418336	0.8604056296086474
ABCB6	95.06943340091644	0.006363738839747513	0.021094087206876302	0.3016835370659246	0.7628933194161606	0.9509651538473184
ABCB7	1120.906654348255	-0.04384736759819197	0.021629284084818276	-2.0272223262798006	0.0426396808747138	0.5666342378547389
ABCB8	402.18188021400357	0.033195738539053554	0.020994554109801385	1.5811594933352742	0.1138415745110321	0.6658417545477262
ABCB9	465.7581423453196	0.005380547123916574	0.02192194560670201	0.24544113102222212	0.806114884798497	0.9643296776358865
ABCC1	505.59943105239904	0.02282779596838745	0.01948504863898363	1.1715544770422592	0.24137597395161228	0.7685913338680829
ABCC10	203.48880875354905	0.03646558939955059	0.03259234112695511	1.1188392161676337	0.26320873809981676	0.782864050813139
ABCC11	26.8139300850463	0.014738866574237315	0.028420593255288326	0.5185981320602728	0.6040410119540248	0.9126610139419953
ABCC12	2.326233996045866	0.04232960972898364	0.08040019761432013	0.5264863891509178	0.5985503063919961	0.9114524694037854
ABCC13	1.5607573525117815	-0.014295416662557339	0.0936338694618582	-0.15267356507551558	0.8786557083486588	0.9780711404082808
ABCC2	32.58135111599629	-0.014548715325184553	0.025886441351072775	-0.5620206782336125	0.5741019305588665	0.9028457241148374
ABCC3	9.153573545388095	-0.034289919543299144	0.04325502595519093	-0.7927383878770762	0.4279302596944097	0.8508373474978009
ABCC4	45.72253152935514	0.0470635890498969	0.034919747761836234	1.3477642900196622	0.1777342068177322	0.7257702853449323
ABCC5	1485.8637911129044	0.013510559601188436	0.0121245872178367	1.1143108922762177	0.2651458357600513	0.783068946378619
ABCC5-AS1	0	NA	NA	NA	NA	NA
ABCC6	30.458994150487893	-0.05352129320342476	0.04260640590663665	-1.256179489082132	0.20905090147162722	0.751307181219059
ABCC6P1	8.39251900435492	-0.18679799402010727	0.06184361013105306	-3.0204898068573756	0.002523662024841347	0.26323573212689083
ABCC6P2	0	NA	NA	NA	NA	NA
ABCC8	1361.6656132145902	0.013519013643493567	0.014198678419559593	0.9521318283306041	0.3410301289967956	0.8136077952491699
ABCC9	28.153981693830673	-0.03142013243640315	0.035031288273393794	-0.8969162707118222	0.3697635972286114	0.8263086803021741
ABCD1	16.804543166384324	0.04071536324692321	0.052907329912439835	0.7695599705051457	0.4415609577822022	0.8569778910265959
ABCD2	1852.6711197899954	0.006306442068447541	0.01699326950125735	0.3711141089112322	0.7105525428380853	0.9345855504935118
ABCD3	1354.4237986778726	-0.006477946038449451	0.016300077476104128	-0.39741811337682925	0.6910591604768928	0.9301909872764692
ABCD4	378.64929070672366	0.00858368159644605	0.014131889835651421	0.6073979981638017	0.5435868166556286	0.8922699046294432
ABCE1	393.2073496926871	-0.011964142490268607	0.017961082828163784	-0.6661147662828154	0.5053377469056046	0.8787337114394761
ABCF1	267.4972747772359	0.0050027555284944385	0.018011800401787244	0.27774877674072124	0.7812052147111672	0.9579464881840711
ABCF2	183.44678836610893	0.030611197539058863	0.021867078268669293	1.3998759762486408	0.16155046121590097	0.7134940451862611
ABCF3	205.22076687801345	0.0480132303922506	0.01941227844211878	2.4733433808612797	0.013385546090373906	0.4357989793892279
ABCG1	1060.7009168899428	0.0088279118334279	0.01459986524817759	0.6046570761692361	0.5454068742021503	0.8927804491637118
ABCG2	34.79285360818118	0.08936524877870139	0.040133467497341986	2.2267014128450273	0.02596723595113504	0.5070348564381342
ABCG4	917.7516774965868	0.00796452312579275	0.019277486891598968	0.4131515259524648	0.6794956004649955	0.9260069118475037
ABCG5	174.991988452258	-0.022685274223864776	0.022166983295011797	-1.0233812116856518	0.3061276392160757	0.7948409070630205
ABCG8	145.78185680230055	-0.04938357601092542	0.02150370701494115	-2.296514548706084	0.02164647827400155	0.49270212736807134
ABHD1	27.438425049075477	0.01693572987170279	0.03689506506447344	0.4590242581794589	0.6462167461220774	0.9209871076981498
ABHD10	279.4072753893474	-0.03734068252646871	0.017513356790962654	-2.1321259523324203	0.03299649366591761	0.5336164873529927
ABHD11	13.357377067456412	0.017610915978636288	0.04848194729546285	0.36324687767408204	0.7164204723448916	0.9368747362280984
ABHD11-AS1	0.5690925161242879	0.23010388509969695	0.16672875739800866	1.3801091586762178	0.16755303777904665	NA
ABHD12	952.3523886737905	0.015501320009219877	0.01367717632306024	1.1333713657755558	0.2570583335956607	0.7783774794942608
ABHD12B	85.2282953941594	-0.04723630320687692	0.028832115692579017	-1.6383224772864962	0.10135444121239692	0.6578000963585711
ABHD13	205.37885780361614	-0.045835148005009256	0.021371788243375215	-2.1446566605963424	0.03198030845747114	0.5280563803409184
ABHD14A	0	NA	NA	NA	NA	NA
ABHD14A-ACY1	23.98252424704556	-0.0327357413125584	0.051978610821463815	-0.6297925395697695	0.5288303273973178	0.887548709319239
ABHD14B	94.90816827349208	0.043395247697735305	0.023623083734530526	1.836984882473377	0.0662121271521798	0.6169690751438095
ABHD15	2.507899234388588	-0.015319390273294327	0.10408089942600689	-0.14718733559931596	0.8829841564539435	0.9787363504310812
ABHD16A	172.7575452918711	0.03323917784634077	0.02090431084474511	1.5900633172366156	0.11182053351951816	0.6645494175495418
ABHD16B	4.362131163313319	0.06816402790202838	0.07410129713362215	0.9198763117346318	0.35763739900502456	0.8198294805477891
ABHD17A	29.444859437014813	0.0838031142042482	0.04025314598995968	2.081902225111825	0.037351401506818746	0.5532189212805153
ABHD17B	894.2976495541908	-0.012504329850053541	0.015518732800453829	-0.8057571459499493	0.42038289204926643	0.8483287293078092
ABHD17C	644.7789277370682	0.005417817056705014	0.014355900522785849	0.37739304811326835	0.7058815324122321	0.9336629111104583
ABHD18	1360.1372809869365	-0.02320518059913379	0.015847009365477213	-1.4643255433221607	0.14310502116186977	0.694657301649104
ABHD2	3154.68546834065	0.005808695443719626	0.01060351149697309	0.547808661817153	0.5838232904068877	0.9054693245438852
ABHD3	199.5630277309978	0.028131057661451096	0.024278346173657806	1.1586892064325829	0.24658289202377195	0.7738759447225191
ABHD4	44.024101813493346	-0.042424558669877474	0.043774794596397854	-0.9691549454664605	0.33246788667771576	0.8091876779425968
ABHD5	645.4220878710689	0.012873143303018017	0.018199402162672785	0.7073388009096807	0.47935595855467505	0.8721906359019674
ABHD6	2990.8021333036613	0.003695438275689493	0.01741488556876054	0.2121999746193283	0.8319510265391976	0.9690283356355766
ABHD8	164.0165003671284	0.0074076995441019295	0.0223432317495049	0.33154109607559684	0.7402358043477619	0.9431380417202744
ABI1	2442.9046036342875	0.012505105197869518	0.017828058577263096	0.7014283211867963	0.4830357527040427	0.8721906359019674
ABI2	3187.3564527257504	-0.005775035752738944	0.011874861058434518	-0.48632449039368175	0.6267371180041389	0.9180296164799348
ABI3	15.264352065032389	0.044514551491249256	0.0520117667926801	0.8558554003497921	0.39207776702947394	0.8339365605163152
ABI3BP	477.58270100856976	-0.08997656872423081	0.026212233731813195	-3.4326173665630137	5.977850868059569e-4	0.17099613976608435
ABL1	2156.5875814420624	0.021554948758719772	0.010407878362616389	2.071022355155693	0.03835670697984586	0.5565107425301511
ABL2	2311.889913396149	0.00811751679214002	0.010173511996408513	0.7979070349556469	0.42492444063004964	0.8499070694005187
ABLIM1	435.8115157573026	0.008256705578876823	0.03006386100002786	0.27463889547883324	0.7835936806746318	0.9583859253285275
ABLIM2	3425.089994257914	0.01929689289164206	0.019894876382428525	0.9699428395888594	0.33207498482710085	0.8091876779425968
ABLIM3	2002.4264900244316	-0.0062237252597344295	0.016033783635117583	-0.38816323092342814	0.6978952415035478	0.9317364841600797
ABO	4.14308837937498	0.0447764308410156	0.08118983631096463	0.551502908190598	0.5812889736301375	0.9045807261254172
ABR	582.0084819877991	0.04978467177864002	0.021751505102716267	2.288792041909001	0.022091438083478552	0.49393863249018805
ABRA	20.28799308974455	-0.06112931903131453	0.04339125180712307	-1.4087936274122332	0.15889620003799332	0.711438641169168
ABRACL	113.86539222119666	0.011337568222560978	0.02374676951977919	0.47743623456309187	0.6330515172114866	0.9186555265001959
ABT1	35.684169263651334	-0.014432688452286574	0.04238813010207428	-0.34048891558866623	0.7334883687669829	0.9413236509699224
ABTB1	182.82731789510882	0.031664260045170194	0.02418709031344824	1.3091388684964962	0.19048731513906478	0.7349505320877361
ABTB2	221.8991701598341	0.08129931649954497	0.037787510804049414	2.151486424208517	0.031437826222706335	0.527475665076704
ACAA1	104.73568215377358	0.008463167651277227	0.032248645362437364	0.26243482652251093	0.7929862256168839	0.9605631475420972
