Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	37.143846495469845	-0.00416684759420904	0.008026508003821074	-0.519135792579461	0.6036660500123221	0.8744175235846209
A1BG-AS1	5.22707529967267	-0.018521855994877788	0.019999473499816466	-0.926117179787146	0.3543850867892409	NA
A1CF	13.783844583634751	0.022733568258295457	0.013491265596833021	1.6850582397274871	0.0919773355920481	0.515227214715108
A2M	1061.840232667915	0.0018485601061015494	0.005157811591361043	0.35840008370948495	0.7200439290169494	0.9200732877829025
A2M-AS1	58.38726526382376	8.201230995473917e-4	0.007039372021733739	0.11650515088779213	0.9072522040810753	0.974579136844707
A2ML1	159.88040666935558	-0.005547857773767679	0.005140773585685187	-1.079187340445423	0.28050422197773117	0.7026124323487253
A2MP1	48.623521677488604	0.004250701320563393	0.007600738245260863	0.5592484813187387	0.5759921500924965	0.8624046624818266
A3GALT2	43.144644417462096	-0.016070498803013637	0.012430716602992662	-1.2928055007822081	0.1960783374187813	0.6367840488505491
A4GALT	4.774974494590277	0.045379720554155074	0.019786977392280365	2.2934134736445086	0.02182421165630754	NA
A4GNT	4.540736349188141	-6.105633431358977e-5	0.01989712547791869	-0.0030686007574987906	0.9975516146747838	NA
AA06	0	NA	NA	NA	NA	NA
AAAS	261.97544520835936	-0.01173534329736168	0.0058657616090814785	-2.0006512503325755	0.04542998640970431	0.4176568566351047
AACS	366.19189409814834	-0.004777757623478998	0.004897496265286846	-0.9755510498994052	0.32928699200436773	0.7369216978764175
AACSP1	5.345934944690506	-0.0012903920546069511	0.01209407132188822	-0.10669624977914262	0.915029957866918	NA
AADAC	0	NA	NA	NA	NA	NA
AADACL2	1.5866059816500777	0.030839943122342343	0.024947255023652314	1.236205870870491	0.21638204899196922	NA
AADACL2-AS1	17.447386011300782	0.013475716147767706	0.011456227073373643	1.1762787226073514	0.23948351543404348	0.6695417171869934
AADACL3	0.5867653095079156	-0.002095305301959562	0.037381774321490424	-0.05605152082775779	0.9553007639553239	NA
AADACL4	7.0291003896091135	0.022694720056236684	0.013192483579667107	1.7202765437748873	0.08538218508010124	0.504879684839517
AADACP1	0	NA	NA	NA	NA	NA
AADAT	645.1377504646535	0.001514550241434683	0.005848034387333714	0.25898449651989985	0.7956472024892669	0.9435079597263227
AAED1	39.99671804350912	0.002003665070564688	0.005690332841706384	0.3521173763121809	0.724750237454125	0.9208117850949489
AAGAB	689.4136492627517	0.006144032532493195	0.00343572475264645	1.7882784491861885	0.07373109500678725	0.4839633453571387
AAK1	3804.440556159289	-0.001119848036452945	0.0028763258813850065	-0.38933280950547805	0.6970299686766765	0.9119025148823859
AAMDC	985.031018337766	1.4763113302770063e-4	0.004509478342331371	0.03273796253590084	0.9738835503798825	0.9922122657350445
AAMP	95.90608393747657	0.009768703711552395	0.0071951719256397265	1.3576748147937903	0.17456689173912415	0.6174314578002345
AANAT	5.207851018604836	0.007112833268687929	0.018258169451521956	0.38956990116525736	0.6968546124856274	NA
AAR2	211.0627912492137	-0.009672417164217859	0.005332945686728877	-1.8137100455172135	0.06972237769789026	0.479586216519481
AARD	0.5401490428003396	-0.0566621599304725	0.055418123036429685	-1.022448196111316	0.30656881936666497	NA
AARS	496.64991789862466	0.0032532825443221543	0.0065963374310541775	0.4931952887986567	0.6218746064112631	0.8807368080452823
AARS2	133.40187694740152	-0.005553678508980416	0.005219280891611757	-1.0640696724918735	0.2872971383235516	0.7071644913956662
AARSD1	0	NA	NA	NA	NA	NA
AASDH	748.0457471066206	0.008059634920960734	0.0032392215291509375	2.488139464506869	0.012841336491829709	0.28666570747646314
AASDHPPT	470.40403390356596	0.0015540618894445634	0.003924422538650733	0.3959975956052046	0.6921068019783969	0.9097247755587186
AASS	3405.975248650834	0.007315467434204278	0.005401623284533934	1.3543090750423326	0.17563779208758562	0.6177531570348873
AATBC	43.00666080703543	0.01170954604629943	0.01016194215453446	1.152294105617832	0.24920023830428548	0.6782193403573331
AATF	1699.1250933963252	0.008074418349897326	0.0032975355461421717	2.448622080615231	0.014340382385293135	0.29839236129766
AATK	673.5565537806083	0.002120931746610222	0.007130050545132688	0.2974637743708663	0.7661124608143494	0.9346009446733874
AATK-AS1	66.61789250780355	0.009933446512797338	0.007305998218764664	1.3596289261725192	0.17394737968375545	0.617355984720079
ABALON	0	NA	NA	NA	NA	NA
ABAT	2064.710217506759	-0.003972004808728955	0.003723162644216877	-1.0668362326041814	0.2860457940338773	0.7065723340749838
ABCA1	3783.225333161178	0.003853006601382232	0.005083700511346743	0.7579137663169535	0.448502608462681	0.8030358817777421
ABCA10	647.1646133562597	0.007396485558708594	0.005893742669189762	1.2549725995630243	0.2094887069788172	0.6470332663096796
ABCA11P	332.60614896694017	0.010652556211340038	0.006972850717136583	1.527718955055234	0.12658233181126488	0.5656568845353288
ABCA12	120.04856647375345	0.002151076065121833	0.00875364428337344	0.24573491856500945	0.8058874397264836	0.9473782955042431
ABCA13	120.76018494083117	-7.426370366235963e-4	0.008798942720647386	-0.08440071269937265	0.9327378406575783	0.9813789372406783
ABCA17P	294.77930057983093	2.5775168844905646e-4	0.005297905338538154	0.04865162209941969	0.9611969301562291	0.9888262546822006
ABCA2	2527.5590784125	-0.004297723734429854	0.00876086457712096	-0.4905593159895863	0.6237381672536821	0.8818787069467628
ABCA3	456.5137470583501	-0.005942554806402586	0.007127527775162601	-0.8337469868740033	0.40442357443658467	0.7800366811869412
ABCA4	13.737208345291894	0.03221365869661823	0.016195706962596156	1.989024546505774	0.046698493658546204	0.41901320312820695
ABCA5	2085.401608197002	0.011107384993487058	0.004736392857745276	2.3451148008813285	0.019021221877596032	0.32467650395078534
ABCA6	535.610523147714	0.03698751210784892	0.01022071273934364	3.618877963908435	2.9588311845568107e-4	0.04898133680949189
ABCA7	22.44115273223927	-2.7744282663800217e-4	0.010231041949626015	-0.027117748906126202	0.9783658183862339	0.993454530622124
ABCA8	4186.701780499277	0.005612150828204518	0.007163183059286126	0.7834716468580404	0.4333501972165703	0.7973423444499232
ABCA9	202.07250295118646	0.03001069487634999	0.010216009744309066	2.937614159292258	0.0033074837526410636	0.1653803677986369
ABCA9-AS1	0	NA	NA	NA	NA	NA
ABCB1	17.291829414909508	0.007991203793970092	0.012907607072668848	0.6191080770417182	0.5358451627164709	0.8448127544977503
ABCB10	671.5368753531269	0.0022240112341884053	0.0034979177348208328	0.6358100455162139	0.5249002391370972	0.8423798316573744
ABCB11	7.179477510663519	-0.019240903786499123	0.01553360265042861	-1.2386633171647543	0.21547020894119695	0.6511180254485026
ABCB4	35.56177926469184	0.005444043154169933	0.007969097249917954	0.6831442738669028	0.49451568144208935	0.8272227480344911
ABCB5	10.57556297062838	0.009965534802765805	0.011924032665022363	0.8357520549233681	0.40329440402364836	0.7795022051305522
ABCB6	133.36957368333765	0.002541076256106956	0.0055487373804882474	0.45795576215996014	0.6469842238150495	0.8911324052818957
ABCB7	1188.582560875286	0.00977366665136982	0.004836640756148925	2.0207551364951692	0.043305119093255136	0.411102992943179
ABCB8	346.663792071359	-0.010569332867496593	0.0066403175616793755	-1.5916908746188858	0.11145417973879293	0.5435812107041178
ABCB9	136.51923163580378	-0.009522533464949232	0.007124357252750048	-1.336616501267321	0.18134784990299024	0.623578304058116
ABCC1	395.84209532358267	-0.007672365363292624	0.004481593551646125	-1.711972599673726	0.08690171809078431	0.5080549998504471
ABCC10	184.5919017105244	-0.012460131187911679	0.0072527145240046395	-1.7179955376255076	0.08579742921588206	0.5054748812740516
ABCC11	76.70147995975167	-0.0021864157973678676	0.005036891703023485	-0.4340803666784085	0.6642300820957681	0.8984798354065113
ABCC12	1.729099100593349	0.003719346010615416	0.025361190005365804	0.14665502722184937	0.8834043177590521	NA
ABCC13	1.9154642978406253	-0.009486396630569795	0.024702634243550275	-0.3840236849657701	0.7009608928884223	NA
ABCC2	76.67970246097606	0.00547702060369617	0.005852574219951707	0.9358310373962868	0.3493601884970449	0.7516399248719375
ABCC3	18.120461955828922	0.02921247069131837	0.014122779577470705	2.0684646765937935	0.038596348884699205	0.3965022082233106
ABCC4	573.5772107115641	-0.0014444465510610057	0.009043357297860061	-0.15972459159639824	0.8730980283078127	0.9665020765078868
ABCC5	1130.039832746506	-0.004411701399588074	0.0039014205488789363	-1.1307936030776702	0.25814197300656677	0.6859927371856568
ABCC5-AS1	0	NA	NA	NA	NA	NA
ABCC6	22.4556631595033	-0.007941368584844509	0.007601371427178887	-1.0447283968324392	0.2961485165125411	0.7139154106651946
ABCC6P1	16.613888111316744	-0.004434130148985185	0.01409136740361026	-0.3146699693494007	0.7530122477499727	0.9305564989056687
ABCC6P2	0	NA	NA	NA	NA	NA
ABCC8	526.8894679772159	0.012176341451580733	0.006904337879674335	1.7635784435501973	0.07780297963875538	0.49302639157158074
ABCC9	127.66466428931483	0.0070771122385151555	0.008337642506884244	0.8488145459189105	0.39598449489261184	0.7765216365562735
ABCD1	32.777544548631475	-0.012650148896673508	0.006123446426449764	-2.0658544250558224	0.03884222729401537	0.39715034989680886
ABCD2	1018.6811627011116	-0.007216685649098969	0.007602926911107147	-0.9491983460417176	0.3425197426164796	0.7465314036917097
ABCD3	2384.4104377818517	0.005778848949401691	0.0034409728526613808	1.6794229994962344	0.0930696339876995	0.5166836084235684
ABCD4	493.38973467637953	-0.005432606018805847	0.006094000796441073	-0.8914678878904178	0.37267821153241115	0.76431197276452
ABCE1	419.56523753600715	0.006413589540643321	0.004306618167351397	1.489240348555843	0.13642408936324002	0.5783144054031165
ABCF1	372.37562299474496	-4.30602517380907e-4	0.0034800669681648174	-0.12373397446658373	0.90152591062080345	0.9731518067297418
ABCF2	156.80447018034707	8.285108768179369e-4	0.006025708953232303	0.13749599976505805	0.8906387544418135	0.9699523027390312
ABCF3	131.7555560530189	0.002040373533906484	0.0071198616264156805	0.28657488599728026	0.7744378462863085	0.9364367752451209
ABCG1	929.3907728818891	0.0016282782650719147	0.006115154862480138	0.2662693425905374	0.7900317821299856	0.9423932078760289
ABCG2	166.33440274541726	-0.010426712291209917	0.007627285441939072	-1.367027938128293	0.1716165486499425	0.6145550981786646
ABCG4	32.24640546968171	0.008232210459376088	0.010660375452730776	0.77222518999247	0.43998106457310243	0.7990545255887228
ABCG5	57.00464457374824	-0.007560784743671402	0.0076010141668605875	-0.994707361109182	0.319878613255625	0.732092745835138
ABCG8	5.298244666451712	0.01735084263613481	0.013181146448024143	1.3163379000872648	0.18806065546464937	NA
ABHD1	51.614981833553706	-0.0031499916435547646	0.009190245296064421	-0.3427538158207485	0.7317836731174556	0.9227867260169308
ABHD10	273.2941935433656	0.009954648926319993	0.004272313308821343	2.330037196889548	0.01980418523739604	0.328469797515666
ABHD11	19.79039841750843	-0.01727328923588306	0.010775261671024475	-1.6030505581439651	0.10892349240002137	0.5395577500419411
ABHD11-AS1	1.9485564427863027	-0.016186192430616593	0.02570016803871402	-0.6298088170565329	0.5288196762547145	NA
ABHD12	1097.532629830867	-0.005667536258227297	0.003509996599316251	-1.614684259047811	0.10637908805842314	0.5380542502846634
