Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	37.143846495469845	0.010741026958982774	0.032193873184493745	0.33363574793964884	0.7386544394706305	0.998579267766214
A1BG-AS1	5.22707529967267	0.023735888724507805	0.08112305869693479	0.2925911461645203	0.769834682090478	NA
A1CF	13.783844583634751	-0.047174244077764736	0.05575191226467897	-0.8461457582622054	0.3974714367524903	0.998579267766214
A2M	1061.840232667915	-0.018557125298892047	0.02054989630453859	-0.9030276855846506	0.36651120146115396	0.998579267766214
A2M-AS1	58.38726526382376	-0.0038516267332203958	0.028191184429752117	-0.13662521852595544	0.8913270419192382	0.998579267766214
A2ML1	159.88040666935558	0.041252011879783175	0.01900176349549844	2.1709570214130847	0.02993442134369899	0.9693227967386824
A2MP1	48.623521677488604	-0.00746205780710754	0.030648563029749255	-0.243471702078314	0.8076400041192956	0.998579267766214
A3GALT2	43.144644417462096	0.07838292793396447	0.050187540343000575	1.5618005464755988	0.11833498303444116	0.998579267766214
A4GALT	4.774974494590277	-0.23163741167837792	0.07330885798595589	-3.1597465578137056	0.0015790643155863483	NA
A4GNT	4.540736349188141	-0.11708523986329326	0.07733848406506659	-1.5139324396995788	0.13004297550422578	NA
AA06	0	NA	NA	NA	NA	NA
AAAS	261.97544520835936	0.046342328501394296	0.024015347523067707	1.929696351755086	0.05364447227015437	0.998579267766214
AACS	366.19189409814834	0.015889958244663365	0.02007348104601052	0.7915895707496831	0.4286000300152761	0.998579267766214
AACSP1	5.345934944690506	-0.009585974981247376	0.04681822152477182	-0.20474880653412633	0.8377683860056422	NA
AADAC	0	NA	NA	NA	NA	NA
AADACL2	1.5866059816500777	-0.07881821501372745	0.09409157063023452	-0.8376756226492486	0.4022129080652058	NA
AADACL2-AS1	17.447386011300782	-0.050494178007009644	0.04523338583132324	-1.1163033029476075	0.26429232828190297	0.998579267766214
AADACL3	0.5867653095079156	3.5861486667580577e-4	0.14720336927459424	0.002436186538684743	0.9980562062962853	NA
AADACL4	7.0291003896091135	-0.09020380301435384	0.04990405243067395	-1.8075446506005453	0.0706773993671475	NA
AADACP1	0	NA	NA	NA	NA	NA
AADAT	645.1377504646535	0.01770352906758575	0.023424941752762406	0.7557555213770402	0.44979578883478005	0.998579267766214
AAED1	39.99671804350912	-0.007400558858318077	0.022518268274863158	-0.32864689095916055	0.7424226011292205	0.998579267766214
AAGAB	689.4136492627517	-0.015309447744056078	0.014925531570139015	-1.0257221106071124	0.30502258917984976	0.998579267766214
AAK1	3804.440556159289	0.004060330202084807	0.011812574832823981	0.3437294797745736	0.7310497388905399	0.998579267766214
AAMDC	985.031018337766	3.9506195936363764e-5	0.018364625664779376	0.0021512116096180918	0.9982835827935131	0.9995592510087521
AAMP	95.90608393747657	-0.05951434529991951	0.026062307630632716	-2.283540895280065	0.022398526798418316	0.9314739908099255
AANAT	5.207851018604836	0.010043562827560013	0.07172682201608556	0.1400252031981513	0.888640077288712	NA
AAR2	211.0627912492137	0.03190315353928762	0.02246282133103853	1.4202647596722273	0.15553061651872988	0.998579267766214
AARD	0.5401490428003396	0.19689987463856962	0.22968431663195552	0.8572630361788286	0.39129953194996786	NA
AARS	496.64991789862466	-0.01073864542881941	0.02679799453874809	-0.40072571151889946	0.6886220786338328	0.998579267766214
AARS2	133.40187694740152	-0.0014577908306506336	0.02178621138362381	-0.06691346214268448	0.9466505958190727	0.998579267766214
AARSD1	0	NA	NA	NA	NA	NA
AASDH	748.0457471066206	-0.004057843751312082	0.015993637487231593	-0.2537161264628908	0.7997148745207954	0.998579267766214
AASDHPPT	470.40403390356596	-0.0030010866848983286	0.016024055080078457	-0.1872863435566545	0.8514361298043941	0.998579267766214
AASS	3405.975248650834	-0.025077976150218402	0.02237531760573546	-1.1207874941533866	0.2623783286522235	0.998579267766214
AATBC	43.00666080703543	-0.009819522639909838	0.04168663985402148	-0.23555562823714982	0.8137775081142051	0.998579267766214
AATF	1699.1250933963252	-0.009934144723303505	0.01592331540670748	-0.6238741411301116	0.5327102438535432	0.998579267766214
AATK	673.5565537806083	-0.0021098632861854304	0.028987063509831677	-0.07278637539362406	0.9419761130580431	0.998579267766214
AATK-AS1	66.61789250780355	-0.016467190741569427	0.030347469664051035	-0.5426215405720006	0.5873904048015727	0.998579267766214
ABALON	0	NA	NA	NA	NA	NA
ABAT	2064.710217506759	0.010334980930440316	0.015621100384320295	0.6616038996083828	0.508225107710344	0.998579267766214
ABCA1	3783.225333161178	1.3478377769364969e-4	0.02109677922519559	0.006388831975483693	0.9949024842829192	0.9989314333501665
ABCA10	647.1646133562597	-0.011796046229141625	0.02482468175675686	-0.4751741168214952	0.6346628740817852	0.998579267766214
ABCA11P	332.60614896694017	-0.02996143707477327	0.029210320767575598	-1.025714072542176	0.3050263791123931	0.998579267766214
ABCA12	120.04856647375345	-0.05681333727327701	0.033142981722741306	-1.7141890777525943	0.08649400617854297	0.998579267766214
ABCA13	120.76018494083117	-0.03851931188538285	0.034746664981833056	-1.1085757987283753	0.2676132232065412	0.998579267766214
ABCA17P	294.77930057983093	-0.01318063801232827	0.02122099790033847	-0.6211130161846933	0.5345252657116181	0.998579267766214
ABCA2	2527.5590784125	0.03174281493220123	0.035016299727328094	0.9065153993820737	0.3646631178199896	0.998579267766214
