Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	84.77671268283227	-0.012104093551229472	0.00591397240216132	-2.046694290762316	0.04068811017688354	0.2017398034583897
A1BG-AS1	9.527028326267203	-0.00938442243808774	0.012061183306305493	-0.778068138072459	0.4365288449890595	0.6864899242635939
A1CF	18.34561240427248	0.01988021362758525	0.009553920998830363	2.0808434181127393	0.03744824057138619	0.19403408144007003
A2M	968.8508874251628	0.016550371461476688	0.0060626163604877705	2.729905782813729	0.006335242849804478	0.07544529120521846
A2M-AS1	75.67454856566953	0.011895951424489133	0.004155398498422985	2.8627703044614767	0.004199548827333145	0.05975896449444115
A2ML1	169.6488105941241	0.007887307000959872	0.004800329726597928	1.64307609063966	0.10036719103100698	0.3237039812019131
A2MP1	50.46436848402746	0.017468641053875886	0.006288888066011427	2.777699470958297	0.005474522643104362	0.06956674670710387
A3GALT2	60.00844189988231	-0.009767203468145837	0.006184741653743739	-1.579241949780322	0.11428057124087226	0.3464978514187288
A4GALT	2.016550341490922	-0.001728437000488003	0.016328512364531887	-0.1058539174850026	0.9156982570862903	NA
A4GNT	2.4276640682922364	0.016711385238932976	0.015932647593399806	1.0488768511930036	0.2942348009542419	NA
AA06	0	NA	NA	NA	NA	NA
AAAS	115.04954845187765	-0.007712960077387114	0.003329072670480221	-2.3168494174909418	0.02051193599597	0.14014334656465247
AACS	336.8244853665425	-0.0016673420603452395	0.003937272398850167	-0.4234764302394131	0.6719476915542106	0.8428636728334581
AACSP1	21.007244050991893	-0.016616613000403374	0.01048825255049662	-1.5843071017217807	0.11312385048940221	0.34484588360416785
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.6086993493295978	0.004702394364515073	0.027927220906227727	0.16838031898356368	0.8662840902203677	NA
AADACL2-AS1	4.6844979745840725	0.0070237496406463295	0.01229602426792085	0.5712211921190348	0.5678497146257586	NA
AADACL3	0.4548483684328331	0.017063581119033645	0.03314832718660675	0.5147644713102753	0.6067176152687868	NA
AADACL4	5.211689505312231	-0.011543391525386833	0.009876463244596735	-1.1687778549372974	0.24249314479489353	NA
AADACP1	0	NA	NA	NA	NA	NA
AADAT	2.6324039068282294	0.021528988806766423	0.017653211809344736	1.2195508125818806	0.22263520235975212	NA
AAED1	21.417377589793563	-0.009603330470451444	0.006535971247092445	-1.4693042713006925	0.14175027881958918	0.3866435023118318
AAGAB	407.28033129861586	-0.007322353027063214	0.00335213511986407	-2.184384807065933	0.028933983675609558	0.16903264822629174
AAK1	7049.647647053123	-9.626448412233319e-4	0.0018908989573306536	-0.5090937500871434	0.6106865124219267	0.8075446954747953
AAMDC	666.6329536994367	0.003488563458184705	0.003691088772444413	0.945131280566415	0.34459185737993103	0.6082159975582564
AAMP	69.81919911878711	0.0025132823548377906	0.006231765258129553	0.40330183354694354	0.6867261930477293	0.8501244097425236
AANAT	5.242584053502105	-0.00841309472928102	0.0115379877826173	-0.7291648151990483	0.46590085093461775	NA
AAR2	160.53832373223415	-0.0016136803771142321	0.003407347275282459	-0.4735884683138037	0.6357934003377612	0.8222570965336978
AARD	0.35999701106129656	-0.010013014713365928	0.034521572998332785	-0.29005094043221913	0.7717772669749947	NA
AARS	417.01152822820677	-0.008064641565122764	0.004137370240353997	-1.949219213321539	0.051269251419643745	0.2289947967260259
AARS2	304.25276373413146	2.1412302264476666e-4	0.004740058428778968	0.04517307663229046	0.9639693540715	0.9841115201416908
AARSD1	0	NA	NA	NA	NA	NA
AASDH	609.2483139400098	0.004527710904399909	0.0032668803195438243	1.3859433041710394	0.1657642163674843	0.4172028114892029
AASDHPPT	515.5675820449941	0.003065154079885396	0.0036649069289913026	0.8363525020617707	0.4029566251217701	0.6577942008369771
AASS	4.816185027038568	-0.007350637085296911	0.01824915505861223	-0.40279328339796	0.6871003026479354	NA
AATBC	35.67546403159182	-0.0046845059182221175	0.007425758276031379	-0.6308454630610066	0.5281415738923031	0.7543700631227592
AATF	2029.6277846832118	-4.197599446915977e-4	0.0031168682909113003	-0.13467362285265816	0.8928699290798938	0.955859857249223
AATK	536.4759110518511	-0.009221337497757788	0.0031933673319973176	-2.88765323217302	0.0038812750448843263	0.05709946954301085
AATK-AS1	206.17767185505778	-0.005291702453373612	0.0036388138088479373	-1.4542383126354534	0.1458802463669743	0.39252522048422744
ABALON	0	NA	NA	NA	NA	NA
ABAT	1387.2514999061295	0.004567500925603175	0.002156925169733982	2.1175982318229862	0.034209108061541434	0.18311241135662842
ABCA1	81.7636781117655	-0.003669790862560068	0.009075231013679044	-0.4043743742752789	0.6859374413033914	0.8498863827813569
ABCA10	2278.7244226936273	0.01098251510545971	0.005166688784951772	2.125638985155601	0.033533330902503225	0.18143260058983202
ABCA11P	377.37999961206714	0.010199948525413262	0.0037310686562953338	2.7337874118727776	0.0062610453841387675	0.07489636968755374
ABCA12	7.716329243527156	9.106602789742139e-4	0.0103398522494884	0.0880728522034028	0.9298187733160272	0.9711710405865249
ABCA13	36.70549301297673	0.01936792017227418	0.010309441013166061	1.8786586147143813	0.0602911221251233	0.24855550264545367
ABCA17P	597.6232499175007	0.011647560417697518	0.002447559629569761	4.758846435028412	1.9470249059520157e-6	4.650184760936922e-4
ABCA2	324.98148554186054	-0.01135784991391653	0.00531193817376293	-2.1381743428445685	0.03250259593155296	0.1785287515660663
ABCA3	666.6979706792338	-0.010643763410906708	0.0038735706230535304	-2.7477912362202512	0.005999819749188204	0.07283725076296972
ABCA4	17.254788475992115	-0.0011794183667098012	0.006266704824545494	-0.18820391253952845	0.8507168055327302	0.935164949769863
ABCA5	5197.655125973635	0.008280903130816478	0.003082077823143738	2.6867923543766676	0.007214178469901256	0.08047460103646491
ABCA6	522.7573090759233	0.0035155335295271924	0.005356496263248124	0.656312140764084	0.5116233075292944	0.7416843526166346
ABCA7	64.33536217617858	-0.019552660575882206	0.006450275973139373	-3.031290545909132	0.002435108032215142	0.04275609459049841
ABCA8	27.78351300001648	-0.045927164857222855	0.009999646088855134	-4.592879032829959	4.3717249747063714e-6	8.284418827068574e-4
ABCA9	376.81281020920096	-0.004302991615228953	0.00615991612235291	-0.6985471116423797	0.4848351058843712	0.7237324255442265
ABCA9-AS1	0	NA	NA	NA	NA	NA
ABCB1	7.111975138817089	0.010041109017888518	0.008619426778401237	1.1649393023501013	0.24404356309130829	0.5139529566657756
ABCB10	748.7925310675006	-7.069512522352214e-4	0.0018094275044943234	-0.3907043805177436	0.6960157605514576	0.8555390745758351
ABCB11	3.2618329590825605	-0.008216800240426899	0.012236877679282445	-0.6714784976839551	0.5019157529568501	NA
ABCB4	35.397184357439684	0.007388265580397444	0.005089333136144066	1.4517158501428273	0.14658063027546586	0.3934321673766969
ABCB5	7.168087011314102	-0.007354904697738451	0.009275892186696609	-0.7929053669130374	0.427832960213556	0.6791952857312323
ABCB6	132.32560279050435	-5.814425954164886e-4	0.004619451278810316	-0.12586832511549556	0.899836156121469	0.9577312081906739
ABCB7	1625.6570130758303	0.006150224996981548	0.0030127268744801297	2.0414147226813646	0.041209622286947925	0.2032877208625028
ABCB8	221.24955472849445	-0.005995743514808735	0.00392580477426963	-1.5272648181860249	0.12669517414340614	0.36397047717034353
ABCB9	333.62706613624357	-0.008406358725007067	0.005127910898771224	-1.639334007738208	0.10114371715838867	0.3245915367460144
ABCC1	510.7823023269595	-0.006212182065213035	0.0036778544099082735	-1.6890777537243427	0.09120453043551978	0.3072087895610941
ABCC10	180.06607905690424	-0.014287216752507761	0.0038602310876651195	-3.7011299137403344	2.1464154081713552e-4	0.009897076862781807
ABCC11	10.776464477750645	0.01676831104336356	0.007292065368798839	2.2995283496924634	0.021474955453092553	0.14358835317797125
ABCC12	15.765719236456901	-0.018047087959269674	0.007818338522082897	-2.308302193400257	0.020982334537418636	0.14200544267288684
ABCC13	1.164166677851265	0.028658747812822842	0.024208323079501628	1.183838621068702	0.23647695080805886	NA
ABCC2	44.87001008266015	0.012544228545118991	0.004543490440535493	2.7609232833866235	0.005763821382003373	0.07144063221817266
ABCC3	9.796074057040112	-0.0027858865327800523	0.008829782739425049	-0.31551020166567034	0.7523743065216696	0.8870367487890912
ABCC4	14.3254072195734	-0.0021225449910672557	0.006943109592321971	-0.30570524097941204	0.7598290825149009	0.8895063615524764
