Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	84.77671268283227	-0.24463817921822772	0.29676151022599856	-0.8243595304253697	0.40973530253313245	0.955603805211003
A1BG-AS1	9.527028326267203	-0.5589948846473336	0.5483300316664572	-1.0194496970163467	0.30798952283512826	0.9522708211309064
A1CF	18.34561240427248	-0.7066715250422837	0.4506770725998919	-1.568021911932631	0.11687601871176638	0.9467298505731151
A2M	968.8508874251628	-0.3108467952157206	0.31999534351598646	-0.9714103705393176	0.3313439663408331	0.9538220810301289
A2M-AS1	75.67454856566953	-0.1652084245032964	0.2245283380842029	-0.7358021081567875	0.46185113807767136	0.962661360143068
A2ML1	169.6488105941241	-0.17915801843069315	0.23189838630128445	-0.7725712165928117	0.43977618449874545	0.9591307785665192
A2MP1	50.46436848402746	-0.0635048025031835	0.33541447745179903	-0.1893323239522644	0.8498323626036741	0.9858449504887699
A3GALT2	60.00844189988231	0.06972733388061621	0.29728780884306216	0.23454488144660238	0.8145619943518535	0.9827623024733937
A4GALT	2.016550341490922	0.46778613539010055	0.7213277919629829	0.6485070180328036	0.516657073159866	0.9646532374181201
A4GNT	2.4276640682922364	1.0171166380618966	0.6884884495430436	1.4773183758376291	0.1395903144879721	0.9467298505731151
AA06	0	NA	NA	NA	NA	NA
AAAS	115.04954845187765	-0.012917521544342581	0.17331981281347805	-0.07452997631750305	0.9405886898366349	0.9959452445422734
AACS	336.8244853665425	-0.022200690022274726	0.18102052281815673	-0.1226418401441494	0.9023907208743356	0.9912046100638806
AACSP1	21.007244050991893	-1.2087970503554757	0.4536908760889491	-2.664362706113762	0.007713434537402004	0.6611084131991553
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.6086993493295978	0.12064784234987638	1.2520648473048812	0.09635910041686388	0.923235374057375	0.994008806866968
AADACL2-AS1	4.6844979745840725	-0.29001558951538314	0.5529368500782859	-0.5245003827730458	0.5999305536506866	0.9689222587516766
AADACL3	0.4548483684328331	-1.624184450586288	1.4615474483043467	-1.1112772647036735	0.26644902240487073	NA
AADACL4	5.211689505312231	-0.10992026994177773	0.44964533950763774	-0.24445993382727055	0.8068746289102824	0.9827623024733937
AADACP1	0	NA	NA	NA	NA	NA
AADAT	2.6324039068282294	0.22929055301393197	0.8162488825838341	0.2809076470501414	0.7787812352241772	0.9827623024733937
AAED1	21.417377589793563	-0.013593053630810377	0.310259069642582	-0.04381194608257401	0.9650543046319043	0.996702312508541
AAGAB	407.28033129861586	0.25513165057147186	0.16025998893964455	1.5919859489542139	0.11138786174917142	0.9467298505731151
AAK1	7049.647647053123	0.0738403639905963	0.08387088983076574	0.8804051577322123	0.37863986341718103	0.955603805211003
AAMDC	666.6329536994367	-0.1029353700000466	0.17167619398447598	-0.5995902379415206	0.5487793546637241	0.9658367639468386
AAMP	69.81919911878711	-0.5373424713090804	0.25954944352893344	-2.070289436968798	0.038425248170131605	0.8500321469140272
AANAT	5.242584053502105	-0.5181501235697666	0.5221619442344397	-0.9923169033879806	0.32104296015516287	0.9538220810301289
AAR2	160.53832373223415	-0.09011175765065983	0.15463303885686225	-0.5827458240284132	0.560064420222677	0.9665930091869815
AARD	0.35999701106129656	-0.5659378870667269	1.5409604818224407	-0.3672630763362677	0.7134227933685671	NA
AARS	417.01152822820677	-0.04943925807689752	0.20904693782325787	-0.2364983605676958	0.813045979282013	0.9827623024733937
AARS2	304.25276373413146	-0.25098956909689757	0.20952459056721243	-1.19790029617733	0.230955834453145	0.9467298505731151
AARSD1	0	NA	NA	NA	NA	NA
AASDH	609.2483139400098	0.2681078886407754	0.14184801668819833	1.890106713512349	0.058743689422095006	0.9018803345621175
AASDHPPT	515.5675820449941	0.1056231811734122	0.16865474977637357	0.626268642380143	0.53113875050885	0.9646532374181201
AASS	4.816185027038568	-2.2817505532191724	0.7768730574719006	-2.937095747205396	0.0033130179809298787	0.563537597343431
AATBC	35.67546403159182	-0.17360682581308579	0.3408937573004243	-0.5092695952777123	0.610563266753533	0.9689222587516766
AATF	2029.6277846832118	0.12194559623801514	0.13911815635198577	0.876561330567651	0.3807249505181145	0.955603805211003
AATK	536.4759110518511	-0.014519243821281296	0.17897826932232908	-0.0811229423340384	0.9353441804724183	0.9943433786828298
AATK-AS1	206.17767185505778	-0.12341899779929721	0.173992244547723	-0.7093362012778999	0.4781158684079127	0.962661360143068
ABALON	0	NA	NA	NA	NA	NA
ABAT	1387.2514999061295	0.031119134561163858	0.11188750442782519	0.27812877515055984	0.7809135074619182	0.9827623024733937
ABCA1	81.7636781117655	0.17455859616832414	0.41722640208371664	0.4183785956414592	0.6756703335560026	0.9742878564398711
ABCA10	2278.7244226936273	0.04567910238650091	0.2608188740869057	0.1751372577863383	0.8609717831994991	0.9871685377363232
ABCA11P	377.37999961206714	-0.030351974140070407	0.20247824971993925	-0.14990239288443172	0.8808416238024174	0.9888400301832035
ABCA12	7.716329243527156	0.33416084285071573	0.46146553019701925	0.7241295849509025	0.46898618311245804	0.962661360143068
ABCA13	36.70549301297673	-0.4449238749028594	0.4893019367926405	-0.9093033185589291	0.3631900393751298	0.9540892996399565
ABCA17P	597.6232499175007	-0.09174796496432164	0.17225353157612394	-0.5326332884140346	0.594287454165844	0.9689222587516766
ABCA2	324.98148554186054	-0.3128579393474465	0.263541605627711	-1.1871292147677115	0.23517665631160323	0.9467298505731151
ABCA3	666.6979706792338	0.003575349245960527	0.21254997799947292	0.016821216730351262	0.9865792437878671	0.9978162553378598
ABCA4	17.254788475992115	-0.33650586008366756	0.27345859265416744	-1.2305550789886261	0.2184893149110168	0.9467298505731151
ABCA5	5197.655125973635	0.09140170869288645	0.16627332236615536	0.5497075982616626	0.5825199444601228	0.9677657209990699
ABCA6	522.7573090759233	0.141173723674383	0.24645767256479173	0.5728112345022229	0.5667725115101143	0.9667062789231315
ABCA7	64.33536217617858	0.053018969940638955	0.3574574297002937	0.14832247293081063	0.8820882806797596	0.9889786239067676
ABCA8	27.78351300001648	0.5963742288226852	0.6871962786743173	0.8678368136293774	0.3854836736332266	0.955603805211003
ABCA9	376.81281020920096	0.11458321429873979	0.2853316567246752	0.40157904529080857	0.6879938540190902	0.9746406074116107
ABCA9-AS1	0	NA	NA	NA	NA	NA
ABCB1	7.111975138817089	-0.4792450817716904	0.3863409708899415	-1.240471805689526	0.21480093627023156	0.9467298505731151
ABCB10	748.7925310675006	0.09686251608209587	0.07697235092089486	1.258406621640572	0.20824473840120472	0.9467298505731151
ABCB11	3.2618329590825605	-0.1432029094219023	0.5485132031676236	-0.26107468078236945	0.7940349165499055	0.9827623024733937
ABCB4	35.397184357439684	0.0686919676393119	0.2428585164177935	0.2828476787741715	0.7772936036316285	0.9827623024733937
ABCB5	7.168087011314102	-0.1014154723783394	0.4222135320245642	-0.24019948364051744	0.8101756139602845	0.9827623024733937
ABCB6	132.32560279050435	-0.2940632672376758	0.19980441176406522	-1.4717556266220695	0.14108688015336254	0.9467298505731151
ABCB7	1625.6570130758303	0.07352299198235447	0.15293589957220807	0.4807438422764884	0.6306985672432099	0.9698129126477418
ABCB8	221.24955472849445	-0.06084186144000936	0.1906685741938595	-0.31909747947319983	0.7496525949260128	0.9817392327404337
ABCB9	333.62706613624357	-0.20242135841113648	0.2471874734526223	-0.8188981245036028	0.4128445400662088	0.9570238671928154
ABCC1	510.7823023269595	0.04760140722061725	0.18141312913372643	0.26239229458154856	0.7930190126647285	0.9827623024733937
