Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	84.77671268283227	-0.004572632166857722	0.028940469605272634	-0.158001311976798	0.8744557648945837	0.995563729223715
A1BG-AS1	9.527028326267203	-0.03433374102956554	0.053165389711364586	-0.6457912039385726	0.5184145852815611	0.9906618484954339
A1CF	18.34561240427248	-0.10921734786387782	0.04034675010571211	-2.706967663509912	0.006790087085745262	0.5233943456045962
A2M	968.8508874251628	-0.03089800296754533	0.03074981011890855	-1.0048193093896751	0.314983864221637	0.9600657778433952
A2M-AS1	75.67454856566953	-0.01182750752439349	0.021587265863679705	-0.5478927993513583	0.5837655133817597	0.9906618484954339
A2ML1	169.6488105941241	-0.005570898661134844	0.02258686680081494	-0.24664326886338414	0.8051843150850071	0.9941344593015149
A2MP1	50.46436848402746	-0.022752218994980998	0.03177301023657059	-0.71608635208235	0.4739380304520593	0.9867112752991986
A3GALT2	60.00844189988231	0.07223211761799332	0.024962297425027792	2.8936486248886566	0.003807940275400072	0.45588971905172776
A4GALT	2.016550341490922	0.033142015893918145	0.06822804483346297	0.4857535632863891	0.6271419018508073	NA
A4GNT	2.4276640682922364	0.042283078018421565	0.06662899336143369	0.6346047851729354	0.5256862064902188	NA
AA06	0	NA	NA	NA	NA	NA
AAAS	115.04954845187765	-0.005616062301103662	0.016532150392052747	-0.3397054931101635	0.7340783246059416	0.9913202809067254
AACS	336.8244853665425	-0.0036142571409100775	0.01738347223065421	-0.20791341873211358	0.8352965714876031	0.9943304753091493
AACSP1	21.007244050991893	-0.07021996678397954	0.046936105412211146	-1.496075700514145	0.13463392934541343	0.8966373662837189
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.6086993493295978	-0.11519096771034493	0.11482798870077329	-1.0031610673815554	0.31578315418519337	NA
AADACL2-AS1	4.6844979745840725	-0.07351182151085574	0.050771709415216186	-1.4478894320785738	0.14764797564724658	NA
AADACL3	0.4548483684328331	-0.12518954291413256	0.1383487461261615	-0.9048838274253029	0.36552693569372363	NA
AADACL4	5.211689505312231	-0.011415389267648922	0.04220974879551765	-0.2704443782158009	0.7868184027093533	NA
AADACP1	0	NA	NA	NA	NA	NA
AADAT	2.6324039068282294	0.015127553525643676	0.07788027319984041	0.19424114610931636	0.8459870664199125	NA
AAED1	21.417377589793563	-0.002846201335831994	0.029557926341082993	-0.09629232115231363	0.9232884095810645	0.995563729223715
AAGAB	407.28033129861586	0.028145867452717136	0.015137212936679497	1.8593824087997022	0.0629729534501811	0.8117381112735368
AAK1	7049.647647053123	0.010599848109062804	0.007758161455095764	1.3662835158065119	0.17184999288812663	0.9189397625117008
AAMDC	666.6329536994367	-0.00834984674979614	0.016563489690800598	-0.5041115674092317	0.6141829787410165	0.9906618484954339
AAMP	69.81919911878711	-0.057696145342252106	0.023661704461289207	-2.438376552147526	0.01475339683338168	0.6362302699282111
AANAT	5.242584053502105	0.05106965972330199	0.04866984300683154	1.049308084189497	0.29403634648804067	NA
AAR2	160.53832373223415	0.00872436472371859	0.014750622536121489	0.5914573911951356	0.5542139962749781	0.9906618484954339
AARD	0.35999701106129656	-0.08729964591427543	0.1455082352419531	-0.5999636087202375	0.5485304887044176	NA
AARS	417.01152822820677	1.158581752334636e-4	0.02014369901714118	0.005751583913901547	0.9954109252965971	0.9991428061292479
AARS2	304.25276373413146	-0.011841547450698254	0.02074788059288908	-0.5707352805354349	0.568179099615475	0.9906618484954339
AARSD1	0	NA	NA	NA	NA	NA
AASDH	609.2483139400098	0.005200880547364564	0.015055263704251535	0.3454526370000321	0.7297541112478085	0.9913202809067254
AASDHPPT	515.5675820449941	-5.8167770882488114e-5	0.016407728337182417	-0.0035451446834764483	0.9971713897162626	0.9994890818715174
AASS	4.816185027038568	-0.14538757080062334	0.07610963460754509	-1.9102387174804596	0.05610248417819776	NA
AATBC	35.67546403159182	-0.01056642753809896	0.03280659267503173	-0.3220824436955564	0.747390238099502	0.9913202809067254
AATF	2029.6277846832118	0.01848366365609814	0.012904714742717293	1.4323186544304898	0.15205264677570243	0.9083309741494228
AATK	536.4759110518511	0.0018998319361136424	0.017211313141633714	0.11038274189073922	0.9121058394617068	0.995563729223715
AATK-AS1	206.17767185505778	-0.002537778872951106	0.016932760272733414	-0.1498739031366112	0.8808641014127137	0.995563729223715
ABALON	0	NA	NA	NA	NA	NA
ABAT	1387.2514999061295	-0.005665713275615787	0.010673472544139518	-0.5308219281199781	0.5955421830633054	0.9906618484954339
ABCA1	81.7636781117655	0.04869452554186169	0.03897213276003811	1.2494703803275784	0.21149308047698967	0.9369842855475468
ABCA10	2278.7244226936273	-0.013303703188704686	0.024980230970710265	-0.5325692626422669	0.5943317841935638	0.9906618484954339
ABCA11P	377.37999961206714	-0.008726328048259296	0.0193785615277826	-0.45030834903553385	0.6524881197216966	0.9906618484954339
