ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0050808	synapse organization	10/67	304/17653	2.0612469931053313e-7	2.842459603492252e-4	2.2500138230002406e-4	ADGRL3/ASIC2/CACNB4/CLSTN3/DLG4/DNER/EPHB1/FRMPD4/SHANK1/SHANK2	10
BP	GO:0007612	learning	7/67	136/17653	8.162091456634783e-7	5.627762059349683e-4	4.454783600279089e-4	ASIC1/DBH/DLG4/SHANK1/SHANK2/SLC12A5/SLC8A3	7
BP	GO:0007416	synapse assembly	7/67	153/17653	1.801157206033142e-6	8.27931929039901e-4	6.553684290022345e-4	ADGRL3/ASIC2/CLSTN3/DNER/EPHB1/SHANK1/SHANK2	7
BP	GO:0007611	learning or memory	8/67	240/17653	3.3939519103383607e-6	0.0011700649210891498	9.261916134265473e-4	ASIC1/DBH/DLG4/PRKCG/SHANK1/SHANK2/SLC12A5/SLC8A3	8
BP	GO:0042391	regulation of membrane potential	10/67	438/17653	5.590338413356367e-6	0.0015064095173003818	0.0011924328609140842	ASIC1/ASIC2/CACNA1D/CACNB4/DLG4/HCN4/SCN2B/SHANK1/SHANK2/SLC8A3	10
BP	GO:0034765	regulation of ion transmembrane transport	10/67	446/17653	6.554356130385997e-6	0.0015064095173003818	0.0011924328609140842	ASIC2/CACNA1D/CACNB4/DLG4/HCN4/NOS1/SCN2B/SHANK1/SHANK2/UBASH3B	10
BP	GO:0050890	cognition	8/67	277/17653	9.722939188349002e-6	0.0017559562977220427	0.0013899673147878006	ASIC1/DBH/DLG4/PRKCG/SHANK1/SHANK2/SLC12A5/SLC8A3	8
BP	GO:0035418	protein localization to synapse	4/67	36/17653	1.0186838565465077e-5	0.0017559562977220427	0.0013899673147878006	ASIC2/CLSTN3/DLG4/SHANK1	4
BP	GO:1903522	regulation of blood circulation	8/67	290/17653	1.3561052888902999e-5	0.0019476635146127358	0.001541717541050652	ASIC2/CACNA1D/CACNB4/DBH/HCN4/NOS1/SCN2B/SLC8A3	8
BP	GO:0051962	positive regulation of nervous system development	10/67	493/17653	1.5673882671041486e-5	0.0019476635146127358	0.001541717541050652	ADGRL3/ASIC2/CLSTN3/DLG4/EPHB1/PCP4/PLXNA4/SHANK1/SHANK2/TRIM67	10
BP	GO:0061337	cardiac conduction	6/67	143/17653	1.690680586580458e-5	0.0019476635146127358	0.001541717541050652	CACNA1D/CACNB4/HCN4/NOS1/SCN2B/SLC8A3	6
BP	GO:1904062	regulation of cation transmembrane transport	8/67	302/17653	1.8167771252472657e-5	0.0019476635146127358	0.001541717541050652	CACNA1D/CACNB4/DLG4/NOS1/SCN2B/SHANK1/SHANK2/UBASH3B	8
BP	GO:0050806	positive regulation of synaptic transmission	6/67	146/17653	1.90224003949694e-5	0.0019476635146127358	0.001541717541050652	CA7/CLSTN3/DLG4/SHANK1/SHANK2/SLC8A3	6
BP	GO:0035725	sodium ion transmembrane transport	6/67	147/17653	1.9773233650890718e-5	0.0019476635146127358	0.001541717541050652	ASIC1/ASIC2/HCN4/NOS1/SCN2B/SLC8A3	6
BP	GO:0060996	dendritic spine development	5/67	90/17653	2.31790318587182e-5	0.002130925662211493	0.0016867828798239138	DLG4/EPHB1/SHANK1/SHANK2/SLC12A5	5
BP	GO:0032412	regulation of ion transmembrane transporter activity	7/67	234/17653	2.9076375264737898e-5	0.0025060200931295976	0.001983697444048237	CACNA1D/CACNB4/DLG4/NOS1/SCN2B/SHANK1/SHANK2	7
BP	GO:0022898	regulation of transmembrane transporter activity	7/67	240/17653	3.417731835157827e-5	0.0027723836474603785	0.0021945435994171307	CACNA1D/CACNB4/DLG4/NOS1/SCN2B/SHANK1/SHANK2	7
BP	GO:0060997	dendritic spine morphogenesis	4/67	51/17653	4.14073697969693e-5	0.003172264608334482	0.002511078507570595	DLG4/EPHB1/SHANK1/SHANK2	4
BP	GO:0071625	vocalization behavior	3/67	19/17653	4.848088352137897e-5	0.0034629391291862892	0.0027411685637694604	DLG4/SHANK1/SHANK2	3
BP	GO:0032409	regulation of transporter activity	7/67	255/17653	5.0223917754696e-5	0.0034629391291862892	0.0027411685637694604	CACNA1D/CACNB4/DLG4/NOS1/SCN2B/SHANK1/SHANK2	7
BP	GO:0086012	membrane depolarization during cardiac muscle cell action potential	3/67	23/17653	8.764879620559467e-5	0.005755604284167384	0.004555980033343442	CACNA1D/HCN4/SCN2B	3
BP	GO:0035637	multicellular organismal signaling	6/67	199/17653	1.0722627791174586e-4	0.0067211380563771605	0.005320270344233514	CACNA1D/CACNB4/HCN4/NOS1/SCN2B/SLC8A3	6
BP	GO:2000463	positive regulation of excitatory postsynaptic potential	3/67	25/17653	1.1321306357111274e-4	0.006787861507154978	0.005373086815709104	DLG4/SHANK1/SHANK2	3
BP	GO:0051965	positive regulation of synapse assembly	4/67	67/17653	1.2134492499536859e-4	0.006972277148692221	0.005519065228956018	ADGRL3/ASIC2/CLSTN3/EPHB1	4
BP	GO:0097061	dendritic spine organization	4/67	70/17653	1.439237340333518e-4	0.007938833169279685	0.006284164723898349	DLG4/EPHB1/SHANK1/SHANK2	4
BP	GO:0106027	neuron projection organization	4/67	73/17653	1.6939719722318012e-4	0.008984566729644823	0.007111939008924607	DLG4/EPHB1/SHANK1/SHANK2	4
