ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0050919	negative chemotaxis	3/16	36/17653	4.282876285047696e-6	0.002068629245678037	0.0011901887781606232	PLXNA4/ROBO2/SEMA5B	3
BP	GO:0030900	forebrain development	5/16	366/17653	1.3488935842699447e-5	0.0032575780060119163	0.0018742521381435024	CRTAC1/ETS1/PLXNA4/ROBO2/WNT7B	5
BP	GO:0099590	neurotransmitter receptor internalization	2/16	12/17653	5.056452740333548e-5	0.007988042338054143	0.004595931518462011	CACNG4/CACNG8	2
BP	GO:0001656	metanephros development	3/16	89/17653	6.615355973543804e-5	0.007988042338054143	0.004595931518462011	FRAS1/ROBO2/WNT7B	3
CC	GO:0032281	AMPA glutamate receptor complex	2/17	27/18698	2.694647381091892e-4	0.005148890776143352	0.0024389482623836936	CACNG4/CACNG8	2
CC	GO:0005578	proteinaceous extracellular matrix	4/17	375/18698	3.080929590027757e-4	0.005148890776143352	0.0024389482623836936	ADAMTS7/CRTAC1/FRAS1/WNT7B	4
CC	GO:0098839	postsynaptic density membrane	2/17	32/18698	3.79765558051865e-4	0.005148890776143352	0.0024389482623836936	CACNG4/CACNG8	2
CC	GO:0030666	endocytic vesicle membrane	3/17	161/18698	3.8991609863505306e-4	0.005148890776143352	0.0024389482623836936	CACNG4/CACNG8/WNT7B	3
CC	GO:0099634	postsynaptic specialization membrane	2/17	34/18698	4.2907423134527935e-4	0.005148890776143352	0.0024389482623836936	CACNG4/CACNG8	2
CC	GO:0005891	voltage-gated calcium channel complex	2/17	43/18698	6.873345383472557e-4	0.006442326785547072	0.0030516284773644026	CACNG4/CACNG8	2
CC	GO:0031012	extracellular matrix	4/17	479/18698	7.763614083565067e-4	0.006442326785547072	0.0030516284773644026	ADAMTS7/CRTAC1/FRAS1/WNT7B	4
CC	GO:0008328	ionotropic glutamate receptor complex	2/17	49/18698	8.922678734643206e-4	0.006442326785547072	0.0030516284773644026	CACNG4/CACNG8	2
CC	GO:0098878	neurotransmitter receptor complex	2/17	51/18698	9.663490178320607e-4	0.006442326785547072	0.0030516284773644026	CACNG4/CACNG8	2
CC	GO:0034704	calcium channel complex	2/17	65/18698	0.0015647289275617176	0.009388373565370305	0.0044471243204385665	CACNG4/CACNG8	2
