ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0042391	regulation of membrane potential	15/146	438/17653	3.5733925335059026e-6	0.0041234318452426115	0.0038507407984806397	BAD/GRIN2C/HCN2/KCNA2/KCND3/KCNIP2/KCNK1/KCNK10/KCNK3/KCNQ3/NEDD4/PTK2B/PTPN3/RIMS3/SLC17A7	15
BP	GO:0006813	potassium ion transport	11/146	242/17653	5.509988511327933e-6	0.0041234318452426115	0.0038507407984806397	HCN2/HPN/KCNA2/KCND3/KCNIP2/KCNK1/KCNK10/KCNK3/KCNQ3/NEDD4/PTK2B	11
BP	GO:0001505	regulation of neurotransmitter levels	12/146	308/17653	9.841412840296982e-6	0.0041234318452426115	0.0038507407984806397	ACHE/CPLX2/GRM4/NRXN2/PIP5K1C/PTK2B/RIMS3/SLC17A7/SYT12/SYT3/SYT7/ZNF219	12
BP	GO:0071804	cellular potassium ion transport	10/146	210/17653	9.94077108303426e-6	0.0041234318452426115	0.0038507407984806397	HCN2/HPN/KCNA2/KCND3/KCNIP2/KCNK1/KCNK10/KCNK3/KCNQ3/NEDD4	10
BP	GO:0071805	potassium ion transmembrane transport	10/146	210/17653	9.94077108303426e-6	0.0041234318452426115	0.0038507407984806397	HCN2/HPN/KCNA2/KCND3/KCNIP2/KCNK1/KCNK10/KCNK3/KCNQ3/NEDD4	10
BP	GO:0007269	neurotransmitter secretion	8/146	145/17653	2.769522787000814e-5	0.008205700371770984	0.007663040493355635	CPLX2/GRM4/NRXN2/PIP5K1C/RIMS3/SYT12/SYT3/SYT7	8
BP	GO:0099643	signal release from synapse	8/146	145/17653	2.769522787000814e-5	0.008205700371770984	0.007663040493355635	CPLX2/GRM4/NRXN2/PIP5K1C/RIMS3/SYT12/SYT3/SYT7	8
CC	GO:0098793	presynapse	17/154	379/18698	1.592517665044735e-8	4.2042466357181e-6	3.4532488315706885e-6	APBA2/CDK16/CPLX2/GABBR1/GRM4/HIP1/KCNA2/NRXN2/PIP5K1C/RAB37/RIMS3/SLC17A7/SYT12/SYT3/SYT7/TMEM163/ZNRF1	17
CC	GO:0042734	presynaptic membrane	6/154	79/18698	4.794727059737124e-5	0.0033047622827140286	0.0027144379196135963	GABBR1/GRM4/HIP1/KCNA2/RIMS3/SYT7	6
CC	GO:0097060	synaptic membrane	11/154	317/18698	6.53416048089137e-5	0.0033047622827140286	0.0027144379196135963	ATP2B2/CLSTN3/GABBR1/GABBR2/GRIN2C/GRM4/HIP1/KCNA2/RIMS3/SRCIN1/SYT7	11
