Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NR4A1	32.65828268838458	3.8144601772246074	0.49118002136018	7.765910687209082	8.106065898437137e-15	1.605649533162428e-10
HSPA1A	102.30321072397633	3.233834240744827	0.45411428989373875	7.1211902217424905	1.069989953119666e-12	1.0597180495697172e-8
FOS	31.15635172733693	4.452694101493365	0.6484257751594984	6.866929526973386	6.559845470990464e-12	4.331247302979304e-8
AQP9	30.630513824811995	2.5186001015888397	0.4588644050915855	5.488767648225292	4.0474761918556426e-8	2.0043102102069142e-4
PPP1R15A	24.133188561427048	2.4244748753508283	0.4463775559950587	5.4314443967645785	5.589973416097749e-8	2.2145238685212842e-4
FOSB	5.900594281542428	4.693284240364165	0.9459077513121619	4.961672249596907	6.988885326649105e-7	0.0023072640091710912
FAM157C	25.440693991783494	3.0193951915616712	0.6176433570246004	4.888573894985501	1.0156907235552337e-6	0.0028741145503117242
VGF	23.33925000235556	3.1286484655993627	0.6544857035976979	4.780315976959054	1.7501989819494411e-6	0.004333492679306816
EGR1	32.42146655805208	3.6813822916748	0.7918610085639745	4.64902584148059	3.3350643130699205e-6	0.00705053162828372
HSPB1	21.34965983115181	2.670551539684206	0.576099089675088	4.635576739394537	3.559436403616579e-6	0.00705053162828372
RNF122	96.81228675676446	1.5516390538776554	0.33723148958226934	4.601109628877422	4.202461583894905e-6	0.0075674871867082065
DNAJB1	113.10073048225948	1.1361483467500553	0.27817781888589277	4.084252120820956	4.421900039817223e-5	0.06737615076053811
NDST3	761.5871092026043	-0.7902198714088957	0.1928997695084728	-4.096530925995672	4.193874840432477e-5	0.06737615076053811
JUNB	11.238311674598547	2.3629458396686287	0.5913054899967358	3.9961506863088196	6.438076296570394e-5	0.09108958234461884
DUSP5	31.665651109255823	1.6451202629622208	0.41622182957956394	3.95250836464776	7.733622488030427e-5	0.0987875558571741
MIR3671	46.62302878408031	-1.5647334295331121	0.3976999553814021	-3.934457141269985	8.338494574452034e-5	0.0987875558571741
MIR670HG	3.6435052941032313	6.0298862707783165	1.5341424651359796	3.9304604414583193	8.478334256724351e-5	0.0987875558571741
CHRD	10.811532236287421	3.1740205354176316	0.8153692209731006	3.8927401890760653	9.911828601619305e-5	0.1090741671893751
HSPA1B	104.06300570295116	1.793879562820138	0.47003680838949735	3.816466137974528	1.3537664416588154e-4	0.14113371408619904
NPAS4	40.53790313929329	4.884220702871097	1.3032540354714726	3.7477119348448085	1.784550348288567e-4	0.16733203210702516
TDRD5	157.24159654651166	-3.3407872595695904	0.8945522191868841	-3.7345916626379245	1.8802000304669387e-4	0.16733203210702516
YWHAH	697.7541477880145	0.8616996021645419	0.22976357398218564	3.7503751670895946	1.7657019183351272e-4	0.16733203210702516
ZBTB21	290.9055440671776	1.1706740567493135	0.3141637378397056	3.7263182084579776	1.9429708897726063e-4	0.16733203210702516
CNTNAP3B	388.28508570110455	-1.3931541610538014	0.3777205775560396	-3.68831947167906	2.2574010532229712e-4	0.18631083359266923
PLAGL1	1646.6983303875227	0.6862834481093112	0.18689667535482377	3.671993880075183	2.406654470210632e-4	0.1906840469837288
BCAS2	126.98720069048116	0.9381700840668107	0.257734720690787	3.6400609182662853	2.7257354599325746e-4	0.2076591076551709
TPI1	172.27143957652748	1.006607101842958	0.28415098936522803	3.542507819844804	3.963416715734519e-4	0.2907679937232198
ITIH5	31.23588178758016	-2.4439182029805044	0.7047629744681434	-3.467716511107628	5.249007081845852e-4	0.37132975813286656
ANXA5	95.17178735610138	-2.906594056616042	0.8422059637293966	-3.4511677449364866	5.581665367899483e-4	0.381246991749493
NR4A3	134.5777035382187	1.2166547416820468	0.3535585412174812	3.4411691413039778	5.792063436324581e-4	0.38243064182239095
ABHD3	199.5630277309978	0.8591542187646155	0.2579717852867761	3.3304193239951836	8.671528800125669e-4	0.5008826394414899
HERC2P3	214.6794677044582	-1.185409362170619	0.3564913571093586	-3.3252120662408613	8.835130550882512e-4	0.5008826394414899
LOC100128317	5.977221609316065	-5.22985040086173	1.572124024945274	-3.326614387846266	8.790793104996189e-4	0.5008826394414899
LOC101929524	464.78993692652756	-0.8851276417330445	0.2674744480782764	-3.309204479502325	9.356147849018137e-4	0.5008826394414899
MLF1	271.46587036962643	0.7121924923071293	0.21214014855494	3.3571791910133686	7.87420626021856e-4	0.5008826394414899
UBB	87.17540522799474	0.987108443145561	0.29790754418107274	3.313472459581559	9.214518132933211e-4	0.5008826394414899
ZNF826P	38.58801076599538	-3.8403874543824355	1.1573788542391295	-3.318176619795891	9.060717170451194e-4	0.5008826394414899
DUSP1	54.965982844211	1.1565384191945065	0.3520612065320915	3.2850492974978893	0.0010196452959354539	0.5315035268918282
PCBP1	95.50301595833798	1.0550485482460756	0.3232032156304308	3.264350406254865	0.0010971538323317346	0.5572416182263333
EGFEM1P	5326.123698304273	0.7253265043275811	0.22470825043307927	3.22785880326896	0.0012472051914783398	0.5882057245905465
FAM110B	2996.073298070066	0.4656863703031439	0.1441208190199554	3.2312220640285396	0.0012326213578128448	0.5882057245905465
IER3	3.534097834927208	2.859230607631735	0.8856676413924398	3.2283336028134375	0.0012451367428091514	0.5882057245905465
