Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BCAS2	372.24942405283605	3.586964872616607	0.24464629231144225	14.661840319453075	1.1316369218251549e-48	2.2037497415623067e-44
HSPH1	2050.2235886595345	4.197133197018244	0.31280965104877356	13.41753102228877	4.77353170983914e-41	4.647987825870371e-37
UAP1	400.3902736225711	2.781012758746482	0.21068868704351026	13.19963021162196	8.816679041466544e-40	5.7232002551173153e-36
NR4A1	401.17946763244214	5.257368810935673	0.39933070243316066	13.165451038204715	1.3870681411545783e-39	6.752941245211065e-36
HSP90AA1	8051.585434784525	2.662133178573877	0.20729293685596656	12.842372822493262	9.491989308235513e-38	3.6969399957715677e-34
HSPD1	699.3340459810712	2.39131288770563	0.1993897835916325	11.993156543081692	3.859135133879097e-33	1.252546626619359e-29
HSPE1-MOB4	451.894684068743	4.139018350496893	0.36503791230505417	11.338598570106894	8.44865683513544e-30	2.3504163315346793e-26
PPP1R15A	127.2696085914468	5.065641027825024	0.46385708565391653	10.920693430140886	9.179229367362647e-28	2.2344539087502523e-24
IDI1	669.4457903784547	2.1212823468763786	0.19917722229489596	10.650225575169786	1.7394304440253695e-26	3.7637409407722274e-23
CYCS	257.5754488549788	2.6973884646023163	0.25713010991129004	10.490364063286544	9.565908843266231e-26	1.862865088137666e-22
EGR1	253.29044727666982	5.0756632021125885	0.4977001735482313	10.198234744277649	2.01908840490729e-24	3.574520690651324e-21
HIST2H2BF	263.9900965763983	2.9738309995242287	0.2922333969475733	10.176218839415313	2.5320987309054953e-24	4.109174223804468e-21
JUN	251.50131651507598	2.788934648953042	0.27688543502491914	10.072522047618877	7.307965119449037e-24	1.0947331748934657e-20
MXD1	2034.515189075027	2.47063163334967	0.24790071202210537	9.966214349272878	2.142395267847916e-23	2.980071817576451e-20
SERPINH1	246.9583720339741	4.98702944841711	0.5064879389900558	9.846294579810365	7.111767614444194e-23	9.232970834912415e-20
RGS2	89.71535952920607	4.305607504866495	0.4425648101963374	9.728761541064177	2.273439033038065e-22	2.767059483086455e-19
KIFC1	32.38377250020372	3.748446342371114	0.38655794712894515	9.696984294881759	3.105416210316768e-22	3.5573456046887493e-19
ELOVL5	6044.685643632951	2.8080597969081817	0.2979057509730802	9.426000631864028	4.260238513817698e-21	4.60910471211588e-18
SELK	130.26146779402012	3.2043947797752317	0.34270086793165505	9.350413376876201	8.730583114920229e-21	8.948388188418767e-18
HIST1H2BD	222.15599590209084	2.8984045689022664	0.32182862994695866	9.00604949093547	2.1361279448888908e-19	2.079947779938313e-16
DNAJB1	485.31223679740356	3.404631659276009	0.3844619795643587	8.85557438770373	8.325397544121239e-19	7.720418655915096e-16
SYAP1	516.8464445884155	1.8740710282201372	0.2140365549857821	8.755845600040734	2.02578881789131e-18	1.7931914290734257e-15
DNAJB4	1337.0442474120555	1.6465477030950162	0.19617281888321672	8.393352924572183	4.724705993230206e-17	4.000388022268045e-14
HSPB1	315.02250505345984	4.552487073619414	0.5434317902492124	8.37729252374376	5.4159121452981257e-17	4.3945613798973205e-14
ZFAND2A	189.45274098707802	3.2812693748891664	0.39258176953284246	8.358180714284705	6.369282818018627e-17	4.96141654392379e-14
CKS2	35.29742536875051	3.798388066094702	0.4557563165211076	8.334252161524976	7.798955323771755e-17	5.841417537505045e-14
TOB1	399.34830981294664	1.7106233724569568	0.20610797034151437	8.299646877423072	1.04421299984353e-16	7.531482947760334e-14
HMGCS1	1402.0025685738458	2.5846655903368787	0.31163919574362053	8.293775704848219	1.0970923449304941e-16	7.630277258991587e-14
PTGES3	1212.4902004783605	2.293461616909815	0.2935088955729765	7.813942444342648	5.5426412282622746e-15	3.7219791475579154e-12
ZNF331	1437.5407677801513	2.455249561169095	0.3155061604358374	7.781938576975597	7.142154529667484e-15	4.63621057702482e-12
HSPA1A	929.6395959176084	3.816349872257885	0.4918858645436065	7.75860854590498	8.586623518604319e-15	5.394061496816146e-12
ATF3	240.60113545525684	4.237867874161575	0.5478496488019755	7.735457864085234	1.0303162075097114e-14	6.2701180703262874e-12
TFRC	470.01535357873024	1.8789197909909416	0.2431718330480051	7.72671640230643	1.1035612344549543e-14	6.458239779339076e-12
TMEM184C	567.2692651216702	1.8172074141584325	0.23526837373477089	7.723976603022113	1.1275554713850702e-14	6.458239779339076e-12
NDEL1	989.5369531153957	1.7111716007569622	0.22268826227102326	7.6841571410457945	1.5400753585214812e-14	8.56897929481352e-12
HSPA1B	473.3535659740251	3.970034431429523	0.5338233502628411	7.436981596018192	1.030118954426473e-13	5.5723712551392043e-11
HSPA8	2012.773015020634	2.2008200561604827	0.2971096241927494	7.4074344179867575	1.287661250122835e-13	6.77727437429516e-11
HSPA4	768.0615129858581	1.454969101118249	0.20114278887819054	7.233513611066413	4.70655254889345e-13	2.41198432466187e-10
INSIG1	1317.2301364307777	2.2576706597103153	0.31458465050474044	7.176671385866917	7.14290952155556e-13	3.566692821096743e-10
NR4A3	499.4182017866271	3.566118684498503	0.4978275549177284	7.163361387434338	7.872245821652651e-13	3.8326028782715936e-10
PTP4A1	410.6950734659276	1.9822407664722301	0.27762649349339613	7.139955346226283	9.336124325431944e-13	4.434431344230773e-10
TCEAL7	78.19108636208726	1.816985123745762	0.2573006702487618	7.061719357314833	1.644548748857679e-12	7.625224365536772e-10
FOSB	60.34205855425935	7.12092318389535	1.0170190042603295	7.001760197268236	2.527664587599338e-12	1.1447381436955701e-9
