Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HSPA1A	1867.479582696929	7.23814293362818	0.3086647606093891	23.449851934305997	1.3265114358817774e-121	2.392628676899962e-117
EIF4A3	278.6313777651349	3.993991659249154	0.1750279558920244	22.819164166626425	2.959012767991328e-115	2.6685856648129793e-111
BCAS2	476.89906601850157	3.8878961922016653	0.18203608398654791	21.357832508026117	3.297614880899869e-101	1.982635986893031e-97
PPP1R15A	96.3206064127607	4.138423068116973	0.24082473185879652	17.184377352669355	3.4765953053617906e-66	1.5676837380702654e-62
SLC2A3	655.5093265519475	3.2140878744723107	0.1952782426542679	16.459016789508503	7.226472890047647e-61	2.606877830355788e-57
RGS2	156.96525638617572	4.186740599859409	0.2592959648480279	16.14657058899176	1.2005333517943408e-58	3.609003344385754e-55
HIST1H2BD	575.7166416757703	4.196358866999115	0.2670686242077827	15.712661415944899	1.2386812716631867e-55	3.1917277281412713e-52
HSPB1	54.11018206599483	9.282441292373747	0.6556726805667247	14.157126821801626	1.6875387185514493e-45	3.804766983314061e-42
DNAJB1	575.1784744557403	4.628300714884495	0.3320005351079693	13.940642334746038	3.586973797990967e-44	7.188694043818119e-41
ZNRD1	104.92518069959404	2.7322289901592267	0.1988690454432351	13.738834940700261	5.9424347286405746e-43	1.0718369520049005e-39
EGR1	1085.4150316702926	6.047291721427894	0.441520786278967	13.696505146208498	1.0652972064244654e-42	1.7467968829343712e-39
HSPH1	2891.362323556686	6.264864235262404	0.4602300286300185	13.61246299793003	3.376692271495216e-42	5.075449875079934e-39
HSPA1B	1043.8947652324202	6.0972503377915475	0.4507024499774892	13.52832747657813	1.0641732137446638e-41	1.476499404331731e-38
CYCS	509.539913604606	3.4377230678452033	0.2586123825887628	13.292956174151033	2.543280678427099e-40	3.2766538283421133e-37
ZFAND2A	107.12888125106277	2.57321593678033	0.1945131851117566	13.22900519726671	5.967193247868389e-40	7.1753509741201415e-37
