ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006457	protein folding	24/204	257/17653	2.9239231658330503e-15	8.619725492875833e-12	7.488321118391382e-12	HSPA1A/HSPB1/DNAJB1/HSPH1/HSPA1B/CRYAB/BAG3/UBC/DNAJA1/DNAJA4/DNAJB4/HSPA8/HSP90AA1/CHORDC1/PTGES3/HSPD1/UBB/DNAJB6/NUDC/RANBP2/STIP1/HSPA4/FKBP4/HSPA4L	24
BP	GO:0009266	response to temperature stimulus	22/204	237/17653	5.06454285994754e-14	7.465136175562674e-11	6.485280409606508e-11	HSPA1A/DNAJB1/HSPH1/HSPA1B/CRYAB/FOS/BAG3/DNAJA1/DNAJA4/DNAJB4/HSPA8/HSP90AA1/CHORDC1/PTGES3/EIF2AK3/HSPD1/DNAJB6/RANBP2/HSPA4/FKBP4/NUP58/HSPA4L	22
BP	GO:0009408	response to heat	19/204	174/17653	1.5449122258944086e-13	1.5181337473122387e-10	1.3188671738951215e-10	HSPA1A/DNAJB1/HSPH1/HSPA1B/CRYAB/BAG3/DNAJA1/DNAJA4/DNAJB4/HSPA8/HSP90AA1/CHORDC1/PTGES3/DNAJB6/RANBP2/HSPA4/FKBP4/NUP58/HSPA4L	19
BP	GO:1900034	regulation of cellular response to heat	14/204	78/17653	2.5866082675692006e-13	1.906330293198501e-10	1.656109977630491e-10	HSPA1A/DNAJB1/HSPH1/HSPA1B/CRYAB/BAG3/HSPA8/HSP90AA1/CHORDC1/PTGES3/DNAJB6/RANBP2/FKBP4/NUP58	14
BP	GO:0035966	response to topologically incorrect protein	19/204	198/17653	1.6058276895883329e-12	9.467960057812812e-10	8.225218460565083e-10	HSPA1A/PPP1R15A/HSPB1/DNAJB1/HSPH1/HSPA1B/ATF3/DNAJA1/DNAJB4/HSPA8/HSP90AA1/HERPUD1/CTH/EIF2AK3/HSPD1/SERP1/KLHL15/HSPA4/HSPA4L	19
BP	GO:0034605	cellular response to heat	16/204	132/17653	2.7202521619642676e-12	1.2047114033156663e-9	1.046583890690215e-9	HSPA1A/DNAJB1/HSPH1/HSPA1B/CRYAB/BAG3/HSPA8/HSP90AA1/CHORDC1/PTGES3/DNAJB6/RANBP2/HSPA4/FKBP4/NUP58/HSPA4L	16
BP	GO:0006986	response to unfolded protein	18/204	179/17653	2.8605766021742414e-12	1.2047114033156663e-9	1.046583890690215e-9	HSPA1A/PPP1R15A/HSPB1/DNAJB1/HSPH1/HSPA1B/ATF3/DNAJA1/DNAJB4/HSPA8/HSP90AA1/HERPUD1/CTH/EIF2AK3/HSPD1/SERP1/HSPA4/HSPA4L	18
BP	GO:0042026	protein refolding	9/204	27/17653	1.2056749223907202e-11	4.442912089009804e-9	3.859746166021872e-9	HSPA1A/HSPH1/HSPA1B/DNAJA4/HSPA8/HSP90AA1/HSPD1/HSPA4/HSPA4L	9
BP	GO:0061077	chaperone-mediated protein folding	12/204	80/17653	1.2415840124681538e-10	4.066877409729019e-8	3.5330688916199044e-8	HSPA1A/HSPB1/DNAJB1/HSPH1/HSPA1B/HSPA8/CHORDC1/PTGES3/HSPD1/HSPA4/FKBP4/HSPA4L	12
BP	GO:0051085	chaperone cofactor-dependent protein refolding	8/204	29/17653	9.662149532850145e-10	2.8484016822842226e-7	2.4745273487815164e-7	HSPA1A/DNAJB1/HSPH1/HSPA1B/HSPA8/PTGES3/HSPA4/HSPA4L	8
