Donor_1	Donor_2	Donor_3	n_fos	n_sig
tm	wc	wo	0	850
or	wc	wo	0	701
ko	wc	wo	0	444
tm	kq	wo	0	288
ko	kq	ai	0	265
wi	vm	zh	3	234
vm	zh	ai	2	213
vm	pk	ai	1	184
xk	wc	wo	0	178
kq	wc	wo	0	150
pk	kq	ai	0	146
or	ko	wo	0	122
tm	ko	kq	0	115
vm	lt	zh	2	111
ai	wc	wo	0	108
vm	pk	zh	2	103
or	ko	kq	0	95
tm	kq	ai	0	94
wi	wc	wo	1	90
xk	vm	zh	2	87
tm	vm	zh	2	86
vm	zh	wo	2	86
wl	vm	zh	2	84
tm	or	kq	0	81
ko	vm	zh	2	79
sg	vm	zh	2	78
vm	zh	ke	2	76
vm	zh	wc	2	73
or	vm	zh	2	68
vm	zh	kq	2	68
xk	tm	kq	0	53
tm	or	wo	0	42
tm	kq	wc	0	41
pk	lt	ai	0	41
tm	pk	kq	0	38
tm	ko	wo	0	37
vm	kq	ai	1	37
tm	wi	wo	1	35
ko	kq	wo	0	33
ko	pk	kq	0	31
lt	wc	wo	0	28
wi	zh	wo	2	24
ko	pk	ai	0	24
tm	wi	kq	1	22
zh	wc	wo	1	22
wl	wc	wo	0	19
ko	zh	ai	1	19
ko	ke	kq	0	19
wi	ko	zh	2	18
tm	wl	wo	0	16
pk	wc	wo	0	16
wi	zh	ai	2	15
or	ko	ai	0	15
wi	or	zh	2	14
wi	pk	zh	2	14
wi	zh	kq	2	14
ko	lt	ai	0	14
tm	wi	zh	2	13
or	kq	wo	0	13
tm	ko	ai	0	12
wi	or	wo	1	12
or	kq	ai	0	12
kq	ai	wc	0	12
xk	tm	wo	0	11
wi	ko	wo	1	11
vm	wc	wo	1	11
kq	ai	wo	0	11
tm	wi	or	1	10
tm	wi	ko	1	10
wi	or	ko	1	10
wi	ko	kq	1	10
ko	zh	kq	1	10
vm	lt	ai	1	10
pk	ai	wo	0	10
lt	zh	ai	1	10
tm	pk	wo	0	9
wi	lt	zh	2	9
lt	kq	ai	0	9
tm	zh	kq	1	8
ko	vm	kq	1	8
ko	kq	wc	0	8
xk	tm	wc	0	7
xk	wi	zh	2	7
tm	or	pk	0	7
wi	or	pk	1	7
wi	or	kq	1	7
wi	ko	pk	1	7
wi	pk	kq	1	7
wi	zh	ke	2	7
sg	ko	kq	0	7
ko	ai	wo	0	7
pk	zh	kq	1	7
lt	ai	wo	0	7
xk	tm	pk	0	6
xk	pk	wc	0	6
tm	wi	pk	1	6
tm	wi	ai	1	6
tm	pk	zh	1	6
wl	wi	zh	2	6
wi	sg	zh	2	6
wi	zh	wc	2	6
or	ko	pk	0	6
or	pk	kq	0	6
pk	kq	wo	0	6
zh	kq	ai	1	6
xk	zh	ai	1	5
xk	zh	wc	1	5
tm	sg	wo	0	5
tm	or	ko	0	5
tm	ko	zh	1	5
wl	kq	ai	0	5
wi	pk	wo	1	5
wi	kq	wo	1	5
sg	kq	ai	0	5
or	pk	zh	1	5
or	pk	wo	0	5
ko	pk	zh	1	5
ko	ke	ai	0	5
pk	zh	wo	1	5
ke	kq	ai	0	5
xk	wl	sg	0	4
xk	wl	ai	0	4
xk	vm	wc	1	4
tm	wl	ko	0	4
tm	wi	vm	2	4
tm	or	zh	1	4
tm	ko	pk	0	4
tm	ai	wo	0	4
wl	or	wc	0	4
wl	lt	ai	0	4
wi	ko	ai	1	4
wi	pk	ai	1	4
sg	wc	wo	0	4
or	ko	zh	1	4
or	ko	wc	0	4
or	pk	ai	0	4
or	zh	kq	1	4
or	zh	wo	1	4
ko	pk	wo	0	4
ko	zh	wo	1	4
zh	kq	wo	1	4
xk	tm	vm	1	3
xk	wi	vm	2	3
xk	ko	kq	0	3
xk	vm	pk	1	3
xk	vm	ai	1	3
xk	pk	kq	0	3
xk	pk	ai	0	3
