Gene	Granule	Basket	Astrocyte	Oligo	OPC
C1orf141	3436.75	3302.25	4231.75	3910.125	3554.75
PKP1	3436.75	3302.25	4231.75	3910.125	3554.75
RERE	24690.75	19236.625	8005.875	2618.625	12732.125
CSMD2	19943.25	6882.25	20075	13975.25	1616.5
HIVEP3	7105.875	722.75	20149.875	14481.125	24785.375
TTLL7	7328.125	19082.375	26405.5	249.75	14162.25
GLMN	7090.75	7116.25	18633	25366	13922.75
SLC44A5	8410.375	8273.75	9013.375	8816.875	3429
MAN1A2	1690.375	13723.625	19479	19463.5	8036.5
MPZL1	14123	24501.75	14635	8846.25	267.125
ANXA9	14096	13980.5	14571.375	1495.5	7598.75
C1orf21	7025.625	24817.25	14428.375	19817.875	1101.125
LINC01032	3436.75	3302.25	4231.75	3910.125	3554.75
RFWD2	1685.875	14282.5	8429.5	13831.125	24003.75
HSD11B1	3436.75	3302.25	4231.75	3910.125	3554.75
SDCCAG8	19126.25	19007.75	8602.25	1970.625	13317
LOC101930114	3436.75	3302.25	4231.75	3910.125	3554.75
ACOT7	3436.75	3302.25	4231.75	3910.125	3554.75
PRDM16	3436.75	3302.25	4231.75	3910.125	3554.75
PRKCZ	1205.875	14146.25	14497.125	8892.875	14090.375
AGRN	3436.75	3302.25	4231.75	3910.125	3554.75
CAMTA1	13784.75	1438.5	19050.375	24486.25	13283.5
DISP3	9324	281.75	9808.25	9576.75	9295.75
PLEKHM2	13784.25	8459.125	2356.625	13913.5	13608.625
KAZN	6616.875	25327.625	20450.75	14081.875	645.25
DHRS3	8236.25	8091.625	4239.875	8631.25	8294.875
PEX14	3436.75	3302.25	4231.75	3910.125	3554.75
EIF4G3	20128	13097	24923.875	7176	2130.625
ALDH4A1	3436.75	3302.25	4231.75	3910.125	3554.75
PLA2G2E	3436.75	3302.25	4231.75	3910.125	3554.75
KDM1A	7996.5	7725.875	19139.25	25234.75	2275.25
ACTL8	3436.75	3302.25	4231.75	3910.125	3554.75
WDTC1	8390.375	8251	3612	8797.375	8464.625
TRIT1	13265.375	18814	8069.625	19508.5	7285.5
EPHA10	3436.75	3302.25	4231.75	3910.125	3554.75
AGBL4	8826.75	2563.875	9218.125	9001.875	8677.25
PDZK1IP1	3436.75	3302.25	4231.75	3910.125	3554.75
ZSWIM5	7377.75	24669.625	2873.125	19508.625	13028.375
SLC5A9	20290	20206.125	8890.75	13088.875	198.875
LOC101929626	3436.75	3302.25	4231.75	3910.125	3554.75
PIK3R3	773.5	7073.5	14253.625	20273.125	20081.875
ZCCHC11	13191.75	19284.125	1266.875	25432.25	8355
EPS15	20262	13145.125	2033.5	6848.875	20119.125
DAB1	2752.75	8684.125	9215.625	8993.125	8661.5
PDE4B	19536.375	26069.75	14344.75	572.75	6790.25
PATJ	1017	7788.125	14896	14752.75	14505.625
ROR1	1053.875	9122.25	9630.5	9392.375	9099
LOC101926964	9040.125	8933	932.875	9451.625	9152.5
GNG12-AS1	3436.75	3302.25	4231.75	3910.125	3554.75
WLS	3436.75	3302.25	4231.75	3910.125	3554.75
FPGT-TNNI3K	3436.75	3302.25	4231.75	3910.125	3554.75
TNNI3K	3436.75	3302.25	4231.75	3910.125	3554.75
ST6GALNAC3	14466.5	14367	1596	7159.25	14566.5
ZZZ3	14188.625	24699.875	14358.625	1630.5	7254.375
ADGRL2	3436.75	3302.25	4231.75	3910.125	3554.75
IFI44L	3436.75	3302.25	4231.75	3910.125	3554.75
HS2ST1	3436.75	3302.25	4231.75	3910.125	3554.75
MCOLN2	3436.75	3302.25	4231.75	3910.125	3554.75
COL24A1	3436.75	3302.25	4231.75	3910.125	3554.75
MIR548N	3436.75	3302.25	4231.75	3910.125	3554.75
CCDC18-AS1	25764.875	19227.875	1321.25	8111	12916
DPYD	8554.5	8417.75	9185.875	3064.625	8637.875
LINC01397	3436.75	3302.25	4231.75	3910.125	3554.75
ATP1A1	7869.5	357	25707.25	13646.875	19760.875
CEPT1	806.25	13881.625	19200.625	24429.75	13608
PDE4DIP	7109.875	13862.75	7549.875	14107.5	13807.875
HYDIN2	3436.75	3302.25	4231.75	3910.125	3554.75
OTUD7B	19146.875	19371.625	9224.5	417.25	14148
RNF115	1488.125	7812.125	14603.5	19175.875	24262
SRGAP2-AS1	3436.75	3302.25	4231.75	3910.125	3554.75
MUC1	3436.75	3302.25	4231.75	3910.125	3554.75
PMF1-BGLAP	3436.75	3302.25	4231.75	3910.125	3554.75
PMF1	3436.75	3302.25	4231.75	3910.125	3554.75
NUP210L	3436.75	3302.25	4231.75	3910.125	3554.75
UHMK1	13235.625	13092.25	9029.25	13570.75	3262.75
ALDH9A1	13605	13481.125	8720.75	13962.5	2175.875
PBX1	20066.125	1303.375	7082.625	25160.875	13610.875
DNM3	6426.375	20121	26230.25	1437.625	13121
SCYL3	3436.75	3302.25	4231.75	3910.125	3554.75
TNN	3436.75	3302.25	4231.75	3910.125	3554.75
SMG7	7940	19071.375	1690	19200.625	19811.5
SOAT1	3436.75	3302.25	4231.75	3910.125	3554.75
ACBD6	2665.625	8707.875	9235	9015.875	8689.5
RGSL1	3436.75	3302.25	4231.75	3910.125	3554.75
RASAL2	3436.75	3302.25	4231.75	3910.125	3554.75
BRINP2	8868.625	8753.25	9513.875	9308.125	1502.5
LINC01350	3436.75	3302.25	4231.75	3910.125	3554.75
NEK7	13750.75	13633.75	8565	14125.875	1939.25
ASPM	3436.75	3302.25	4231.75	3910.125	3554.75
CR1	3436.75	3302.25	4231.75	3910.125	3554.75
PPP1R12B	7363.75	19786.5	14111.125	1038.625	24953
PIK3C2B	19907	19825.375	6667.875	1281.5	14357.625
RASSF5	3436.75	3302.25	4231.75	3910.125	3554.75
CDK18	9301.5	9186	9919.25	52.25	9397.75
FLVCR1	8996	1867.75	9397	9169.25	8856.5
ESRRG	15012	5971.25	1426.5	15186.75	14973.125
KCNH1	493.625	9230.375	9781.5	9543	9259.75
LPGAT1	20069.25	13304.375	25615.125	287.5	8046.875
PROX1-AS1	3436.75	3302.25	4231.75	3910.125	3554.75
USH2A	3436.75	3302.25	4231.75	3910.125	3554.75
SUSD4	14271.25	7157.75	14511.5	14400.75	2282.125
WDR26	7732.5	7672.875	2243.375	19916.5	24559.75
RAB3GAP2	7842.625	13626	3536.75	13871.75	13565
LYPLAL1-AS1	3436.75	3302.25	4231.75	3910.125	3554.75
DISC1	3436.75	3302.25	4231.75	3910.125	3554.75
TSNAX-DISC1	3436.75	3302.25	4231.75	3910.125	3554.75
COG2	839.375	9166.875	9687.25	9452.875	9159.5
URB2	3436.75	3302.25	4231.75	3910.125	3554.75
RGS7	475.125	6940.625	20584.875	25372	13936.5
FMN2	14439.125	8719.75	564	14542	14284.25
PLD5	607.25	19281.125	19477.875	8728.375	14355.875
SMYD3	816.125	14021.75	9535.625	14241.75	13969.5
KIF26B	8391.75	13961.875	14315.25	14204.375	1871.125
LOC100130417	3436.75	3302.25	4231.75	3910.125	3554.75
CDK11A	13981.75	13878.5	9214	8389.75	2395
TTLL10	3436.75	3302.25	4231.75	3910.125	3554.75
VWA1	8630.5	8497	9278.125	2747.125	8719.875
CFAP74	3436.75	3302.25	4231.75	3910.125	3554.75
GNB1	19444.125	25035	7517.625	2597.25	12735.25
SSU72	8528.875	8394	9141.25	8938.625	2953.25
PUSL1	3436.75	3302.25	4231.75	3910.125	3554.75
MMEL1	3436.75	3302.25	4231.75	3910.125	3554.75
PLCH2	3436.75	3302.25	4231.75	3910.125	3554.75
MORN1	932.875	14673.625	7420	14896.5	14655.125
TTC34	3436.75	3302.25	4231.75	3910.125	3554.75
TP73	3436.75	3302.25	4231.75	3910.125	3554.75
MEGF6	3436.75	3302.25	4231.75	3910.125	3554.75
AJAP1	14358.625	1614.125	14605.375	14497.375	7813.75
KCNAB2	3436.75	3302.25	4231.75	3910.125	3554.75
NPHP4	3436.75	3302.25	4231.75	3910.125	3554.75
CHD5	8786.75	2716.125	9181.25	8963.125	8638
NOL9	8409	8266.75	9025.25	3682.125	8484
DNAJC11	8519.375	8389	9137.5	8933.375	2970.5
SLC2A5	8790.375	8667.75	1961.25	9211.875	8890
SPSB1	13996.5	13863.125	14461.625	1856.875	7947.25
MIR34AHG	8934.5	2132.625	9328.75	9103.375	8789.875
UBE4B	7738.75	19468.125	24673.25	1681.375	13696.5
PIK3CD	3436.75	3302.25	4231.75	3910.125	3554.75
SLC25A33	8926	8811	1395.75	9345.25	9034.25
NMNAT1	3436.75	3302.25	4231.75	3910.125	3554.75
KIF1B	1650.625	19624.875	14233.75	7294.125	20067.25
MTOR	8793	2698.375	9187.125	8972.125	8645.375
CASZ1	3436.75	3302.25	4231.75	3910.125	3554.75
TNFRSF1B	3436.75	3302.25	4231.75	3910.125	3554.75
FBXO6	3436.75	3302.25	4231.75	3910.125	3554.75
MTHFR	3436.75	3302.25	4231.75	3910.125	3554.75
VPS13D	3436.75	3302.25	4231.75	3910.125	3554.75
LRRC38	9308.625	368.5	9785.125	9554.625	9271.75
PRAMEF19	3436.75	3302.25	4231.75	3910.125	3554.75
PRDM2	13136	13892.5	19025.625	1727.125	24094.5
CELA2A	3436.75	3302.25	4231.75	3910.125	3554.75
TMEM51	2177.625	8837.5	9361.75	9134.625	8814.625
FHAD1	3436.75	3302.25	4231.75	3910.125	3554.75
