Gene	Granule	Purkinje	Basket	Astrocyte	Oligo	OPC
Adora1	5341.200000000001	14406.4	15504.6	2237	9783.7	15560.2
Sntg1	11433.4	10129.5	6742.5	11242.9	11427.3	1771.5
Cflar	7717.5	6397.4	7628.2	1361.3	7656.6	7747.5
Prim2	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Adgrb3	14349.5	376.4	5182.4	10207.3	24286.6	18948.6
Obsl1	7396.8	2362.2	7403.6	7379.5	7315.8	7354.8
Gpr39	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Lmx1a	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Pld5	373.2	11048.2	5411.5	11931	11919.7	11979.6
Syt14	11158.2	4428.9	1082.5	18981.4	19267.699999999997	15033.7
1700112H15Rik	3893.1	2383.4	3794.6	3958.4	3772.4	3896
A830018L16Rik	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Cpa6	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Lactb2	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Efhc1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Khdrbs2	7726.8	774.9000000000001	7684.4	7739	7621	7686.4
Lonrf2	5661.4	10566.6	1671.1	11527.9	11608.9	11645
Actr1b	10099.8	5053.4	10925.6	5536.700000000001	18513.5	18406.199999999997
1700066B17Rik	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Dnah7b	7646.299999999999	6307.700000000001	7556.5	1733.2	7587.299999999999	7671.4
Gpr45	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Dnah7a	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Pgap1	10854.1	13900.7	15181.599999999999	14939.7	1996	6124.1
Plcl1	15989.9	15180.9	15964.4	10603.1	39	4981
Pard3b	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Bmpr2	5640.8	22496.4	10502	14706.2	18516.6	1466.7
Pinc	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Xrcc5	11004.8	9687.7	11022.9	10986	6865.700000000001	3131.3
Spag16	3893.1	2383.4	3794.6	3958.4	3772.4	3896
D530049I02Rik	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Erbb4	11827.3	14567	15575.7	15465.5	5030.5	534.4000000000001
Abca12	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Usp37	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Dock10	12148.6	11146.2	12116	12216.6	99.2	4969.8
Dis3l2	7542.5	6128	7502.299999999999	7559.9	2723.2	7657.5
Sh3bp4	7957.700000000001	6682.8	7893.8	8019	7920.8	339.4
Ugt1a9	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Ugt1a10	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Slc16a14	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Pask	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Serpinb12	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Cdh20	16165.9	15412.6	16150.6	5098.4	1012.5999999999999	8909.4
Cntnap5a	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Cdh7	600.3	10430.599999999999	7210.6	11419.4	11478.1	11501.7
Clasp1	6004.299999999999	14091.9	10695.900000000001	1799.9	22822.1	14776
Dpp10	6499.9	105.5	15459.8	15252	15441.3	10300.3
Rab3gap1	6625.6	16889.5	10868.3	18548.1	2820.6000000000004	14492.400000000001
Cdk18	7858.700000000001	6534.299999999999	7810.8	7916	999.6	7988.1
Mapkapk2	11034.1	2038	6896.3	10845.4	10942.7	10921
Thsd7b	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Kcnt2	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Aspm	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Rnpep	10704.5	9730.7	11000.1	3239.1	6876.2	11092.8
Camsap2	6281.9	18115.8	10059.7	23374	15044.8	705.2
Brinp3	7049.4	14463.4	10469.3	15247.9	15445.3	276.29999999999995
Pla2g4a	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Cdc73	14754.3	17828.3	5773.799999999999	22976.6	2307.7	9797.400000000001
Rasal2	18929.4	332.6	18984.4	9807.3	6114.9	15692.8
1700025G04Rik	448	17893.4	18911.4	11191.6	14814.3	6463.3
Stx6	10706.099999999999	22037.5	15059.2	14889.6	1305.2	6264.5
Nmnat2	600.9	14261.3	10498.4	19835.300000000003	19965.1	4829.4
Brinp2	7716.2	817.7	7679.6	7726.5	7613.8	7679.299999999999
Rcsd1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Rabgap1l	748.3	14605.9	15696	15547.5	10522.599999999999	5868.6
Fcrla	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Rgs7	764.3	9850.1	5087.299999999999	19726.300000000003	19908.4	14622.2
Cnih3	7432.3	6029.8	3602.5	7330.700000000001	7309.5	7359.6
Itpkb	7934.8	6675	7854.700000000001	219.8	7862	7957.8
Trp53bp2	15420.2	14411.9	15419.099999999999	10236.3	467.6	6818.4
Akt3	1305.8000000000002	23202.4	9563	14083.099999999999	19652.8	5503.6
