Gene	Granule	Purkinje	Basket	Astrocyte	Oligo	OPC
Vom2r3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
LOC100909608	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Vom2r6	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Vom2r5	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Raet1l	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000109.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000121.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000137.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000145.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Raet1d	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000156.1	4852.7	7433.2	9705.7	9818.5	9278.1	9631.7
LOC679782	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000158.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000159.4	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Lrp11	18968.3	6435	2498.7	19934.199999999997	29739.1	19078.9
AABR07000159.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Pcmt1	8046.5	22760.7	3215.3	29592.6	13423.4	19754.6
Nup43	20246.199999999997	23279.800000000003	7424.200000000001	14015	19076.7	7678.3
Lats1	24046	16863.8	8463.3	24740.7	18699.1	8009.3
Katna1	9623.5	7338.5	9601.900000000001	9821.9	9285.5	4521.3
Ginm1	19019.6	23550.2	8495.4	19363.3	2125.2	19563.7
AABR07000159.3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000159.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Ppil4	2939.7	22593.6	8165.7	19160.9	24756.4	18974.4
Zc3h12d	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Tab2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Ust	20472	18941.4	20533.1	6078.1	14802.900000000001	1418.4
AABR07000171.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000173.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Sash1	21067.6	19801	21141.8	12459.599999999999	1187.3000000000002	6603.5
AABR07000175.1	20156.5	18423	20247.199999999997	15140.2	2133	5938.7
Samd5	15333.2	13463	15437.8	7275.9	1902.8	15394.9
RGD1562402	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Stxbp5	7886.6	31180.1	2551.8999999999996	23563	12537.1	18816.9
AC096981.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000200.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Adgb	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Rab32	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000207.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Grm1	14050.9	253.6	6537.299999999999	18953.1	26011.5	26132.8
AABR07000220.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000222.1	10022.599999999999	1399.2	10004.4	10113.8	9635.599999999999	9975.4
