Species	Cell_type	Category	Location	Gene	Score
human	Granule	HK	Gene_body	GNB1	0.0015444015444015442
human	Granule	HK	Gene_body	GNB1	0.1279441117764471
human	Granule	HK	Gene_body	RERE	0.22634730538922157
human	Granule	HK	Gene_body	RERE	0.03592814371257485
human	Granule	HK	Gene_body	RERE	0.299001996007984
human	Granule	HK	Gene_body	RERE	0.0033932135728542917
human	Granule	HK	Gene_body	RERE	0.6298118668596236
human	Granule	HK	Gene_body	RERE	5.988023952095809e-4
human	Granule	HK	Gene_body	RERE	0.06986027944111778
human	Granule	HK	Gene_body	RERE	0.4855539971949509
human	Granule	HK	Gene_body	RERE	0.5590984974958264
human	Granule	HK	Gene_body	UBE4B	0.07518450184501849
human	Granule	HK	Gene_body	UBE4B	0.01981481481481482
human	Granule	HK	Gene_body	UBE4B	0.02634730538922156
human	Granule	HK	Gene_body	UBE4B	0.2168028004667445
human	Granule	HK	Gene_body	UBE4B	3.8986354775828464e-4
human	Granule	HK	Gene_body	UBE4B	0.28902195608782433
human	Granule	HK	Gene_body	KIF1B	0.38562874251497015
human	Granule	HK	Gene_body	KIF1B	0.04473197781885396
human	Granule	HK	Gene_body	KIF1B	0.0722554890219561
human	Granule	HK	Gene_body	KIF1B	0.006371681415929205
human	Granule	HK	Gene_body	HP1BP3	0.337768679631525
human	Granule	HK	Gene_body	EIF4G3	0.5872380952380951
human	Granule	HK	Gene_body	USP48	0.2776566757493188
human	Granule	HK	Gene_body	TMEM57	0.11417165668662674
human	Granule	HK	Gene_body	DHDDS	0.09369676320272574
human	Granule	HK	Gene_body	SRSF4	0.3907529722589168
human	Granule	HK	Gene_body	KIAA0319L	0.09401197604790419
human	Granule	HK	Gene_body	KIAA0319L	0.6657563025210084
human	Granule	HK	Gene_body	MACF1	0.48562874251497
human	Granule	HK	Gene_body	MACF1	0.3885135135135133
human	Granule	HK	Gene_body	MACF1	0.6906752411575561
human	Granule	HK	Gene_body	MACF1	0.1689564068692206
human	Granule	HK	Gene_body	IPO13	0.5881261595547309
human	Granule	HK	Gene_body	GPBP1L1	0.6075848303393215
human	Granule	HK	Gene_body	GPBP1L1	0.22263681592039797
human	Granule	HK	Gene_body	EFCAB14	0.3550898203592813
human	Granule	HK	Gene_body	EFCAB14	0.1721021611001964
human	Granule	HK	Gene_body	EFCAB14	0.2778985507246377
human	Granule	HK	Gene_body	EFCAB14	0.13339587242026266
human	Granule	HK	Gene_body	EFCAB14	0.2374285714285714
human	Granule	HK	Gene_body	ZCCHC11	0.35409181636726555
human	Granule	HK	Gene_body	ZCCHC11	0.3685916919959473
human	Granule	HK	Gene_body	OMA1	0.0784431137724551
human	Granule	HK	Gene_body	OMA1	0.06726457399103139
human	Granule	HK	Gene_body	SGIP1	0.07720848056537102
human	Granule	HK	Gene_body	ZRANB2	0.24213135068153643
human	Granule	HK	Gene_body	ZZZ3	0.4068432671081679
human	Granule	HK	Gene_body	TTLL7	0.0936127744510978
human	Granule	HK	Gene_body	TTLL7	0.1973224679860302
human	Granule	HK	Gene_body	ZNF644	0.23013972055888224
human	Granule	HK	Gene_body	ZNF644	0.7332061068702288
human	Granule	HK	Gene_body	CELSR2	0.2888257575757577
human	Granule	HK	Gene_body	RAP1A	0.08043912175648701
human	Granule	HK	Gene_body	RAP1A	0.07924151696606789
human	Granule	HK	Gene_body	CSDE1	0.4534795042897999
human	Granule	HK	Gene_body	BCL9	0.01836327345309381
human	Granule	HK	Gene_body	BCL9	0.2497261774370208
human	Granule	HK	Gene_body	SV2A	0.3282732447817835
human	Granule	HK	Gene_body	ENSA	0.4263479145473043
human	Granule	HK	Gene_body	GATAD2B	0.661455525606469
human	Granule	HK	Gene_body	CLK2	0.42752808988764046
human	Granule	HK	Gene_body	MEF2D	0.49800399201596807
human	Granule	HK	Gene_body	MEF2D	0.393921568627451
human	Granule	HK	Gene_body	MEF2D	0.5232219365895459
human	Granule	HK	Gene_body	TPR	0.2542239685658154
human	Granule	HK	Gene_body	CDC73	0.4131736526946107
human	Granule	HK	Gene_body	CDC73	0.5772373540856031
human	Granule	HK	Gene_body	CDC73	0.1453846153846153
human	Granule	HK	Gene_body	CDC73	0.5039920159680639
human	Granule	HK	Gene_body	EIF2D	0.2115702479338843
human	Granule	HK	Gene_body	MARK1	0.43652694610778453
human	Granule	HK	Gene_body	MARK1	0.03940754039497307
human	Granule	HK	Gene_body	CDC42BPA	0.28811013767209015
human	Granule	HK	Gene_body	PGBD5	0.3722554890219561
human	Granule	HK	Gene_body	PGBD5	0.002214022140221402
human	Granule	HK	Gene_body	PGBD5	0.2447169811320754
human	Granule	HK	Gene_body	PGBD5	0.06786427145708583
human	Granule	HK	Gene_body	PGBD5	0.07052186177715089
human	Granule	HK	Gene_body	ARID4B	0.009003831417624522
human	Granule	HK	Gene_body	CEP170	0.33785084202085003
human	Granule	HK	Gene_body	HNRNPU	0.3408805031446541
human	Granule	HK	Gene_body	HNRNPU	0.5103139013452916
human	Granule	HK	Gene_body	ZMYND11	0.028343313373253496
human	Granule	HK	Gene_body	ZMYND11	0.4047865459249677
human	Granule	HK	Gene_body	DIP2C	0.002253032928942808
human	Granule	HK	Gene_body	DIP2C	0.273927392739274
human	Granule	HK	Gene_body	DIP2C	0.006187624750499003
human	Granule	HK	Gene_body	DIP2C	0.00621359223300971
human	Granule	HK	Gene_body	DIP2C	7.984031936127745e-4
