snp_chr	snp_pos	snp	peak_chr	peak_start	peak_end	disease.trait	pubmedid	reported.gene.s.	mapped_gene	strongest.snp.risk.allele	context	risk.allele.frequency	p.value	study.accession	Multiple
chr4	80243569	rs1458038	chr4	80243452	80243952	Blood pressure	21909110	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.30	3e-14	GCST001236	TRUE
chr4	80243569	rs1458038	chr4	80243452	80243952	Diastolic blood pressure	21909115	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.29	9e-25	GCST001228	TRUE
chr4	80243569	rs1458038	chr4	80243452	80243952	Systolic blood pressure	21909115	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.29	2e-23	GCST001227	TRUE
chr4	80243569	rs1458038	chr4	80243452	80243952	Systolic blood pressure	26390057	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.2828	5e-8	GCST003272	TRUE
chr4	80243569	rs1458038	chr4	80243452	80243952	Diastolic blood pressure	26390057	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.3362	2e-14	GCST003273	TRUE
chr4	80243569	rs1458038	chr4	80243452	80243952	Systolic blood pressure	28871152	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.24	2e-7	GCST004888	TRUE
chr4	80243569	rs1458038	chr4	80243452	80243952	Diastolic blood pressure	28871152	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.24	4e-7	GCST004890	TRUE
chr4	80243569	rs1458038	chr4	80243452	80243952	Diastolic blood pressure	28739976	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.302	8e-17	GCST004777	TRUE
chr4	80243569	rs1458038	chr4	80243452	80243952	Systolic blood pressure	28739976	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.302	1e-16	GCST004776	TRUE
chr4	80243569	rs1458038	chr4	80243452	80243952	Pulse pressure	28739976	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.302	1e-6	GCST004775	TRUE
