snp_chr	snp_pos	snp	peak_chr	peak_start	peak_end	disease.trait	pubmedid	reported.gene.s.	mapped_gene	strongest.snp.risk.allele	context	risk.allele.frequency	p.value	study.accession	Multiple
chr4	80243569	rs1458038	chr4	80243192	80243981	Blood pressure	21909110	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.30	3e-14	GCST001236	TRUE
chr4	80243569	rs1458038	chr4	80243192	80243981	Diastolic blood pressure	21909115	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.29	9e-25	GCST001228	TRUE
chr4	80243569	rs1458038	chr4	80243192	80243981	Systolic blood pressure	21909115	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.29	2e-23	GCST001227	TRUE
chr4	80243569	rs1458038	chr4	80243192	80243981	Systolic blood pressure	26390057	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.2828	5e-8	GCST003272	TRUE
chr4	80243569	rs1458038	chr4	80243192	80243981	Diastolic blood pressure	26390057	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.3362	2e-14	GCST003273	TRUE
chr4	80243569	rs1458038	chr4	80243192	80243981	Systolic blood pressure	28871152	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.24	2e-7	GCST004888	TRUE
chr4	80243569	rs1458038	chr4	80243192	80243981	Diastolic blood pressure	28871152	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.24	4e-7	GCST004890	TRUE
chr4	80243569	rs1458038	chr4	80243192	80243981	Diastolic blood pressure	28739976	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.302	8e-17	GCST004777	TRUE
chr4	80243569	rs1458038	chr4	80243192	80243981	Systolic blood pressure	28739976	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.302	1e-16	GCST004776	TRUE
chr4	80243569	rs1458038	chr4	80243192	80243981	Pulse pressure	28739976	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.302	1e-6	GCST004775	TRUE
chr8	19990179	rs10503669	chr8	19990130	19990745	Triglycerides	21909109	LPL	LPL - LOC105379311	rs10503669-T	intergenic_variant	0.12	7e-39	GCST001230	TRUE
chr8	19990179	rs10503669	chr8	19990130	19990745	HDL cholesterol	21909109	LPL	LPL - LOC105379311	rs10503669-T	intergenic_variant	0.12	8e-43	GCST001237	TRUE
chr8	19990179	rs10503669	chr8	19990130	19990745	Triglycerides	18193043	LPL	LPL - LOC105379311	rs10503669-C	intergenic_variant	0.90	4e-22	GCST000139	TRUE
chr8	19990179	rs10503669	chr8	19990130	19990745	HDL cholesterol	18193043	LPL	LPL - LOC105379311	rs10503669-A	intergenic_variant	0.1	4e-19	GCST000135	TRUE
chr8	19990179	rs10503669	chr8	19990130	19990745	Triglyceride levels	28334899	LPL	LPL - LOC105379311	rs10503669-A	intergenic_variant	0.11	1e-19	GCST004238	TRUE
chr7	44189469	rs1799884	chr7	44189306	44189826	Metabolite levels	21909109	GCK	GCK - YKT6	rs1799884-A	intron_variant	0.19	2e-19	GCST001233	TRUE
chr7	44189469	rs1799884	chr7	44189306	44189826	Glycated hemoglobin levels	20858683	GCK	GCK - YKT6	rs1799884-T	intron_variant	0.18	1e-20	GCST000803	TRUE
chr7	44189469	rs1799884	chr7	44189306	44189826	Glycated hemoglobin levels	24647736	GCK	GCK - YKT6	rs1799884-T	intron_variant	0.19	2e-22	GCST002390	TRUE
chr7	44189469	rs1799884	chr7	44189306	44189826	Glycemic traits	23575436	GCK	GCK - YKT6	rs1799884-A	intron_variant	NA	5e-18	GCST001965	TRUE
chr7	44189469	rs1799884	chr7	44189306	44189826	Glycated hemoglobin levels	24244560	GCK	GCK - YKT6	rs1799884-T	intron_variant	0.17	6e-8	GCST002270	TRUE
chr2	60937196	rs13017599	chr2	60936740	60937272	Psoriatic arthritis	22170493	REL	NONOP2	rs13017599-?	non_coding_transcript_exon_variant	NR	1e-8	GCST001355	TRUE
chr2	60937196	rs13017599	chr2	60936740	60937272	Rheumatoid arthritis	19503088	REL	NONOP2	rs13017599-A	non_coding_transcript_exon_variant	0.34	2e-12	GCST000420	TRUE
chr2	60937196	rs13017599	chr2	60936740	60937272	Psoriatic arthritis	26626624	REL, FLJ16341	NONOP2	rs13017599-G	non_coding_transcript_exon_variant	NR	6e-7	GCST003270	TRUE
chr15	58434545	rs261334	chr15	58433607	58434742	HDL cholesterol	20864672	LIPC	LIPC	rs261334-G	intron_variant	0.20	5e-22	GCST000805	TRUE
chr15	58434545	rs261334	chr15	58433607	58434742	HDL cholesterol	26780889	LIPC	LIPC	rs261334-G	intron_variant	0.384	9e-13	GCST003304	TRUE
chr15	58434545	rs261334	chr15	58433607	58434742	Metabolite levels (lipoprotein measures)	27005778	NR	LIPC	rs261334-?	intron_variant	NR	1e-125	GCST003665	TRUE
chr13	73946049	rs1886512	chr13	73945796	73946321	QRS duration	21076409	KLF12	KLF12	rs1886512-A	intron_variant	0.37	1e-8	GCST000872	TRUE
chr13	73946049	rs1886512	chr13	73945796	73946321	QRS duration	27659466	NR	KLF12	rs1886512-?	intron_variant	NR	6e-10	GCST003844	TRUE
chr2	162404181	rs17716942	chr2	162403877	162404378	Psoriasis	20953190	IFIH1	KCNH7	rs17716942-A	intron_variant	0.86	1e-13	GCST000833	TRUE
chr2	162404181	rs17716942	chr2	162403877	162404378	Inflammatory skin disease	25574825	KCNH7	KCNH7	rs17716942-?	intron_variant	NR	4e-11	GCST002740	TRUE
chr2	162404181	rs17716942	chr2	162403877	162404378	Psoriasis	25574825	IFIH1	KCNH7	rs17716942-T	intron_variant	NR	3e-9	GCST002738	TRUE
chr2	162404181	rs17716942	chr2	162403877	162404378	Psoriasis	23143594	KCNH7, IFIH1	KCNH7	rs17716942-T	intron_variant	0.863	3e-18	GCST005527	TRUE
chr2	162404181	rs17716942	chr2	162403877	162404378	Psoriasis vulgaris	26626624	KCNH7, IFIH1	KCNH7	rs17716942-T	intron_variant	NR	5e-13	GCST003268	TRUE
chr3	141386728	rs724016	chr3	141386530	141387210	Height	18193045	ZBTB38	ZBTB38	rs724016-G	5_prime_UTR_variant	0.36	1e-6	GCST000136	TRUE
chr3	141386728	rs724016	chr3	141386530	141387210	Infant length	25281659	ZBTB38	ZBTB38	rs724016-A	5_prime_UTR_variant	0.453	4e-7	GCST002646	TRUE
chr3	141386728	rs724016	chr3	141386530	141387210	Height	25282103	ZBTB38	ZBTB38	rs724016-A	5_prime_UTR_variant	0.555	3e-158	GCST002647	TRUE
chr3	141386728	rs724016	chr3	141386530	141387210	Height	20881960	ZBTB38	ZBTB38	rs724016-A	5_prime_UTR_variant	0.56	3e-86	GCST000817	TRUE
chr3	141386728	rs724016	chr3	141386530	141387210	Height	18391950	ZBTB38	ZBTB38	rs724016-G	5_prime_UTR_variant	0.48	8e-22	GCST000176	TRUE
chr3	141386728	rs724016	chr3	141386530	141387210	Hip circumference adjusted for BMI	25673412	ZBTB38	ZBTB38	rs724016-A	5_prime_UTR_variant	0.5572	8e-43	GCST004067	TRUE
chr3	141386728	rs724016	chr3	141386530	141387210	Crohn's disease	28067908	ZBTB38	ZBTB38	rs724016-?	5_prime_UTR_variant	NA	8e-8	GCST004132	TRUE
chr3	141386728	rs724016	chr3	141386530	141387210	Crohn's disease	26192919	intergenic	ZBTB38	rs724016-G	5_prime_UTR_variant	0.4413	3e-6	GCST003044	TRUE
chr20	3795528	rs3761218	chr20	3795522	3796504	Bipolar disorder	17554300	NR	CDC25B	rs3761218-C	intron_variant	0.64	7e-6	GCST000044	TRUE
chr20	3795528	rs3761218	chr20	3795522	3796504	Bipolar disorder	21254220	NR	CDC25B	rs3761218-?	intron_variant	NR	1e-6	GCST000961	TRUE
chr6	31652743	rs3117582	chr6	31652422	31653228	Lung cancer	18978787	BAT3, MSH5	APOM, BAG6	rs3117582-C	intron_variant	NR	5e-10	GCST000257	TRUE
chr6	31652743	rs3117582	chr6	31652422	31653228	Lung cancer	19654303	BAT3	APOM, BAG6	rs3117582-?	intron_variant	NR	4e-10	GCST000459	TRUE
chr6	31652743	rs3117582	chr6	31652422	31653228	Lung adenocarcinoma	19836008	APOM, BAT3	APOM, BAG6	rs3117582-C	intron_variant	0.10	5e-12	GCST000506	TRUE
chr6	31652743	rs3117582	chr6	31652422	31653228	Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)	26651848	BAT3, APOM	APOM, BAG6	rs3117582-C	intron_variant	0.34	1e-30	GCST005541	TRUE
chr8	54524964	rs9298506	chr8	54524951	54525488	Intracranial aneurysm	18997786	SOX17	RP1	rs9298506-A	intron_variant	0.81	2e-9	GCST000262	TRUE
chr8	54524964	rs9298506	chr8	54524951	54525488	Intracranial aneurysm	20364137	SOX17	RP1	rs9298506-A	intron_variant	0.81	1e-12	GCST000646	TRUE
chr12	56752285	rs2277339	chr12	56751838	56752719	Menopause (age at onset)	22267201	PRIM1	PRIM1	rs2277339-G	missense_variant	0.102	2e-19	GCST001381	TRUE
chr12	56752285	rs2277339	chr12	56751838	56752719	Menarche (age at onset)	29773799	NR	PRIM1	rs2277339-T	missense_variant	0.7964	8e-20	GCST005867	TRUE
chr12	56752285	rs2277339	chr12	56751838	56752719	Menopause (age at onset)	29773799	PRIM1 / TAC3	PRIM1	rs2277339-T	missense_variant	0.8	8e-20	GCST005863	TRUE
