Mouse	Human
Pspc1	PSPC1
Cdk12	CDK12
Dennd5a	DENND5A
Trmt13	TRMT13
Med12	MED12
Nek9	NEK9
Iffo1	IFFO1
Itch	ITCH
Pank2	PANK2
Adam10	ADAM10
Ppp1r12a	PPP1R12A
Snx19	SNX19
Clasp2	CLASP2
Ncoa6	NCOA6
Ofd1	OFD1
Whamm	WHAMM
Cttn	CTTN
Nr1d1	NR1D1
Casc3	CASC3
Pias1	PIAS1
Rfx7	RFX7
Nktr	NKTR
Tmod2	TMOD2
Gclc	GCLC
Dennd4a	DENND4A
Hacd3	HACD3
Reep5	REEP5
Cpsf7	CPSF7
Rab5a	RAB5A
Ubr5	UBR5
Ltbp3	LTBP3
Ankrd28	ANKRD28
Mxi1	MXI1
Eif4b	EIF4B
Psmb1	PSMB1
Fam178a	SLF2
Mtss1	MTSS1
Hnrnpc	HNRNPC
Zfp641	ZNF641
Ctnnd2	CTNND2
March6	MARCH6
Papd4	PAPD4
Atxn7	ATXN7
Eif3a	EIF3A
Btrc	BTRC
Vapa	VAPA
Zfp148	ZNF148
Ubr2	UBR2
Slc25a27	SLC25A27
Rbfox2	RBFOX2
Ccny	CCNY
Fam13b	FAM13B
Ubqln1	UBQLN1
App	APP
Kdm3b	KDM3B
Klhl24	KLHL24
Ldlrad4	LDLRAD4
Snx32	SNX32
Map3k2	MAP3K2
Cnnm2	CNNM2
Rprd1a	RPRD1A
Lnpep	LNPEP
Ndfip1	NDFIP1
Golph3	GOLPH3
Mbnl2	MBNL2
Fth1	FTH1
Tbc1d12	TBC1D12
Slc22a17	SLC22A17
Tjap1	TJAP1
Mgrn1	MGRN1
Add3	ADD3
Pxk	PXK
Mgea5	MGEA5
Snx9	SNX9
Zswim8	ZSWIM8
Arl6ip1	ARL6IP1
Med13	MED13
Herc2	HERC2
Epb41l1	EPB41L1
Herc3	HERC3
Stx16	STX16
Usp40	USP40
Gpbp1l1	GPBP1L1
Usp11	USP11
Atat1	ATAT1
Lrrn1	LRRN1
Rev3l	REV3L
Arih2	ARIH2
Ip6k2	IP6K2
Mink1	MINK1
Usp54	USP54
Spock2	SPOCK2
Appbp2	APPBP2
Ttll7	TTLL7
Phf3	PHF3
Chd9	CHD9
Ak3	AK3
Anapc4	ANAPC4
Msl2	MSL2
Gga3	GGA3
Sh3bp5	SH3BP5
Capn7	CAPN7
Prkar1a	PRKAR1A
Atp6v0a1	ATP6V0A1
Dock4	DOCK4
Snx27	SNX27
Tspan3	TSPAN3
Dcaf5	DCAF5
Ube2n	UBE2N
Rtn4	RTN4
Mtmr4	MTMR4
Ercc5	ERCC5
Brd7	BRD7
Fryl	FRYL
Ibtk	IBTK
Glg1	GLG1
Tnpo2	TNPO2
Cdc42bpa	CDC42BPA
March7	MARCH7
Wdr41	WDR41
Cyth1	CYTH1
Ipo13	IPO13
Usp16	USP16
Clip1	CLIP1
Ctdsp2	CTDSP2
Ube2e2	UBE2E2
Appl2	APPL2
Cep97	CEP97
Fyn	FYN
Snx5	SNX5
Sar1b	SAR1B
Zzz3	ZZZ3
Sptan1	SPTAN1
Ylpm1	YLPM1
Psip1	PSIP1
Emc1	EMC1
Morf4l1	MORF4L1
Kansl1l	KANSL1L
Rad23b	RAD23B
Arcn1	ARCN1
Ociad1	OCIAD1
Adgrb3	ADGRB3
Crbn	CRBN
Pum2	PUM2
Sptbn1	SPTBN1
Acadsb	ACADSB
Zmiz2	ZMIZ2
Rab22a	RAB22A
Rab2b	RAB2B
1190002N15Rik	C3orf58
Dnajc7	DNAJC7
Mprip	MPRIP
U2surp	U2SURP
Atp5a1	ATP5A1
Numa1	NUMA1
Canx	CANX
Ensa	ENSA
Csgalnact2	CSGALNACT2
Mbnl1	MBNL1
Bcl9	BCL9
Baz2b	BAZ2B
Nrxn2	NRXN2
Tm7sf3	TM7SF3
Rbm26	RBM26
Fnta	FNTA
Sobp	SOBP
Mthfd1	MTHFD1
Senp6	SENP6
Pou6f1	POU6F1
Clcn6	CLCN6
Ogfod1	OGFOD1
Secisbp2l	SECISBP2L
Rbm10	RBM10
Gpbp1	GPBP1
Nfkb1	NFKB1
Calu	CALU
Vezf1	VEZF1
Gcc2	GCC2
Kif2a	KIF2A
Eif5	EIF5
Kif1b	KIF1B
Ptpn12	PTPN12
Eif4enif1	EIF4ENIF1
Phf10	PHF10
Smarca2	SMARCA2
Ttc19	TTC19
Arid4b	ARID4B
Hbs1l	HBS1L
Kansl3	KANSL3
Elmo2	ELMO2
Spred2	SPRED2
Ppp2r2d	PPP2R2D
Add1	ADD1
Dip2c	DIP2C
Mapk14	MAPK14
4932438A13Rik	KIAA1109
Map3k7	MAP3K7
Timmdc1	TIMMDC1
Tmem57	TMEM57
Rab2a	RAB2A
Hspa9	HSPA9
Tbl1xr1	TBL1XR1
Clk2	CLK2
Vamp2	VAMP2
Rab1a	RAB1A
Sri	SRI
Dek	DEK
Jmy	JMY
Slc44a2	SLC44A2
Zbtb37	ZBTB37
Btbd7	BTBD7
Prnp	PRNP
Nab1	NAB1
Ube4b	UBE4B
Cltc	CLTC
Mkln1	MKLN1
Rab12	RAB12
Gripap1	GRIPAP1
Atxn2l	ATXN2L
Ube3a	UBE3A
E330009J07Rik	KIAA1147
Sec16a	SEC16A
Dmxl2	DMXL2
Leng9	LENG9
Leng8	LENG8
Zmynd11	ZMYND11
Hnrnpu	HNRNPU
Golga1	GOLGA1
Hnrnpa2b1	HNRNPA2B1
Srrm1	SRRM1
Mycbp2	MYCBP2
Inpp1	INPP1
Mapk10	MAPK10
Csde1	CSDE1
Baz2a	BAZ2A
Tmem260	TMEM260
Reps1	REPS1
Snrnp200	SNRNP200
Nudt5	NUDT5
Cdk17	CDK17
Nphp3	NPHP3
Zc3h11a	ZC3H11A
Cds2	CDS2
Ptcd3	PTCD3
Mapk9	MAPK9
Nlgn1	NLGN1
Csnk1e	CSNK1E
Dip2b	DIP2B
Hipk2	HIPK2
Paqr3	PAQR3
Ywhaz	YWHAZ
Macf1	MACF1
Arhgef40	ARHGEF40
Ppp4r2	PPP4R2
Rbm33	RBM33
Xpo6	XPO6
Cpd	CPD
C2cd5	C2CD5
AU040320	KIAA0319L
Pgbd5	PGBD5
Rb1cc1	RB1CC1
Xrn2	XRN2
Brap	BRAP
Mef2d	MEF2D
Cse1l	CSE1L
Emsy	EMSY
Srsf4	SRSF4
Dido1	DIDO1
Mapt	MAPT
Arid2	ARID2
Ppp2r3c	PPP2R3C
St3gal5	ST3GAL5
Pitrm1	PITRM1
Kdm5a	KDM5A
Agap3	AGAP3
Kansl1	KANSL1
Zfp644	ZNF644
Mau2	MAU2
Pkm	PKM
Pomt2	POMT2
Acaca	ACACA
