snp_chr	snp_pos	snp	peak_chr	peak_start	peak_end	disease.trait	pubmedid	reported.gene.s.	mapped_gene	strongest.snp.risk.allele	context	risk.allele.frequency	p.value	study.accession	Multiple
chr12	20320824	rs7134375	chr12	20320449	20320949	HDL cholesterol	20686565	PDE3A	LOC105369688	rs7134375-A	intergenic_variant	0.42	4e-8	GCST000755	TRUE
chr12	20320824	rs7134375	chr12	20320449	20320949	HDL cholesterol	24097068	PDE3A	LOC105369688	rs7134375-A	intergenic_variant	0.43	1e-8	GCST002223	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Calcium levels	20705733	FNDC4, IFT172, GCKR, C2orf16	GCKR	rs780093-T	intron_variant	NR	7e-6	GCST000769	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Urate levels	20884846	GCKR	GCKR	rs780093-T	intron_variant	0.40	4e-17	GCST000818	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Triglycerides-Blood Pressure (TG-BP)	21386085	GCKR	GCKR	rs780093-A	intron_variant	NR	3e-10	GCST001004	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Waist Circumference - Triglycerides (WC-TG)	21386085	GCKR	GCKR	rs780093-A	intron_variant	NR	2e-12	GCST001006	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Breast size	22747683	SLC4A1AP	GCKR	rs780093-T	intron_variant	0.416	5e-6	GCST001585	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Sex hormone-binding globulin levels	22829776	GCKR	GCKR	rs780093-T	intron_variant	0.40	2e-16	GCST001612	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Crohn's disease	21102463	GCKR	GCKR	rs780093-T	intron_variant	0.418	5e-11	GCST000879	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Glucose homeostasis traits	25524916	GCKR	GCKR	rs780093-?	intron_variant	NA	1e-6	GCST002726	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Triglycerides	26780889	GCKR	GCKR	rs780093-T	intron_variant	0.356	3e-15	GCST003301	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	circulating leptin levels	26833098	GCKR	GCKR	rs780093-C	intron_variant	0.61	2e-10	GCST003367	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	circulating leptin levels adjusted for BMI	26833098	GCKR	GCKR	rs780093-C	intron_variant	0.61	4e-10	GCST003368	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Palmitic acid (16:0) levels	23362303	GCKR	GCKR	rs780093-T	intron_variant	NR	3e-6	GCST001838	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Palmitoleic acid (16:1n-7) levels	23362303	ZNF512, XAB1, GCKR, C2orf16	GCKR	rs780093-T	intron_variant	0.41	1e-9	GCST001841	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Type 2 diabetes	26818947	GCKR	GCKR	rs780093-C	intron_variant	NR	2e-6	GCST003400	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Total cholesterol levels	28334899	GCKR	GCKR	rs780093-T	intron_variant	0.413	3e-47	GCST004235	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Palmitoleic acid (16:1n-7) levels	28298293	GCKR	GCKR	rs780093-T	intron_variant	NR	4e-12	GCST004339	TRUE
chr2	27519736	rs780093	chr2	27519643	27520143	Glomerular filtration rate (creatinine)	28452372	GCKR	GCKR	rs780093-T	intron_variant	NR	2e-16	GCST004292	TRUE
chr9	104885374	rs3890182	chr9	104885173	104885673	HDL cholesterol	20864672	ABCA1	ABCA1	rs3890182-G	intron_variant	0.88	5e-7	GCST000805	TRUE
chr9	104885374	rs3890182	chr9	104885173	104885673	HDL cholesterol	18193044	ABCA1	ABCA1	rs3890182-A	intron_variant	0.13	3e-10	GCST000133	TRUE
chr18	26757460	rs527616	chr18	26757213	26757713	Breast cancer	29059683	intergenic	PCAT18 - LOC105372035	rs527616-G	intron_variant	0.62	7e-15	GCST004988	TRUE
chr18	26757460	rs527616	chr18	26757213	26757713	Breast cancer	23535729	intergenic	PCAT18 - LOC105372035	rs527616-G	intron_variant	0.62	2e-10	GCST001937	TRUE
chr18	26757460	rs527616	chr18	26757213	26757713	Breast cancer	25751625	NR	PCAT18 - LOC105372035	rs527616-G	intron_variant	0.62	8e-13	GCST004950	TRUE
chr16	30091839	rs3809627	chr16	30091759	30092259	Red blood cell count	29403010	TBX6	TBX6	rs3809627-?	5_prime_UTR_variant	NR	5e-13	GCST005996	TRUE
chr16	30091839	rs3809627	chr16	30091759	30092259	Eosinophil counts	27863252	TBX6	TBX6	rs3809627-A	5_prime_UTR_variant	0.4018	1e-17	GCST004606	TRUE
chr16	30091839	rs3809627	chr16	30091759	30092259	Mean corpuscular hemoglobin	27863252	TBX6	TBX6	rs3809627-A	5_prime_UTR_variant	0.4016	5e-33	GCST004630	TRUE
chr16	30091839	rs3809627	chr16	30091759	30092259	Red blood cell count	27863252	TBX6	TBX6	rs3809627-A	5_prime_UTR_variant	0.4017	3e-27	GCST004601	TRUE
chr16	30091839	rs3809627	chr16	30091759	30092259	Sum eosinophil basophil counts	27863252	TBX6	TBX6	rs3809627-A	5_prime_UTR_variant	0.4018	8e-15	GCST004624	TRUE
chr16	30091839	rs3809627	chr16	30091759	30092259	Mean corpuscular volume	27863252	TBX6	TBX6	rs3809627-A	5_prime_UTR_variant	0.4017	5e-32	GCST004602	TRUE
chr15	73371562	rs7173389	chr15	73371357	73371857	Resting heart rate	29769521	HCN4	HCN4 - LOC107984728	rs7173389-A	intergenic_variant	0.841075	2e-9	GCST005789	TRUE
