snp_chr	snp_pos	snp	peak_chr	peak_start	peak_end	disease.trait	pubmedid	reported.gene.s.	mapped_gene	strongest.snp.risk.allele	context	risk.allele.frequency	p.value	study.accession	Multiple
chr3	141383991	rs6763931	chr3	141383531	141384032	Prostate cancer	21743467	ZBTB38	ZBTB38	rs6763931-T	intron_variant	0.45	2e-8	GCST001148	TRUE
chr3	141383991	rs6763931	chr3	141383531	141384032	Height	19343178	ZBTB38	ZBTB38	rs6763931-?	intron_variant	0.35	3e-12	GCST000372	TRUE
chr3	141383991	rs6763931	chr3	141383531	141384032	Pulmonary function in asthmatics	25221879	ZBTB38	ZBTB38	rs6763931-A	intron_variant	0.43	4e-6	GCST002608	TRUE
chr3	141383991	rs6763931	chr3	141383531	141384032	Height	25429064	ZBTB38	ZBTB38	rs6763931-A	intron_variant	0.33	6e-34	GCST002702	TRUE
chr3	141383991	rs6763931	chr3	141383531	141384032	Height	18391951	ZBTB38	ZBTB38	rs6763931-A	intron_variant	0.45	1e-27	GCST000175	TRUE
chr4	80243569	rs1458038	chr4	80243212	80243981	Blood pressure	21909110	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.30	3e-14	GCST001236	TRUE
chr4	80243569	rs1458038	chr4	80243212	80243981	Diastolic blood pressure	21909115	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.29	9e-25	GCST001228	TRUE
chr4	80243569	rs1458038	chr4	80243212	80243981	Systolic blood pressure	21909115	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.29	2e-23	GCST001227	TRUE
chr4	80243569	rs1458038	chr4	80243212	80243981	Systolic blood pressure	26390057	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.2828	5e-8	GCST003272	TRUE
chr4	80243569	rs1458038	chr4	80243212	80243981	Diastolic blood pressure	26390057	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.3362	2e-14	GCST003273	TRUE
chr4	80243569	rs1458038	chr4	80243212	80243981	Systolic blood pressure	28871152	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.24	2e-7	GCST004888	TRUE
chr4	80243569	rs1458038	chr4	80243212	80243981	Diastolic blood pressure	28871152	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.24	4e-7	GCST004890	TRUE
chr4	80243569	rs1458038	chr4	80243212	80243981	Diastolic blood pressure	28739976	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.302	8e-17	GCST004777	TRUE
chr4	80243569	rs1458038	chr4	80243212	80243981	Systolic blood pressure	28739976	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.302	1e-16	GCST004776	TRUE
chr4	80243569	rs1458038	chr4	80243212	80243981	Pulse pressure	28739976	FGF5	PRDM8 - FGF5	rs1458038-T	intergenic_variant	0.302	1e-6	GCST004775	TRUE
chr7	44189469	rs1799884	chr7	44189240	44189859	Metabolite levels	21909109	GCK	GCK - YKT6	rs1799884-A	intron_variant	0.19	2e-19	GCST001233	TRUE
chr7	44189469	rs1799884	chr7	44189240	44189859	Glycated hemoglobin levels	20858683	GCK	GCK - YKT6	rs1799884-T	intron_variant	0.18	1e-20	GCST000803	TRUE
chr7	44189469	rs1799884	chr7	44189240	44189859	Glycated hemoglobin levels	24647736	GCK	GCK - YKT6	rs1799884-T	intron_variant	0.19	2e-22	GCST002390	TRUE
chr7	44189469	rs1799884	chr7	44189240	44189859	Glycemic traits	23575436	GCK	GCK - YKT6	rs1799884-A	intron_variant	NA	5e-18	GCST001965	TRUE
chr7	44189469	rs1799884	chr7	44189240	44189859	Glycated hemoglobin levels	24244560	GCK	GCK - YKT6	rs1799884-T	intron_variant	0.17	6e-8	GCST002270	TRUE
chr8	115586972	rs2293889	chr8	115586870	115587770	HDL cholesterol	20686565	TRPS1	TRPS1	rs2293889-T	intron_variant	0.41	6e-11	GCST000755	TRUE
chr8	115586972	rs2293889	chr8	115586870	115587770	HDL cholesterol	24097068	TRPS1	TRPS1	rs2293889-T	intron_variant	0.41	4e-17	GCST002223	TRUE
chr8	115586972	rs2293889	chr8	115586870	115587770	HDL cholesterol levels	28334899	TRPS1	TRPS1	rs2293889-T	intron_variant	0.413	5e-19	GCST004232	TRUE
chr12	20320824	rs7134375	chr12	20320449	20320993	HDL cholesterol	20686565	PDE3A	LOC105369688	rs7134375-A	intergenic_variant	0.42	4e-8	GCST000755	TRUE
